comunidad_autonoma,provincia,codigo,fecha_inicio,fecha_fin,fecha_publicacion_oficial,ambito,porcentaje_afectado,porcentaje,personas,hora,nivel_educacion
asturias_principado_de,asturias,AF.6,2020-12-14 00:00:00,2020-12-28 00:00:00,2020-12-09 00:00:00,autonomico,,,15.0,,
asturias_principado_de,asturias,CD.6,2020-12-14 00:00:00,2020-12-23 00:00:00,2020-12-09 00:00:00,autonomico,,,6.0,,
asturias_principado_de,asturias,CD.10,2020-12-14 00:00:00,2020-12-23 00:00:00,2020-12-09 00:00:00,autonomico,,,300.0,,
asturias_principado_de,asturias,RH.9,2020-12-14 00:00:00,2021-01-11 00:00:00,2020-12-09 00:00:00,autonomico,,,4.0,,
asturias_principado_de,asturias,CO.4,2020-12-14 00:00:00,2020-12-23 00:00:00,2020-12-09 00:00:00,autonomico,,0.3,,,
asturias_principado_de,asturias,AF.5,2020-12-04 00:00:00,2021-01-11 00:00:00,2020-12-03 00:00:00,autonomico,,30.0,,,
asturias_principado_de,asturias,AF.1,2020-11-04 00:00:00,2020-12-03 00:00:00,2020-11-03 00:00:00,autonomico,,,,,
asturias_principado_de,asturias,AF.8,2020-11-04 00:00:00,2020-12-03 00:00:00,2020-11-03 00:00:00,autonomico,,,,,
asturias_principado_de,asturias,CO.6,2020-11-04 00:00:00,2020-12-03 00:00:00,2020-11-03 00:00:00,autonomico,,,,,
asturias_principado_de,asturias,MV.3,2020-11-04 00:00:00,2020-12-03 00:00:00,2020-11-03 00:00:00,autonomico,,,,,
asturias_principado_de,asturias,AF.4,2020-11-04 00:00:00,2020-12-03 00:00:00,2020-11-03 00:00:00,autonomico,,,,,
asturias_principado_de,asturias,TR.8,2020-11-04 00:00:00,2021-01-11 00:00:00,2020-11-03 00:00:00,autonomico,,,,,
asturias_principado_de,asturias,CD.3,2020-11-04 00:00:00,2020-12-03 00:00:00,2020-11-03 00:00:00,autonomico,,,,,
asturias_principado_de,asturias,CO.4,2020-11-04 00:00:00,2020-12-13 00:00:00,2020-11-03 00:00:00,autonomico,,,,,
asturias_principado_de,asturias,CO.1,2020-11-04 00:00:00,2020-12-03 00:00:00,2020-11-03 00:00:00,autonomico,,,,,
asturias_principado_de,asturias,CO.2,2020-11-04 00:00:00,2020-12-13 00:00:00,2020-11-03 00:00:00,autonomico,,,,,
asturias_principado_de,asturias,LA.1,2020-11-04 00:00:00,2020-12-03 00:00:00,2020-11-03 00:00:00,autonomico,,,,,
asturias_principado_de,asturias,RH.2,2020-11-04 00:00:00,2020-12-03 00:00:00,2020-11-03 00:00:00,autonomico,,,,,
asturias_principado_de,asturias,CD.17,2020-11-04 00:00:00,2020-12-03 00:00:00,2020-11-03 00:00:00,autonomico,,,,,
asturias_principado_de,asturias,CD.1,2020-11-04 00:00:00,2020-12-03 00:00:00,2020-11-03 00:00:00,autonomico,,,,,
asturias_principado_de,asturias,ON.1,2020-11-04 00:00:00,2020-12-03 00:00:00,2020-11-03 00:00:00,autonomico,,,,,
asturias_principado_de,asturias,MV.4,2020-10-28 00:00:00,,2020-10-26 00:00:00,subprovincial,,,,,
asturias_principado_de,asturias,CE.2,2020-10-28 00:00:00,,2020-10-26 00:00:00,autonomico,,,15.0,,
asturias_principado_de,asturias,MV.3,2020-10-28 00:00:00,2020-11-03 00:00:00,2020-10-26 00:00:00,autonomico,,,,,
asturias_principado_de,asturias,MV.4,2020-10-28 00:00:00,,2020-10-26 00:00:00,autonomico,,,,,
asturias_principado_de,asturias,TP.1,2020-10-24 00:00:00,2020-11-07 00:00:00,2020-10-23 00:00:00,autonomico,,,,,
