comunidad_autonoma,provincia,codigo,fecha_inicio,fecha_fin,fecha_publicacion_oficial,ambito,porcentaje_afectado,porcentaje,personas,hora,nivel_educacion
extremadura,,AF.15,2020-06-21 00:00:00,2020-11-08 00:00:00,2020-06-21 00:00:00,autonomico,,50.0,,,
extremadura,,AF.16,2020-06-21 00:00:00,2020-11-08 00:00:00,2020-06-21 00:00:00,autonomico,,50.0,,,
extremadura,,AF.5,2020-06-21 00:00:00,2020-11-08 00:00:00,2020-06-21 00:00:00,autonomico,,70.0,,,
extremadura,,AF.5,2020-06-21 00:00:00,2020-11-08 00:00:00,2020-06-21 00:00:00,autonomico,,,1000.0,,
extremadura,,AF.6,2020-06-21 00:00:00,2020-11-08 00:00:00,2020-06-21 00:00:00,autonomico,,70.0,,,
extremadura,,AF.6,2020-06-21 00:00:00,2020-11-08 00:00:00,2020-06-21 00:00:00,autonomico,,,1000.0,,
extremadura,,CD.10,2020-06-21 00:00:00,2020-11-08 00:00:00,2020-06-21 00:00:00,autonomico,,75.0,,,
extremadura,,CD.14,2020-06-21 00:00:00,2020-07-31 00:00:00,2020-06-21 00:00:00,autonomico,,50.0,,,
extremadura,,CD.15,2020-06-21 00:00:00,2020-11-08 00:00:00,2020-06-21 00:00:00,autonomico,,50.0,,,
extremadura,,CD.6,2020-06-21 00:00:00,2020-11-08 00:00:00,2020-06-21 00:00:00,autonomico,,50.0,,,
extremadura,,CD.9,2020-06-21 00:00:00,2020-11-08 00:00:00,2020-06-21 00:00:00,autonomico,,75.0,,,
extremadura,,CE.2,2020-06-21 00:00:00,2020-11-08 00:00:00,2020-06-21 00:00:00,autonomico,,75.0,,,
extremadura,,CE.3,2020-06-21 00:00:00,2020-11-08 00:00:00,2020-06-21 00:00:00,autonomico,,,25.0,,
extremadura,,CE.4,2020-06-21 00:00:00,2020-11-08 00:00:00,2020-06-21 00:00:00,autonomico,,,50.0,,
extremadura,,CE.5,2020-06-21 00:00:00,2020-11-08 00:00:00,2020-06-21 00:00:00,autonomico,,75.0,,,
extremadura,,CE.5,2020-06-21 00:00:00,2020-11-08 00:00:00,2020-06-21 00:00:00,autonomico,,,75.0,,
extremadura,,CE.6,2020-06-21 00:00:00,2020-11-08 00:00:00,2020-06-21 00:00:00,autonomico,,75.0,,,
