comunidad_autonoma,provincia,codigo,fecha_inicio,fecha_fin,fecha_publicacion_oficial,ambito,porcentaje_afectado,porcentaje,personas,hora,nivel_educacion
cantabria,cantabria,MV.3,2020-11-14 00:00:00,2020-12-16 00:00:00,2020-11-13 00:00:00,autonomico,,,,,
cantabria,cantabria,CE.2,2020-11-07 00:00:00,2021-03-01 00:00:00,2020-11-07 00:00:00,autonomico,,33.0,,,
cantabria,cantabria,ED.4,2020-11-07 00:00:00,2021-03-02 00:00:00,2020-11-06 00:00:00,autonomico,,33.0,,,
cantabria,cantabria,TR.8,2020-11-07 00:00:00,,2020-11-06 00:00:00,autonomico,,,,,
cantabria,cantabria,AF.7,2020-11-07 00:00:00,,2020-11-06 00:00:00,autonomico,,,6.0,,
cantabria,cantabria,AF.5,2020-11-07 00:00:00,2021-03-02 00:00:00,2020-11-06 00:00:00,autonomico,,33.33,,,
cantabria,cantabria,AF.9,2020-11-07 00:00:00,2021-03-02 00:00:00,2020-11-06 00:00:00,autonomico,,50.0,,,
cantabria,cantabria,CD.14,2020-11-07 00:00:00,2021-02-14 00:00:00,2020-11-06 00:00:00,autonomico,,50.0,,,
cantabria,cantabria,CD.11,2020-11-07 00:00:00,,2020-11-06 00:00:00,autonomico,,50.0,,,
cantabria,cantabria,CD.9,2020-11-07 00:00:00,2020-11-06 00:00:00,2020-11-06 00:00:00,autonomico,,50.0,,,
cantabria,cantabria,CD.6,2020-11-07 00:00:00,2020-11-06 00:00:00,2020-11-06 00:00:00,autonomico,,50.0,,,
cantabria,cantabria,CO.8,2020-11-07 00:00:00,2021-01-15 00:00:00,2020-11-06 00:00:00,autonomico,,33.0,,,
cantabria,cantabria,CO.10,2020-11-07 00:00:00,2021-03-02 00:00:00,2020-11-06 00:00:00,autonomico,,50.0,,,
cantabria,cantabria,CO.9,2020-11-07 00:00:00,,2020-11-06 00:00:00,autonomico,,33.0,,,
cantabria,cantabria,CE.6,2020-11-07 00:00:00,2021-03-01 00:00:00,2020-11-06 00:00:00,autonomico,,,20.0,,
cantabria,cantabria,CE.5,2020-11-07 00:00:00,2021-03-02 00:00:00,2020-11-06 00:00:00,autonomico,,,10.0,,
cantabria,cantabria,CE.4,2020-11-07 00:00:00,2021-03-02 00:00:00,2020-11-06 00:00:00,autonomico,,,20.0,,
cantabria,cantabria,CE.3,2020-11-07 00:00:00,2021-03-02 00:00:00,2020-11-06 00:00:00,autonomico,,,10.0,,
cantabria,cantabria,LA.1,2020-11-07 00:00:00,2021-03-02 00:00:00,2020-11-06 00:00:00,autonomico,,,,,
cantabria,cantabria,RH.2,2020-11-07 00:00:00,,2020-11-06 00:00:00,autonomico,,,,,
cantabria,cantabria,AF.6,2020-10-29 00:00:00,2021-03-02 00:00:00,2020-10-29 00:00:00,autonomico,,33.0,,,
cantabria,cantabria,RH.10,2020-10-29 00:00:00,2020-12-11 00:00:00,2020-10-29 00:00:00,autonomico,,,6.0,,
cantabria,cantabria,MV.4,2020-10-30 00:00:00,2021-01-07 00:00:00,2020-10-29 00:00:00,autonomico,,,,,
cantabria,cantabria,MV.3,2020-10-26 00:00:00,2020-11-13 00:00:00,2020-10-26 00:00:00,autonomico,,,,,
cantabria,cantabria,RS.1,2020-10-26 00:00:00,,2020-10-26 00:00:00,autonomico,,,6.0,,
cantabria,cantabria,AF.6,2020-10-25 00:00:00,2020-10-29 00:00:00,2020-10-23 00:00:00,autonomico,,50.0,,,
cantabria,cantabria,AF.5,2020-10-25 00:00:00,2020-11-07 00:00:00,2020-10-23 00:00:00,autonomico,,50.0,,,
cantabria,cantabria,LA.3,2020-10-25 00:00:00,2020-11-07 00:00:00,2020-10-23 00:00:00,autonomico,,50.0,,,
cantabria,cantabria,RH.5,2020-10-25 00:00:00,2020-11-07 00:00:00,2020-10-23 00:00:00,autonomico,,,,23.0,
cantabria,cantabria,RH.7,2020-10-25 00:00:00,2020-11-07 00:00:00,2020-10-23 00:00:00,autonomico,,50.0,,,
cantabria,cantabria,RH.6,2020-10-25 00:00:00,2020-11-07 00:00:00,2020-10-23 00:00:00,autonomico,,75.0,,,
cantabria,cantabria,RH.9,2020-10-25 00:00:00,2020-11-07 00:00:00,2020-10-23 00:00:00,autonomico,,,6.0,,
