comunidad_autonoma,provincia,codigo,fecha_inicio,fecha_fin,fecha_publicacion_oficial,ambito,porcentaje_afectado,porcentaje,personas,hora,nivel_educacion
comunidad_valenciana,,RS.1,2020-12-18 00:00:00,,2020-12-18 00:00:00,autonomico,,,6.0,,
comunidad_valenciana,,CE.2,2020-11-06 00:00:00,2021-03-14 00:00:00,2020-11-05 00:00:00,autonomico,,30.0,,,
comunidad_valenciana,,MV.4,2020-10-25 00:00:00,,2020-10-25 00:00:00,autonomico,,,,,
comunidad_valenciana,,MV.3,2020-10-25 00:00:00,2021-01-06 00:00:00,2020-10-25 00:00:00,autonomico,,,,,
comunidad_valenciana,,ON.6,2020-12-09 00:00:00,2021-01-20 00:00:00,2020-12-09 00:00:00,autonomico,,50.0,,,
comunidad_valenciana,,ON.5,2020-12-09 00:00:00,2021-01-20 00:00:00,2020-12-09 00:00:00,autonomico,,33.0,,,
comunidad_valenciana,,ON.3,2020-12-09 00:00:00,,2020-12-09 00:00:00,autonomico,,,,,
comunidad_valenciana,,AF.12,2020-11-07 00:00:00,2021-01-20 00:00:00,2020-11-07 00:00:00,autonomico,,33.0,,,
comunidad_valenciana,,AF.7,2020-11-07 00:00:00,2021-01-20 00:00:00,2020-11-07 00:00:00,autonomico,,33.0,,,
comunidad_valenciana,,ED.4,2020-11-07 00:00:00,,2020-11-07 00:00:00,autonomico,,50.0,,,
comunidad_valenciana,,LA.3,2020-11-07 00:00:00,2021-01-20 00:00:00,2020-11-07 00:00:00,autonomico,,33.0,,,
comunidad_valenciana,,TR.9,2020-11-07 00:00:00,,2020-11-07 00:00:00,autonomico,,50.0,,,
comunidad_valenciana,,CD.9,2020-11-07 00:00:00,,2020-11-07 00:00:00,autonomico,,50.0,,,
comunidad_valenciana,,CD.6,2020-11-07 00:00:00,,2020-11-07 00:00:00,autonomico,,50.0,,,
comunidad_valenciana,,RH.6,2020-11-07 00:00:00,2021-01-20 00:00:00,2020-11-07 00:00:00,autonomico,,50.0,,,
comunidad_valenciana,,RH.7,2020-11-07 00:00:00,2021-01-20 00:00:00,2020-11-07 00:00:00,autonomico,,33.0,,,
comunidad_valenciana,,CO.10,2020-11-07 00:00:00,,2020-11-06 00:00:00,autonomico,,50.0,,,
comunidad_valenciana,,CO.8,2020-11-07 00:00:00,2021-01-05 00:00:00,2020-11-06 00:00:00,autonomico,,50.0,,,
comunidad_valenciana,,CE.6,2020-11-07 00:00:00,2021-01-20 00:00:00,2020-11-07 00:00:00,autonomico,,,25.0,,
comunidad_valenciana,,CE.5,2020-11-07 00:00:00,2021-01-20 00:00:00,2020-11-07 00:00:00,autonomico,,,15.0,,
comunidad_valenciana,,CE.6,2020-11-07 00:00:00,,2020-11-07 00:00:00,autonomico,,33.0,,,
comunidad_valenciana,,CE.5,2020-11-07 00:00:00,,2020-11-07 00:00:00,autonomico,,33.0,,,
comunidad_valenciana,,CE.4,2020-11-07 00:00:00,2021-01-20 00:00:00,2020-11-07 00:00:00,autonomico,,,25.0,,
comunidad_valenciana,,CE.3,2020-11-07 00:00:00,2021-01-20 00:00:00,2020-11-07 00:00:00,autonomico,,,15.0,,
comunidad_valenciana,,RS.1,2020-08-17 00:00:00,2020-12-18 00:00:00,2020-08-17 00:00:00,autonomico,,,10.0,,
comunidad_valenciana,,LA.2,2020-08-17 00:00:00,2021-01-20 00:00:00,2020-08-17 00:00:00,autonomico,,,,,
comunidad_valenciana,,CD.13,2020-08-17 00:00:00,2020-11-07 00:00:00,2020-08-17 00:00:00,autonomico,,,400.0,,
comunidad_valenciana,,RH.9,2020-08-17 00:00:00,2020-12-09 00:00:00,2020-08-17 00:00:00,autonomico,,,10.0,,
comunidad_valenciana,,ON.1,2020-08-17 00:00:00,2020-11-07 00:00:00,2020-08-17 00:00:00,autonomico,,,,,
comunidad_valenciana,,AF.6,2020-06-19 00:00:00,2021-01-20 00:00:00,2020-06-19 00:00:00,autonomico,,,,,
comunidad_valenciana,,AF.5,2020-06-19 00:00:00,2021-01-20 00:00:00,2020-06-19 00:00:00,autonomico,,,,,
comunidad_valenciana,,AF.16,2020-07-18 00:00:00,2020-10-26 00:00:00,2020-07-18 00:00:00,autonomico,,75.0,,,
comunidad_valenciana,,AF.15,2020-07-18 00:00:00,2020-10-26 00:00:00,2020-07-18 00:00:00,autonomico,,75.0,,,
comunidad_valenciana,,ED.4,2020-07-18 00:00:00,2020-11-07 00:00:00,2020-07-18 00:00:00,autonomico,,75.0,,,
comunidad_valenciana,,CD.14,2020-07-18 00:00:00,,2020-07-18 00:00:00,autonomico,,50.0,,,
comunidad_valenciana,,CD.13,2020-07-18 00:00:00,2020-08-17 00:00:00,2020-07-18 00:00:00,autonomico,,,50.0,,
comunidad_valenciana,,ON.6,2020-07-18 00:00:00,2020-08-17 00:00:00,2020-07-18 00:00:00,autonomico,,75.0,,,
comunidad_valenciana,,RH.9,2020-07-18 00:00:00,2020-08-17 00:00:00,2020-07-18 00:00:00,autonomico,,,20.0,,
comunidad_valenciana,,LA.3,2020-06-19 00:00:00,2020-11-07 00:00:00,2020-06-19 00:00:00,autonomico,,50.0,,,
comunidad_valenciana,,TR.9,2020-06-19 00:00:00,2020-11-07 00:00:00,2020-06-19 00:00:00,autonomico,,75.0,,,
comunidad_valenciana,,CD.15,2020-06-19 00:00:00,,2020-06-19 00:00:00,autonomico,,75.0,,,
comunidad_valenciana,,AF.9,2020-06-19 00:00:00,,2020-06-19 00:00:00,autonomico,,,,,
comunidad_valenciana,,AF.6,2020-06-19 00:00:00,2020-06-19 00:00:00,2020-06-19 00:00:00,autonomico,,,,,
comunidad_valenciana,,AF.5,2020-06-19 00:00:00,2020-06-19 00:00:00,2020-06-19 00:00:00,autonomico,,,,,
comunidad_valenciana,,AF.12,2020-06-19 00:00:00,2020-11-07 00:00:00,2020-06-19 00:00:00,autonomico,,,20.0,,
comunidad_valenciana,,AF.7,2020-06-19 00:00:00,2020-11-07 00:00:00,2020-06-19 00:00:00,autonomico,,,30.0,,
