comunidad_autonoma,provincia,codigo,fecha_inicio,fecha_fin,fecha_publicacion_oficial,ambito,porcentaje_afectado,porcentaje,personas,hora,nivel_educacion
ceuta_ciudad_de,ceuta,MV.3,2020-01-08 00:00:00,2021-03-21 00:00:00,2021-01-08 00:00:00,autonomico,,,,,
ceuta_ciudad_de,ceuta,RH.5,2020-12-23 00:00:00,2021-01-07 00:00:00,2020-12-23 00:00:00,autonomico,,,,22.0,
ceuta_ciudad_de,ceuta,MV.3,2020-12-10 00:00:00,2020-01-08 00:00:00,2020-12-09 00:00:00,autonomico,,,,,
ceuta_ciudad_de,ceuta,TR.4,2020-11-10 00:00:00,,2020-11-10 00:00:00,autonomico,,,,,
ceuta_ciudad_de,ceuta,ED.4,2020-11-10 00:00:00,2021-03-19 00:00:00,2020-11-10 00:00:00,autonomico,,,15.0,,
ceuta_ciudad_de,ceuta,CE.6,2020-11-10 00:00:00,,2020-11-10 00:00:00,autonomico,,,25.0,,
ceuta_ciudad_de,ceuta,CE.5,2020-11-10 00:00:00,,2020-11-10 00:00:00,autonomico,,,20.0,,
ceuta_ciudad_de,ceuta,CD.9,2020-11-10 00:00:00,,2020-11-10 00:00:00,autonomico,,40.0,,,
ceuta_ciudad_de,ceuta,CD.6,2020-11-10 00:00:00,,2020-11-10 00:00:00,autonomico,,30.0,,,
ceuta_ciudad_de,ceuta,CD.6,2020-11-10 00:00:00,,2020-11-10 00:00:00,autonomico,,25.0,,,
ceuta_ciudad_de,ceuta,RS.1,2020-11-05 00:00:00,2021-01-30 00:00:00,2020-11-05 00:00:00,autonomico,,,4.0,,
ceuta_ciudad_de,ceuta,RH.5,2020-11-05 00:00:00,2020-12-23 00:00:00,2020-11-05 00:00:00,autonomico,,,,22.0,
ceuta_ciudad_de,ceuta,MV.4,2020-11-09 00:00:00,2020-11-23 00:00:00,2020-11-05 00:00:00,autonomico,,,,,
ceuta_ciudad_de,ceuta,MV.3,2020-11-05 00:00:00,2020-12-09 00:00:00,2020-11-05 00:00:00,autonomico,,,,,
ceuta_ciudad_de,ceuta,LA.2,2020-11-05 00:00:00,,2020-11-05 00:00:00,autonomico,,,,,
ceuta_ciudad_de,ceuta,RS.1,2020-10-28 00:00:00,2020-11-05 00:00:00,2020-10-28 00:00:00,autonomico,,,6.0,,
ceuta_ciudad_de,ceuta,RH.5,2020-10-28 00:00:00,2020-11-05 00:00:00,2020-10-28 00:00:00,autonomico,,,,23.0,
ceuta_ciudad_de,ceuta,MV.3,2020-10-28 00:00:00,2020-11-05 00:00:00,2020-10-28 00:00:00,autonomico,,,,,
ceuta_ciudad_de,ceuta,LA.2,2020-10-28 00:00:00,2020-11-05 00:00:00,2020-10-28 00:00:00,autonomico,,,,,
ceuta_ciudad_de,ceuta,CE.2,2020-10-28 00:00:00,2021-03-21 00:00:00,2020-10-28 00:00:00,autonomico,,,75.0,,
ceuta_ciudad_de,ceuta,CE.2,2020-10-28 00:00:00,2021-03-21 00:00:00,2020-10-28 00:00:00,autonomico,,33.0,,,
ceuta_ciudad_de,ceuta,RH.9,2020-10-19 00:00:00,,2020-10-19 00:00:00,autonomico,,,6.0,,
ceuta_ciudad_de,ceuta,RH.7,2020-10-19 00:00:00,2021-03-19 00:00:00,2020-10-19 00:00:00,autonomico,,30.0,,,
ceuta_ciudad_de,ceuta,RH.6,2020-10-19 00:00:00,2021-03-19 00:00:00,2020-10-19 00:00:00,autonomico,,50.0,,,
ceuta_ciudad_de,ceuta,RH.5,2020-10-19 00:00:00,2020-10-28 00:00:00,2020-10-19 00:00:00,autonomico,,,,24.0,
ceuta_ciudad_de,ceuta,LA.3,2020-10-19 00:00:00,,2020-10-19 00:00:00,autonomico,,30.0,,,
ceuta_ciudad_de,ceuta,LA.2,2020-10-19 00:00:00,2020-10-28 00:00:00,2020-10-19 00:00:00,autonomico,,,,,
ceuta_ciudad_de,ceuta,ED.4,2020-10-19 00:00:00,2021-03-19 00:00:00,2020-10-19 00:00:00,autonomico,,40.0,,,
ceuta_ciudad_de,ceuta,CO.8,2020-10-19 00:00:00,,2020-10-19 00:00:00,autonomico,,50.0,,,
ceuta_ciudad_de,ceuta,CO.7,2020-10-19 00:00:00,2021-03-19 00:00:00,2020-10-19 00:00:00,autonomico,,,,,
ceuta_ciudad_de,ceuta,CO.6,2020-10-19 00:00:00,2021-03-19 00:00:00,2020-10-19 00:00:00,autonomico,,,,,
ceuta_ciudad_de,ceuta,CO.5,2020-10-19 00:00:00,2021-03-19 00:00:00,2020-10-19 00:00:00,autonomico,,,,,
ceuta_ciudad_de,ceuta,CE.6,2020-10-19 00:00:00,,2020-10-19 00:00:00,autonomico,,60.0,,,
ceuta_ciudad_de,ceuta,CE.6,2020-10-19 00:00:00,,2020-10-19 00:00:00,autonomico,,,35.0,,
ceuta_ciudad_de,ceuta,CE.5,2020-10-19 00:00:00,,2020-10-19 00:00:00,autonomico,,60.0,,,
ceuta_ciudad_de,ceuta,CE.5,2020-10-19 00:00:00,,2020-10-19 00:00:00,autonomico,,,15.0,,
