comunidad_autonoma,provincia,codigo,fecha_inicio,fecha_fin,fecha_publicacion_oficial,ambito,porcentaje_afectado,porcentaje,personas,hora,nivel_educacion
canarias,,AF.12,2020-09-05 00:00:00,2020-12-24 00:00:00,2020-09-05 00:00:00,autonomico,,,25.0,,
canarias,,AF.15,2020-09-05 00:00:00,2020-12-24 00:00:00,2020-09-05 00:00:00,autonomico,,75.0,,,
canarias,,AF.15,2020-06-21 00:00:00,2020-09-05 00:00:00,2020-06-20 00:00:00,autonomico,,,1000.0,,
canarias,,AF.16,2020-09-05 00:00:00,2020-12-24 00:00:00,2020-09-05 00:00:00,autonomico,,75.0,,,
canarias,,AF.16,2020-06-21 00:00:00,2020-09-05 00:00:00,2020-06-20 00:00:00,autonomico,,,300.0,,
canarias,,AF.5,2020-06-21 00:00:00,2020-12-24 00:00:00,2020-06-20 00:00:00,autonomico,,,25.0,,
canarias,,AF.6,2020-06-21 00:00:00,2020-12-24 00:00:00,2020-06-20 00:00:00,autonomico,,,30.0,,
canarias,,AF.7,2020-09-05 00:00:00,2020-12-24 00:00:00,2020-09-05 00:00:00,autonomico,,,25.0,,
canarias,,CD.10,2020-07-04 00:00:00,2020-08-15 00:00:00,2020-07-04 00:00:00,autonomico,,,1300.0,,
canarias,,CD.10,2020-06-21 00:00:00,2020-08-15 00:00:00,2020-06-20 00:00:00,autonomico,,,1000.0,,
canarias,,CD.10,2020-06-21 00:00:00,2020-07-04 00:00:00,2020-06-20 00:00:00,autonomico,,75.0,,,
canarias,,CD.12,2020-12-05 00:00:00,2021-01-10 00:00:00,2020-12-04 00:00:00,autonomico,,,,,
canarias,,CD.4,2020-08-15 00:00:00,2020-12-24 00:00:00,2020-08-15 00:00:00,autonomico,,,,,
canarias,,CD.6,2020-06-21 00:00:00,2020-12-24 00:00:00,2020-06-20 00:00:00,autonomico,,,25.0,,
canarias,,CD.9,2020-07-04 00:00:00,2020-08-15 00:00:00,2020-07-04 00:00:00,autonomico,,,300.0,,
canarias,,CD.9,2020-06-21 00:00:00,2020-07-04 00:00:00,2020-06-20 00:00:00,autonomico,,,300.0,,
canarias,,CD.9,2020-06-21 00:00:00,2020-07-04 00:00:00,2020-06-20 00:00:00,autonomico,,75.0,,,
canarias,,CE.2,2020-09-05 00:00:00,2020-12-24 00:00:00,2020-09-05 00:00:00,autonomico,,50.0,,,
canarias,,CE.2,2020-06-21 00:00:00,2020-09-05 00:00:00,2020-06-20 00:00:00,autonomico,,75.0,,,
canarias,,CE.3,2020-09-05 00:00:00,2020-12-24 00:00:00,2020-09-05 00:00:00,autonomico,,,10.0,,
canarias,,CE.3,2020-06-21 00:00:00,2020-09-05 00:00:00,2020-06-20 00:00:00,autonomico,,,20.0,,
canarias,,CE.4,2020-09-05 00:00:00,2020-12-24 00:00:00,2020-09-05 00:00:00,autonomico,,,25.0,,
canarias,,CE.4,2020-06-21 00:00:00,2020-09-05 00:00:00,2020-06-20 00:00:00,autonomico,,,50.0,,
canarias,,CE.5,2020-09-05 00:00:00,2020-12-24 00:00:00,2020-09-05 00:00:00,autonomico,,50.0,,,
canarias,,CE.5,2020-09-05 00:00:00,2020-12-24 00:00:00,2020-09-05 00:00:00,autonomico,,,25.0,,
canarias,,CE.5,2020-06-21 00:00:00,2020-09-05 00:00:00,2020-06-20 00:00:00,autonomico,,,250.0,,
canarias,,CE.6,2020-09-05 00:00:00,2020-12-24 00:00:00,2020-09-05 00:00:00,autonomico,,50.0,,,
canarias,,CE.6,2020-09-05 00:00:00,2020-12-24 00:00:00,2020-09-05 00:00:00,autonomico,,,80.0,,
canarias,,CE.6,2020-06-21 00:00:00,2020-09-05 00:00:00,2020-06-20 00:00:00,autonomico,,,150.0,,
canarias,,CE.7,2020-12-05 00:00:00,2021-01-10 00:00:00,2020-12-04 00:00:00,autonomico,,,,,
canarias,,CO.10,2020-08-15 00:00:00,2020-12-24 00:00:00,2020-08-15 00:00:00,autonomico,,,,,
canarias,,CO.8,2020-09-05 00:00:00,2020-12-24 00:00:00,2020-09-05 00:00:00,autonomico,,75.0,,,
canarias,,LA.3,2020-06-21 00:00:00,2020-12-24 00:00:00,2020-06-20 00:00:00,autonomico,,75.0,,,
canarias,,MV.3,2020-12-23 00:00:00,2021-01-10 00:00:00,2020-12-04 00:00:00,autonomico,,,,,
canarias,,MV.4,2020-12-10 00:00:00,2020-12-23 00:00:00,2020-12-09 00:00:00,autonomico,,,,,
canarias,,ON.1,2020-09-05 00:00:00,,2020-09-05 00:00:00,autonomico,,,,,
canarias,,ON.2,2020-08-15 00:00:00,2020-09-05 00:00:00,2020-08-15 00:00:00,autonomico,,,,,
canarias,,ON.2,2020-06-21 00:00:00,2020-07-04 00:00:00,2020-06-20 00:00:00,autonomico,,,,,
canarias,,ON.3,2020-06-21 00:00:00,2020-09-05 00:00:00,2020-06-20 00:00:00,autonomico,,,,,
canarias,,ON.6,2020-07-04 00:00:00,2020-09-05 00:00:00,2020-07-04 00:00:00,autonomico,,75.0,,,
canarias,,ON.6,2020-06-21 00:00:00,2020-07-04 00:00:00,2020-06-20 00:00:00,autonomico,,75.0,,,
canarias,,RH.5,2020-10-03 00:00:00,2020-12-05 00:00:00,2020-10-03 00:00:00,autonomico,,,,25.0,
canarias,,RH.5,2020-12-05 00:00:00,2021-01-10 00:00:00,2020-12-04 00:00:00,autonomico,,,,19.0,
canarias,,RH.9,2020-08-05 00:00:00,2020-12-05 00:00:00,2020-08-05 00:00:00,autonomico,,,10.0,,
canarias,,RH.9,2020-12-05 00:00:00,2021-01-10 00:00:00,2020-12-04 00:00:00,autonomico,,,6.0,,
canarias,,RS.1,2020-09-05 00:00:00,2020-12-05 00:00:00,2020-09-05 00:00:00,autonomico,,,10.0,,
canarias,,RS.1,2020-12-05 00:00:00,2021-01-10 00:00:00,2020-12-04 00:00:00,autonomico,,,6.0,,
canarias,,RS.1,2020-06-19 00:00:00,2020-09-05 00:00:00,2020-06-19 00:00:00,autonomico,,,6.0,,
canarias,,RS.6,2020-09-05 00:00:00,,2020-09-05 00:00:00,autonomico,,,,,
canarias,,AF.12,2020-12-24 00:00:00,,2020-12-24 00:00:00,autonomico,,,10.0,,
canarias,,AF.15,2020-12-24 00:00:00,,2020-12-24 00:00:00,autonomico,,50.0,,,
canarias,,AF.16,2020-12-24 00:00:00,,2020-12-24 00:00:00,autonomico,,50.0,,,
canarias,,AF.5,2020-12-24 00:00:00,,2020-12-24 00:00:00,autonomico,,75.0,,,
canarias,,AF.7,2020-12-24 00:00:00,,2020-12-24 00:00:00,autonomico,,,10.0,,
