comunidad_autonoma,provincia,codigo,fecha_inicio,fecha_fin,fecha_publicacion_oficial,ambito,porcentaje_afectado,porcentaje,personas,hora,nivel_educacion
pais_vasco,,AF.15,2020-06-19 00:00:00,2020-10-23 00:00:00,2020-06-19 00:00:00,autonomico,,60.0,,,
pais_vasco,,AF.15,2020-06-19 00:00:00,2020-10-23 00:00:00,2020-06-19 00:00:00,autonomico,,,1000.0,,
pais_vasco,,AF.16,2020-06-19 00:00:00,2020-10-23 00:00:00,2020-06-19 00:00:00,autonomico,,60.0,,,
pais_vasco,,AF.16,2020-06-19 00:00:00,2020-10-23 00:00:00,2020-06-19 00:00:00,autonomico,,,600.0,,
pais_vasco,,AF.4,2020-06-19 00:00:00,2020-07-29 00:00:00,2020-06-19 00:00:00,autonomico,,,,,
pais_vasco,,AF.5,2020-06-19 00:00:00,2020-10-23 00:00:00,2020-06-19 00:00:00,autonomico,,60.0,,,
pais_vasco,,AF.6,2020-06-19 00:00:00,2020-10-23 00:00:00,2020-06-19 00:00:00,autonomico,,,30.0,,
pais_vasco,,CD.10,2020-06-19 00:00:00,2020-10-23 00:00:00,2020-06-19 00:00:00,autonomico,,60.0,,,
pais_vasco,,CD.10,2020-06-19 00:00:00,2020-10-23 00:00:00,2020-06-19 00:00:00,autonomico,,,1000.0,,
pais_vasco,,CD.14,2020-06-19 00:00:00,2020-10-23 00:00:00,2020-06-19 00:00:00,autonomico,,60.0,,,
pais_vasco,,CD.14,2020-06-19 00:00:00,2020-10-23 00:00:00,2020-06-19 00:00:00,autonomico,,,1000.0,,
pais_vasco,,CD.6,2020-06-19 00:00:00,,2020-06-19 00:00:00,autonomico,,60.0,,,
pais_vasco,,CD.9,2020-06-19 00:00:00,,2020-06-19 00:00:00,autonomico,,60.0,,,
pais_vasco,,CE.2,2020-06-19 00:00:00,2020-10-23 00:00:00,2020-06-19 00:00:00,autonomico,,75.0,,,
pais_vasco,,CE.3,2020-06-19 00:00:00,2020-07-29 00:00:00,2020-06-19 00:00:00,autonomico,,,30.0,,
pais_vasco,,CE.4,2020-06-19 00:00:00,2020-07-29 00:00:00,2020-06-19 00:00:00,autonomico,,,65.0,,
pais_vasco,,CE.5,2020-06-19 00:00:00,2020-07-29 00:00:00,2020-06-19 00:00:00,autonomico,,,30.0,,
pais_vasco,,CE.6,2020-06-19 00:00:00,2020-07-29 00:00:00,2020-06-19 00:00:00,autonomico,,,65.0,,
pais_vasco,,CO.10,2020-06-19 00:00:00,2020-10-23 00:00:00,2020-06-19 00:00:00,autonomico,,60.0,,,
pais_vasco,,CO.8,2020-06-19 00:00:00,2020-10-23 00:00:00,2020-06-19 00:00:00,autonomico,,60.0,,,
pais_vasco,,LA.3,2020-06-19 00:00:00,2020-07-09 00:00:00,2020-06-19 00:00:00,autonomico,,60.0,,,
pais_vasco,,ON.3,2020-06-19 00:00:00,,2020-06-19 00:00:00,autonomico,,,,,
pais_vasco,,ON.4,2020-06-19 00:00:00,2020-07-09 00:00:00,2020-06-19 00:00:00,autonomico,,60.0,,,
pais_vasco,,LA.2,2020-07-09 00:00:00,2020-07-29 00:00:00,2020-07-09 00:00:00,autonomico,,,,,
pais_vasco,,LA.3,2020-07-09 00:00:00,2020-10-23 00:00:00,2020-07-09 00:00:00,autonomico,,,50.0,,
pais_vasco,,LA.3,2020-07-09 00:00:00,2020-10-23 00:00:00,2020-07-09 00:00:00,autonomico,,,100.0,,
pais_vasco,,ON.10,2020-07-09 00:00:00,,2020-07-09 00:00:00,autonomico,,,10.0,,
pais_vasco,,ON.2,2020-07-09 00:00:00,2020-07-29 00:00:00,2020-07-09 00:00:00,autonomico,,,,,
pais_vasco,,ON.6,2020-07-09 00:00:00,2020-07-29 00:00:00,2020-07-09 00:00:00,autonomico,,,100.0,,
pais_vasco,,ON.8,2020-07-09 00:00:00,2020-07-29 00:00:00,2020-07-09 00:00:00,autonomico,,,,,
pais_vasco,,RH.5,2020-07-09 00:00:00,2020-07-29 00:00:00,2020-07-09 00:00:00,autonomico,,,,23.0,
pais_vasco,,RH.7,2020-07-09 00:00:00,2020-07-16 00:00:00,2020-07-09 00:00:00,autonomico,,50.0,,,
pais_vasco,,RH.9,2020-07-09 00:00:00,2020-10-23 00:00:00,2020-07-09 00:00:00,autonomico,,,10.0,,
pais_vasco,,RS.2,2020-07-16 00:00:00,2020-07-29 00:00:00,2020-07-16 00:00:00,autonomico,,,10.0,,
pais_vasco,,AF.17,2020-07-29 00:00:00,2020-10-23 00:00:00,2020-07-29 00:00:00,autonomico,,,,,
pais_vasco,,AF.7,2020-07-29 00:00:00,2020-08-19 00:00:00,2020-07-29 00:00:00,autonomico,,,30.0,,
pais_vasco,,AF.9,2020-07-29 00:00:00,2020-10-26 00:00:00,2020-07-29 00:00:00,autonomico,,60.0,,,
pais_vasco,,CD.6,2020-07-29 00:00:00,2020-08-19 00:00:00,2020-07-29 00:00:00,autonomico,,,25.0,,
pais_vasco,,CD.9,2020-07-29 00:00:00,2020-10-23 00:00:00,2020-07-29 00:00:00,autonomico,,,600.0,,
pais_vasco,,CE.3,2020-07-29 00:00:00,2020-10-23 00:00:00,2020-07-29 00:00:00,autonomico,,60.0,,,
pais_vasco,,CE.3,2020-07-29 00:00:00,2020-08-19 00:00:00,2020-07-29 00:00:00,autonomico,,,60.0,,
pais_vasco,,CE.4,2020-07-29 00:00:00,2020-10-23 00:00:00,2020-07-29 00:00:00,autonomico,,60.0,,,
pais_vasco,,CE.4,2020-07-29 00:00:00,2020-08-19 00:00:00,2020-07-29 00:00:00,autonomico,,,60.0,,
pais_vasco,,CE.5,2020-07-29 00:00:00,2020-10-23 00:00:00,2020-07-29 00:00:00,autonomico,,75.0,,,
