comunidad_autonoma,provincia,codigo,fecha_inicio,fecha_fin,fecha_publicacion_oficial,ambito,porcentaje_afectado,porcentaje,personas,hora,nivel_educacion
cataluna,,MV.4,2020-10-30 00:00:00,,2020-10-30 00:00:00,autonomico,,,,,
cataluna,,MV.3,2020-10-25 00:00:00,,2020-10-25 00:00:00,autonomico,,,,,
cataluna,,MV.2,2020-10-16 00:00:00,,2020-10-16 00:00:00,autonomico,,,,,
cataluna,,AF.13,2020-10-16 00:00:00,2021-03-14 00:00:00,2020-10-16 00:00:00,autonomico,,,,,
cataluna,,AF.14,2020-10-16 00:00:00,2021-03-14 00:00:00,2020-10-16 00:00:00,autonomico,,,,,
cataluna,,AF.9,2020-10-16 00:00:00,2020-10-30 00:00:00,2020-10-16 00:00:00,autonomico,,50.0,,,
cataluna,,AF.5,2020-10-16 00:00:00,2020-10-30 00:00:00,2020-10-16 00:00:00,autonomico,,50.0,,,
cataluna,,AF.6,2020-10-16 00:00:00,2020-10-30 00:00:00,2020-10-16 00:00:00,autonomico,,50.0,,,
cataluna,,AF.1,2020-10-30 00:00:00,2020-11-23 00:00:00,2020-10-30 00:00:00,autonomico,,,,,
cataluna,,AF.8,2020-10-30 00:00:00,2020-11-23 00:00:00,2020-10-30 00:00:00,autonomico,,,,,
cataluna,,AF.5,2020-11-23 00:00:00,2021-01-07 00:00:00,2020-11-23 00:00:00,autonomico,,30.0,,,
cataluna,,AF.2,2021-01-07 00:00:00,2021-02-07 00:00:00,2021-01-05 00:00:00,autonomico,,,,,
cataluna,,AF.6,2020-11-23 00:00:00,,2020-11-23 00:00:00,autonomico,,50.0,,,
cataluna,,AF.9,2021-01-07 00:00:00,2021-02-28 00:00:00,2021-01-05 00:00:00,autonomico,,30.0,,,
cataluna,,CE.2,2020-10-30 00:00:00,,2020-10-30 00:00:00,autonomico,,30.0,,,
cataluna,,CE.3,2020-10-30 00:00:00,,2020-10-30 00:00:00,autonomico,,30.0,,,
cataluna,,CE.4,2020-10-30 00:00:00,,2020-10-30 00:00:00,autonomico,,30.0,,,
cataluna,,CE.5,2020-10-30 00:00:00,,2020-10-30 00:00:00,autonomico,,30.0,,,
cataluna,,CE.6,2020-10-30 00:00:00,,2020-10-30 00:00:00,autonomico,,30.0,,,
cataluna,,CE.2,2020-10-16 00:00:00,2020-10-30 00:00:00,2020-10-16 00:00:00,autonomico,,50.0,,,
cataluna,,CE.3,2020-10-16 00:00:00,2020-10-30 00:00:00,2020-10-16 00:00:00,autonomico,,50.0,,,
cataluna,,CE.4,2020-10-16 00:00:00,2020-10-30 00:00:00,2020-10-16 00:00:00,autonomico,,50.0,,,
cataluna,,CE.5,2020-10-16 00:00:00,2020-10-30 00:00:00,2020-10-16 00:00:00,autonomico,,50.0,,,
cataluna,,CE.6,2020-10-16 00:00:00,2020-10-30 00:00:00,2020-10-16 00:00:00,autonomico,,50.0,,,
cataluna,,RS.6,2020-07-29 00:00:00,,2020-07-29 00:00:00,autonomico,,,,,
cataluna,,LA.1,2020-10-16 00:00:00,2021-03-14 00:00:00,2020-10-16 00:00:00,autonomico,,,,,
cataluna,,ON.1,2020-08-20 00:00:00,,2020-08-20 00:00:00,autonomico,,,,,
cataluna,,RS.1,2020-09-26 00:00:00,,2020-09-26 00:00:00,autonomico,,,6.0,,
cataluna,,RS.1,2020-08-18 00:00:00,2020-09-26 00:00:00,2020-08-18 00:00:00,autonomico,,,10.0,,
cataluna,,ED.3,2020-10-16 00:00:00,2021-02-21 00:00:00,2020-10-16 00:00:00,autonomico,,,,,
cataluna,,CD.9,2020-06-25 00:00:00,2020-10-16 00:00:00,2020-06-19 00:00:00,autonomico,,,1000.0,,
cataluna,,CD.10,2020-06-25 00:00:00,2020-10-16 00:00:00,2020-06-19 00:00:00,autonomico,,,2000.0,,
cataluna,,CD.9,2020-06-25 00:00:00,2020-10-16 00:00:00,2020-06-19 00:00:00,autonomico,,,,,
cataluna,,CD.10,2020-06-25 00:00:00,2020-10-16 00:00:00,2020-06-19 00:00:00,autonomico,,,,,
cataluna,,CD.9,2020-10-16 00:00:00,2020-10-30 00:00:00,2020-10-16 00:00:00,autonomico,,50.0,,,
cataluna,,CD.10,2020-10-16 00:00:00,2020-10-30 00:00:00,2020-10-16 00:00:00,autonomico,,50.0,,,
cataluna,,CD.11,2020-10-16 00:00:00,2020-10-30 00:00:00,2020-10-16 00:00:00,autonomico,,50.0,,,
cataluna,,CD.3,2020-10-30 00:00:00,2020-11-23 00:00:00,2020-10-30 00:00:00,autonomico,,,,,
cataluna,,CD.5,2020-10-30 00:00:00,2020-11-23 00:00:00,2020-10-30 00:00:00,autonomico,,,,,
cataluna,,CD.9,2020-11-23 00:00:00,,2020-11-23 00:00:00,autonomico,,,500.0,,
cataluna,,CD.9,2020-11-23 00:00:00,,2020-11-23 00:00:00,autonomico,,50.0,,,
cataluna,,CD.10,2020-11-23 00:00:00,,2020-11-23 00:00:00,autonomico,,50.0,,,
cataluna,,CD.10,2020-11-23 00:00:00,,2020-11-23 00:00:00,autonomico,,,1000.0,,
cataluna,,CD.6,2020-11-23 00:00:00,2020-12-05 00:00:00,2020-11-23 00:00:00,autonomico,,33.0,,,
cataluna,,CD.6,2020-12-05 00:00:00,,2020-12-04 00:00:00,autonomico,,50.0,,,
cataluna,,CD.6,2020-10-30 00:00:00,2020-11-23 00:00:00,2020-10-30 00:00:00,autonomico,,50.0,,,
cataluna,,CD.16,2020-10-16 00:00:00,,2020-10-16 00:00:00,autonomico,,,,,
cataluna,,TR.5,2020-06-25 00:00:00,2020-10-16 00:00:00,2020-06-19 00:00:00,autonomico,,,2000.0,,
cataluna,,TR.7,2020-06-25 00:00:00,2020-10-16 00:00:00,2020-06-19 00:00:00,autonomico,,,1000.0,,
cataluna,,TR.5,2020-06-25 00:00:00,2020-10-16 00:00:00,2020-06-19 00:00:00,autonomico,,,,,
cataluna,,TR.7,2020-06-25 00:00:00,2020-10-16 00:00:00,2020-06-19 00:00:00,autonomico,,,,,
cataluna,,TR.4,2020-10-16 00:00:00,,2020-10-16 00:00:00,autonomico,,,,,
cataluna,,TR.3,2020-10-16 00:00:00,2020-10-30 00:00:00,2020-10-16 00:00:00,autonomico,,,,,
cataluna,,TR.2,2020-10-30 00:00:00,,2020-10-30 00:00:00,autonomico,,,,,
cataluna,,CO.7,2020-10-25 00:00:00,,2020-10-25 00:00:00,autonomico,,,,,
cataluna,,CO.7,2021-01-07 00:00:00,2021-03-14 00:00:00,2021-01-05 00:00:00,autonomico,,,,,
cataluna,,CO.4,2020-10-30 00:00:00,2020-12-14 00:00:00,2020-10-30 00:00:00,autonomico,,,,,
cataluna,,CO.5,2020-10-16 00:00:00,2020-12-14 00:00:00,2020-10-16 00:00:00,autonomico,,,,,
cataluna,,CO.9,2020-12-14 00:00:00,2021-01-07 00:00:00,2020-12-12 00:00:00,autonomico,,30.0,,,
cataluna,,CO.4,2021-01-07 00:00:00,2021-02-28 00:00:00,2021-01-05 00:00:00,autonomico,,,,,
cataluna,,CO.2,2021-01-07 00:00:00,2021-03-14 00:00:00,2021-01-05 00:00:00,autonomico,,,,,
cataluna,,CO.3,2020-10-16 00:00:00,,2020-10-16 00:00:00,autonomico,,,,,
cataluna,,CO.10,2020-10-16 00:00:00,,2020-10-16 00:00:00,autonomico,,30.0,,,
cataluna,,CO.8,2020-10-16 00:00:00,,2020-10-16 00:00:00,autonomico,,30.0,,,
cataluna,,CO.2,2020-10-16 00:00:00,2020-11-23 00:00:00,2020-10-16 00:00:00,autonomico,,,,,
cataluna,,CO.8,2020-06-25 00:00:00,2020-10-16 00:00:00,2020-06-19 00:00:00,autonomico,,,,,
cataluna,,RH.6,2020-06-25 00:00:00,2020-10-16 00:00:00,2020-06-19 00:00:00,autonomico,,,,,
cataluna,,RH.7,2020-06-25 00:00:00,2020-10-16 00:00:00,2020-06-19 00:00:00,autonomico,,,,,
cataluna,,RH.5,2020-08-18 00:00:00,2020-10-16 00:00:00,2020-08-18 00:00:00,autonomico,,,,25.0,
cataluna,,RH.9,2020-09-26 00:00:00,2020-10-16 00:00:00,2020-09-26 00:00:00,autonomico,,,6.0,,
cataluna,,RH.9,2020-08-18 00:00:00,2020-09-26 00:00:00,2020-08-18 00:00:00,autonomico,,,10.0,,
cataluna,,RH.2,2020-10-16 00:00:00,2020-11-23 00:00:00,2020-10-16 00:00:00,autonomico,,,,,
cataluna,,RH.5,2020-11-23 00:00:00,2021-01-05 00:00:00,2020-11-23 00:00:00,autonomico,,,,21.0,
cataluna,,RH.5,2021-01-07 00:00:00,2021-03-07 00:00:00,2021-01-05 00:00:00,autonomico,,,,24.0,
cataluna,,RH.6,2020-11-23 00:00:00,,2020-11-23 00:00:00,autonomico,,50.0,,,
cataluna,,RH.7,2020-11-23 00:00:00,,2020-11-23 00:00:00,autonomico,,30.0,,,
cataluna,,RH.9,2020-11-23 00:00:00,,2020-11-23 00:00:00,autonomico,,,4.0,,
cataluna,lleida,MV.4,2020-07-04 00:00:00,2020-07-15 00:00:00,2020-07-04 00:00:00,subprovincial,48.0,,,,
cataluna,lleida,RS.1,2020-07-04 00:00:00,2020-07-15 00:00:00,2020-07-04 00:00:00,subprovincial,48.0,,10.0,,
cataluna,lleida,MV.4,2020-07-15 00:00:00,2020-07-30 00:00:00,2020-07-15 00:00:00,subprovincial,36.3,,,,
cataluna,lleida,MV.1,2020-07-15 00:00:00,2020-07-30 00:00:00,2020-07-15 00:00:00,subprovincial,36.3,,,,
