comunidad_autonoma,provincia,codigo,fecha_inicio,fecha_fin,fecha_publicacion_oficial,ambito,porcentaje_afectado,porcentaje,personas,hora,nivel_educacion
melilla_ciudad_de,melilla,CE.2,2020-12-20 00:00:00,2021-01-25 00:00:00,2020-12-15 00:00:00,autonomico,,33.33,,,
melilla_ciudad_de,melilla,MV.3,2020-12-12 00:00:00,,2020-12-11 00:00:00,autonomico,,,,,
melilla_ciudad_de,melilla,RH.6,2020-12-10 00:00:00,,2020-12-08 00:00:00,autonomico,,,10.0,,
melilla_ciudad_de,melilla,RH.7,2020-12-10 00:00:00,,2020-12-08 00:00:00,autonomico,,,10.0,,
melilla_ciudad_de,melilla,RH.9,2020-12-10 00:00:00,2021-03-15 00:00:00,2020-12-08 00:00:00,autonomico,,,4.0,,
melilla_ciudad_de,melilla,CE.6,2020-12-10 00:00:00,2021-01-07 00:00:00,2020-12-08 00:00:00,autonomico,,,25.0,,
melilla_ciudad_de,melilla,CE.2,2020-12-10 00:00:00,2020-12-20 00:00:00,2020-12-08 00:00:00,autonomico,,50.0,,,
melilla_ciudad_de,melilla,CD.6,2020-12-10 00:00:00,2021-01-07 00:00:00,2020-12-08 00:00:00,autonomico,,50.0,,,
melilla_ciudad_de,melilla,LA.3,2020-12-10 00:00:00,2021-01-07 00:00:00,2020-12-08 00:00:00,autonomico,,50.0,,,
melilla_ciudad_de,melilla,AF.5,2020-12-10 00:00:00,2021-01-07 00:00:00,2020-12-08 00:00:00,autonomico,,75.0,,,
melilla_ciudad_de,melilla,RS.1,2020-11-23 00:00:00,,2020-11-20 00:00:00,autonomico,,,4.0,,
melilla_ciudad_de,melilla,LA.1,2020-11-09 00:00:00,2020-12-10 00:00:00,2020-11-08 00:00:00,autonomico,,,,,
melilla_ciudad_de,melilla,RS.1,2020-11-09 00:00:00,2020-11-23 00:00:00,2020-11-07 00:00:00,autonomico,,,3.0,,
melilla_ciudad_de,melilla,CE.2,2020-10-27 00:00:00,2020-12-10 00:00:00,2020-10-27 00:00:00,autonomico,,33.33,,,
melilla_ciudad_de,melilla,MV.4,2020-10-29 00:00:00,,2020-10-27 00:00:00,autonomico,,,,,
melilla_ciudad_de,melilla,MV.3,2020-10-27 00:00:00,2020-12-12 00:00:00,2020-10-27 00:00:00,autonomico,,,,,
melilla_ciudad_de,melilla,RS.1,2020-10-27 00:00:00,2020-11-09 00:00:00,2020-10-27 00:00:00,autonomico,,,6.0,,
melilla_ciudad_de,melilla,TR.6,2020-10-15 00:00:00,,2020-10-14 00:00:00,autonomico,,,,,
melilla_ciudad_de,melilla,TR.4,2020-10-15 00:00:00,,2020-10-14 00:00:00,autonomico,,,,,
melilla_ciudad_de,melilla,RH.2,2020-10-18 00:00:00,2020-12-10 00:00:00,2020-10-14 00:00:00,autonomico,,,,,
melilla_ciudad_de,melilla,ON.1,2020-10-15 00:00:00,,2020-10-14 00:00:00,autonomico,,,,,
melilla_ciudad_de,melilla,CD.4,2020-10-15 00:00:00,,2020-10-14 00:00:00,autonomico,,,,,
melilla_ciudad_de,melilla,CD.1,2020-10-15 00:00:00,2020-12-10 00:00:00,2020-10-14 00:00:00,autonomico,,,6.0,,
melilla_ciudad_de,melilla,AF.7,2020-10-02 00:00:00,,2020-10-02 00:00:00,autonomico,,,,,
melilla_ciudad_de,melilla,AF.1,2020-10-02 00:00:00,2020-12-10 00:00:00,2020-10-02 00:00:00,autonomico,,,,,
melilla_ciudad_de,melilla,RH.6,2020-10-02 00:00:00,2020-10-18 00:00:00,2020-10-02 00:00:00,autonomico,,50.0,,,
melilla_ciudad_de,melilla,CE.6,2020-10-02 00:00:00,2020-10-18 00:00:00,2020-10-02 00:00:00,autonomico,,,150.0,,
melilla_ciudad_de,melilla,CE.6,2020-10-02 00:00:00,2020-10-18 00:00:00,2020-10-02 00:00:00,autonomico,,50.0,,,
melilla_ciudad_de,melilla,CE.5,2020-10-02 00:00:00,,2020-10-02 00:00:00,autonomico,,,100.0,,
melilla_ciudad_de,melilla,CE.5,2020-10-02 00:00:00,2020-10-01 00:00:00,2020-10-02 00:00:00,autonomico,,50.0,,,
melilla_ciudad_de,melilla,CE.4,2020-10-02 00:00:00,2021-03-15 00:00:00,2020-10-02 00:00:00,autonomico,,,25.0,,
melilla_ciudad_de,melilla,CE.3,2020-10-02 00:00:00,,2020-10-02 00:00:00,autonomico,,50.0,,,
melilla_ciudad_de,melilla,CE.3,2020-10-02 00:00:00,2021-01-07 00:00:00,2020-10-02 00:00:00,autonomico,,50.0,,,
melilla_ciudad_de,melilla,CE.2,2020-10-02 00:00:00,2020-10-27 00:00:00,2020-10-02 00:00:00,autonomico,,,,,
melilla_ciudad_de,melilla,RH.9,2020-08-17 00:00:00,2020-10-18 00:00:00,2020-08-14 00:00:00,autonomico,,,,,
melilla_ciudad_de,melilla,ON.8,2020-08-17 00:00:00,2020-10-15 00:00:00,2020-08-14 00:00:00,autonomico,,,200.0,,
melilla_ciudad_de,melilla,CE.6,2020-08-17 00:00:00,2020-10-02 00:00:00,2020-08-14 00:00:00,autonomico,,,150.0,,
melilla_ciudad_de,melilla,CE.5,2020-08-17 00:00:00,2020-10-02 00:00:00,2020-08-14 00:00:00,autonomico,,,25.0,,
melilla_ciudad_de,melilla,CE.4,2020-08-17 00:00:00,2020-10-01 00:00:00,2020-08-14 00:00:00,autonomico,,,20.0,,
melilla_ciudad_de,melilla,CE.3,2020-08-17 00:00:00,2020-10-02 00:00:00,2020-08-14 00:00:00,autonomico,,,,,
melilla_ciudad_de,melilla,ON.7,2020-06-21 00:00:00,2020-10-15 00:00:00,2020-06-19 00:00:00,autonomico,,75.0,,,
melilla_ciudad_de,melilla,LA.3,2020-06-21 00:00:00,2020-11-09 00:00:00,2020-06-19 00:00:00,autonomico,,75.0,,,
melilla_ciudad_de,melilla,ED.4,2020-06-21 00:00:00,,2020-06-19 00:00:00,autonomico,,,300.0,,
melilla_ciudad_de,melilla,TR.9,2020-06-21 00:00:00,2020-10-15 00:00:00,2020-06-19 00:00:00,autonomico,,,30.0,,
melilla_ciudad_de,melilla,AF.16,2020-06-21 00:00:00,,2020-06-19 00:00:00,autonomico,,,300.0,,
melilla_ciudad_de,melilla,AF.16,2020-06-21 00:00:00,,2020-06-19 00:00:00,autonomico,,75.0,,,
melilla_ciudad_de,melilla,AF.15,2020-06-21 00:00:00,,2020-06-19 00:00:00,autonomico,,,1000.0,,
melilla_ciudad_de,melilla,AF.15,2020-06-21 00:00:00,,2020-06-19 00:00:00,autonomico,,75.0,,,
melilla_ciudad_de,melilla,AF.9,2020-06-21 00:00:00,,2020-06-19 00:00:00,autonomico,,,30.0,,
