comunidad_autonoma,provincia,codigo,fecha_inicio,fecha_fin,fecha_publicacion_oficial,ambito,porcentaje_afectado,porcentaje,personas,hora,nivel_educacion
murcia_region_de,,AF.12,2020-06-19 00:00:00,2020-10-26 00:00:00,2020-06-19 00:00:00,autonomico,,,,,
murcia_region_de,,AF.15,2020-06-19 00:00:00,2020-10-26 00:00:00,2020-06-19 00:00:00,autonomico,,75.0,,,
murcia_region_de,,AF.15,2020-06-19 00:00:00,2020-10-26 00:00:00,2020-06-19 00:00:00,autonomico,,,500.0,,
murcia_region_de,,AF.16,2020-06-19 00:00:00,2020-10-26 00:00:00,2020-06-19 00:00:00,autonomico,,75.0,,,
murcia_region_de,,AF.16,2020-06-19 00:00:00,2020-10-26 00:00:00,2020-06-19 00:00:00,autonomico,,,200.0,,
murcia_region_de,,AF.5,2020-06-19 00:00:00,2020-10-26 00:00:00,2020-06-19 00:00:00,autonomico,,,,,
murcia_region_de,,AF.5,2020-06-19 00:00:00,2020-10-26 00:00:00,2020-06-19 00:00:00,autonomico,,,30.0,,
murcia_region_de,,AF.6,2020-06-19 00:00:00,2020-10-26 00:00:00,2020-06-19 00:00:00,autonomico,,,40.0,,
murcia_region_de,,AF.7,2020-06-19 00:00:00,2020-10-26 00:00:00,2020-06-19 00:00:00,autonomico,,,,,
murcia_region_de,,CD.13,2020-06-19 00:00:00,2020-08-16 00:00:00,2020-06-19 00:00:00,autonomico,,,40.0,,
murcia_region_de,,CD.14,2020-06-19 00:00:00,2020-08-16 00:00:00,2020-06-19 00:00:00,autonomico,,,200.0,,
murcia_region_de,,CD.14,2020-06-19 00:00:00,2020-08-16 00:00:00,2020-06-19 00:00:00,autonomico,,,500.0,,
murcia_region_de,,CD.15,2020-06-19 00:00:00,2020-10-26 00:00:00,2020-06-19 00:00:00,autonomico,,75.0,,,
murcia_region_de,,CD.15,2020-06-19 00:00:00,2020-10-26 00:00:00,2020-06-19 00:00:00,autonomico,,75.0,,,
murcia_region_de,,CD.6,2020-06-19 00:00:00,2020-10-26 00:00:00,2020-06-19 00:00:00,autonomico,,,,,
