comunidad_autonoma,provincia,codigo,fecha_inicio,fecha_fin,fecha_publicacion_oficial,ambito,porcentaje_afectado,porcentaje,personas,hora,nivel_educacion
navarra_comunidad_foral_de,navarra,AF.12,2020-06-20 00:00:00,2020-09-25 00:00:00,2020-06-20 00:00:00,autonomico,,,25.0,,
navarra_comunidad_foral_de,navarra,AF.16,2020-06-20 00:00:00,2020-10-12 00:00:00,2020-06-20 00:00:00,autonomico,,75.0,,,
navarra_comunidad_foral_de,navarra,AF.5,2020-06-20 00:00:00,2020-10-12 00:00:00,2020-06-20 00:00:00,autonomico,,75.0,,,
navarra_comunidad_foral_de,navarra,AF.7,2020-06-20 00:00:00,2020-10-20 00:00:00,2020-06-20 00:00:00,autonomico,,,25.0,,
navarra_comunidad_foral_de,navarra,AF.9,2020-06-20 00:00:00,2020-09-11 00:00:00,2020-06-20 00:00:00,autonomico,,75.0,,,
navarra_comunidad_foral_de,navarra,CD.10,2020-06-20 00:00:00,2020-10-12 00:00:00,2020-06-20 00:00:00,autonomico,,75.0,,,
navarra_comunidad_foral_de,navarra,CD.14,2020-06-20 00:00:00,,2020-06-20 00:00:00,autonomico,,75.0,,,
navarra_comunidad_foral_de,navarra,CD.6,2020-06-20 00:00:00,2020-10-12 00:00:00,2020-06-20 00:00:00,autonomico,,,25.0,,
navarra_comunidad_foral_de,navarra,CD.6,2020-06-20 00:00:00,2020-10-12 00:00:00,2020-06-20 00:00:00,autonomico,,75.0,,,
navarra_comunidad_foral_de,navarra,CD.9,2020-06-20 00:00:00,2020-09-11 00:00:00,2020-06-20 00:00:00,autonomico,,75.0,,,
navarra_comunidad_foral_de,navarra,CE.2,2020-06-20 00:00:00,2020-08-28 00:00:00,2020-06-20 00:00:00,autonomico,,75.0,,,
navarra_comunidad_foral_de,navarra,CE.3,2020-06-20 00:00:00,2020-10-12 00:00:00,2020-06-20 00:00:00,autonomico,,50.0,,,
navarra_comunidad_foral_de,navarra,CE.4,2020-06-20 00:00:00,2020-10-12 00:00:00,2020-06-20 00:00:00,autonomico,,50.0,,,
navarra_comunidad_foral_de,navarra,CE.5,2020-06-20 00:00:00,2020-08-28 00:00:00,2020-06-20 00:00:00,autonomico,,75.0,,,
navarra_comunidad_foral_de,navarra,CE.6,2020-06-20 00:00:00,2020-08-28 00:00:00,2020-06-20 00:00:00,autonomico,,75.0,,,
navarra_comunidad_foral_de,navarra,CO.10,2020-06-20 00:00:00,,2020-06-20 00:00:00,autonomico,,75.0,,,
navarra_comunidad_foral_de,navarra,CO.8,2020-06-20 00:00:00,2020-10-12 00:00:00,2020-06-20 00:00:00,autonomico,,75.0,,,
navarra_comunidad_foral_de,navarra,CO.9,2020-06-20 00:00:00,2020-10-01 00:00:00,2020-06-20 00:00:00,autonomico,,50.0,,,
