comunidad_autonoma,provincia,codigo,fecha_inicio,fecha_fin,fecha_publicacion_oficial,ambito,porcentaje_afectado,porcentaje,personas,hora,nivel_educacion
galicia,,AF.12,2020-06-21 00:00:00,2020-10-22 00:00:00,2020-06-13 00:00:00,autonomico,,67.0,,,
galicia,,AF.12,2020-06-21 00:00:00,2020-10-22 00:00:00,2020-06-13 00:00:00,autonomico,,,25.0,,
galicia,,AF.15,2020-06-21 00:00:00,2020-10-22 00:00:00,2020-06-13 00:00:00,autonomico,,,1000.0,,
galicia,,AF.16,2020-06-21 00:00:00,2020-10-22 00:00:00,2020-06-13 00:00:00,autonomico,,,300.0,,
galicia,,AF.17,2020-06-21 00:00:00,2020-10-22 00:00:00,2020-06-13 00:00:00,autonomico,,,25.0,,
galicia,,CD.10,2020-06-21 00:00:00,2020-10-22 00:00:00,2020-06-13 00:00:00,autonomico,,,1000.0,,
galicia,,CD.14,2020-06-21 00:00:00,2020-10-22 00:00:00,2020-06-13 00:00:00,autonomico,,,800.0,,
galicia,,CD.14,2020-06-21 00:00:00,2020-10-22 00:00:00,2020-06-13 00:00:00,autonomico,,50.0,,,
galicia,,CD.6,2020-06-21 00:00:00,2020-10-22 00:00:00,2020-06-13 00:00:00,autonomico,,,25.0,,
galicia,,CD.6,2020-06-21 00:00:00,2020-10-22 00:00:00,2020-06-13 00:00:00,autonomico,,75.0,,,
galicia,,CD.6,2020-06-21 00:00:00,2020-10-22 00:00:00,2020-06-13 00:00:00,autonomico,,,25.0,,
galicia,,CD.6,2020-06-21 00:00:00,2020-10-22 00:00:00,2020-06-13 00:00:00,autonomico,,65.0,,,
galicia,,CD.6,2020-06-21 00:00:00,2020-10-22 00:00:00,2020-06-13 00:00:00,autonomico,,75.0,,,
galicia,,CD.6,2020-06-21 00:00:00,2020-10-22 00:00:00,2020-06-13 00:00:00,autonomico,,75.0,,,
galicia,,CD.9,2020-06-21 00:00:00,2020-10-22 00:00:00,2020-06-13 00:00:00,autonomico,,75.0,,,
galicia,,CE.2,2020-06-21 00:00:00,2020-10-22 00:00:00,2020-06-13 00:00:00,autonomico,,65.0,,,
galicia,,CE.3,2020-06-21 00:00:00,2020-10-22 00:00:00,2020-06-13 00:00:00,autonomico,,,30.0,,
galicia,,CE.4,2020-06-21 00:00:00,2020-10-22 00:00:00,2020-06-13 00:00:00,autonomico,,,60.0,,
galicia,,CE.5,2020-06-21 00:00:00,2020-10-22 00:00:00,2020-06-13 00:00:00,autonomico,,,150.0,,
galicia,,CE.5,2020-06-21 00:00:00,2020-10-22 00:00:00,2020-06-13 00:00:00,autonomico,,75.0,,,
galicia,,CE.6,2020-06-21 00:00:00,2020-10-22 00:00:00,2020-06-13 00:00:00,autonomico,,,250.0,,
galicia,,CE.7,2020-06-21 00:00:00,2020-07-01 00:00:00,2020-06-13 00:00:00,autonomico,,,,,
galicia,,CO.10,2020-06-21 00:00:00,2020-10-22 00:00:00,2020-06-13 00:00:00,autonomico,,75.0,,,
galicia,,CO.8,2020-06-21 00:00:00,2020-10-22 00:00:00,2020-06-13 00:00:00,autonomico,,75.0,,,
galicia,,CO.8,2020-06-21 00:00:00,2020-10-22 00:00:00,2020-06-13 00:00:00,autonomico,,75.0,,,
galicia,,CO.9,2020-06-21 00:00:00,,2020-06-13 00:00:00,autonomico,,50.0,,,
galicia,,ED.4,2020-06-21 00:00:00,2020-10-22 00:00:00,2020-06-13 00:00:00,autonomico,,75.0,,,
galicia,,LA.3,2020-06-21 00:00:00,2020-07-01 00:00:00,2020-06-13 00:00:00,autonomico,,67.0,,,
galicia,,ON.2,2020-06-21 00:00:00,2020-08-17 00:00:00,2020-06-13 00:00:00,autonomico,,,,,
galicia,,ON.6,2020-06-21 00:00:00,2020-08-17 00:00:00,2020-06-13 00:00:00,autonomico,,65.0,,,
galicia,,ON.7,2020-06-21 00:00:00,2020-07-01 00:00:00,2020-06-13 00:00:00,autonomico,,,,,
galicia,,RH.6,2020-06-21 00:00:00,2020-10-22 00:00:00,2020-06-13 00:00:00,autonomico,,80.0,,,
galicia,,RH.7,2020-06-21 00:00:00,2020-10-22 00:00:00,2020-06-13 00:00:00,autonomico,,65.0,,,
galicia,,RH.9,2020-06-21 00:00:00,2020-08-17 00:00:00,2020-06-13 00:00:00,autonomico,,,25.0,,
galicia,,TR.5,2020-06-21 00:00:00,2020-10-22 00:00:00,2020-06-13 00:00:00,autonomico,,,1000.0,,
galicia,,TR.7,2020-06-21 00:00:00,2020-10-22 00:00:00,2020-06-13 00:00:00,autonomico,,,300.0,,
galicia,,TR.9,2020-06-21 00:00:00,2020-10-22 00:00:00,2020-06-13 00:00:00,autonomico,,75.0,,,
galicia,,AF.13,2020-07-01 00:00:00,,2020-06-27 00:00:00,autonomico,,,1000.0,,
galicia,,LA.3,2020-07-01 00:00:00,2020-10-22 00:00:00,2020-06-27 00:00:00,autonomico,,75.0,,,
galicia,,RS.6,2020-07-19 00:00:00,,2020-07-18 00:00:00,autonomico,,,,,
galicia,,ON.1,2020-08-17 00:00:00,2020-09-11 00:00:00,2020-08-15 00:00:00,autonomico,,,,,
galicia,,RH.5,2020-08-17 00:00:00,,2020-08-15 00:00:00,autonomico,,,,24.0,
galicia,,RH.9,2020-08-17 00:00:00,2020-10-22 00:00:00,2020-08-15 00:00:00,autonomico,,,10.0,,
galicia,,ON.2,2020-09-11 00:00:00,,2020-09-11 00:00:00,autonomico,,,,,
galicia,,ON.6,2020-09-11 00:00:00,2020-10-22 00:00:00,2020-09-11 00:00:00,autonomico,,75.0,,,
galicia,,ON.8,2020-09-11 00:00:00,,2020-09-11 00:00:00,autonomico,,,,,
galicia,,AF.12,2020-10-22 00:00:00,,2020-10-21 00:00:00,autonomico,,,5.0,,
galicia,,AF.12,2020-10-22 00:00:00,,2020-10-21 00:00:00,autonomico,,,5.0,,
galicia,,AF.15,2020-10-22 00:00:00,2020-12-04 00:00:00,2020-10-21 00:00:00,autonomico,,,150.0,,
galicia,,AF.16,2020-10-22 00:00:00,2020-12-04 00:00:00,2020-10-21 00:00:00,autonomico,,,60.0,,
galicia,,AF.17,2020-10-22 00:00:00,,2020-10-21 00:00:00,autonomico,,,5.0,,
galicia,,CD.10,2020-10-22 00:00:00,,2020-10-21 00:00:00,autonomico,,,150.0,,
galicia,,CD.6,2020-10-22 00:00:00,2020-12-04 00:00:00,2020-10-21 00:00:00,autonomico,,,5.0,,
galicia,,CD.6,2020-10-22 00:00:00,,2020-10-21 00:00:00,autonomico,,50.0,,,
galicia,,CD.9,2020-10-22 00:00:00,,2020-10-21 00:00:00,autonomico,,50.0,,,
galicia,,CE.2,2020-10-22 00:00:00,2020-11-10 00:00:00,2020-10-21 00:00:00,autonomico,,50.0,,,
galicia,,CE.3,2020-10-22 00:00:00,,2020-10-21 00:00:00,autonomico,,,10.0,,
galicia,,CE.4,2020-10-22 00:00:00,,2020-10-21 00:00:00,autonomico,,,25.0,,
