comunidad_autonoma,provincia,codigo,fecha_inicio,fecha_fin,fecha_publicacion_oficial,ambito,porcentaje_afectado,porcentaje,personas,hora,nivel_educacion
aragon,,AF.4,2020-06-21 00:00:00,2020-07-14 00:00:00,2020-06-20 00:00:00,autonomico,,,,,
aragon,,AF.15,2020-06-21 00:00:00,2020-10-20 00:00:00,2020-06-20 00:00:00,autonomico,,75.0,,,
aragon,,AF.16,2020-06-21 00:00:00,2020-10-20 00:00:00,2020-06-20 00:00:00,autonomico,,75.0,,,
aragon,,AF.9,2020-06-21 00:00:00,2020-10-20 00:00:00,2020-06-20 00:00:00,autonomico,,75.0,,,
aragon,,AF.5,2020-06-21 00:00:00,2020-10-20 00:00:00,2020-06-20 00:00:00,autonomico,,75.0,,,
aragon,,AF.7,2020-06-21 00:00:00,2020-10-20 00:00:00,2020-06-20 00:00:00,autonomico,,,30.0,,
aragon,,AF.12,2020-06-21 00:00:00,2020-10-20 00:00:00,2020-06-20 00:00:00,autonomico,,,30.0,,
aragon,,AF.6,2020-06-21 00:00:00,,2020-06-20 00:00:00,autonomico,,75.0,,,
aragon,zaragoza,CO.9,2020-07-14 00:00:00,2020-09-04 00:00:00,2020-07-14 00:00:00,subprovincial,80.4,75.0,,,
aragon,,CO.8,2020-06-21 00:00:00,2020-10-20 00:00:00,2020-06-20 00:00:00,autonomico,,75.0,,,
aragon,,CO.8,2020-11-06 00:00:00,2021-01-04 00:00:00,2020-11-05 00:00:00,autonomico,,25.0,,,
aragon,zaragoza,CO.8,2020-07-14 00:00:00,2020-09-04 00:00:00,2020-07-14 00:00:00,subprovincial,80.4,75.0,,,
aragon,,CO.8,2021-01-05 00:00:00,,2021-01-04 00:00:00,autonomico,,25.0,,,
aragon,,CO.8,2020-10-20 00:00:00,2020-11-06 00:00:00,2020-10-19 00:00:00,autonomico,,50.0,,,
aragon,,CO.10,2020-12-15 00:00:00,,2020-12-14 00:00:00,autonomico,,100.0,,,
aragon,,CO.10,2020-10-20 00:00:00,2020-11-06 00:00:00,2020-10-19 00:00:00,autonomico,,50.0,,,
aragon,,CO.10,2020-11-06 00:00:00,2020-12-15 00:00:00,2020-11-05 00:00:00,autonomico,,25.0,,,
aragon,zaragoza,TR.9,2020-07-14 00:00:00,2020-09-04 00:00:00,2020-07-14 00:00:00,subprovincial,80.4,,50.0,,
aragon,zaragoza,TR.9,2020-10-08 00:00:00,2020-10-14 00:00:00,2020-10-07 00:00:00,subprovincial,70.0,,50.0,,
aragon,,TR.9,2021-03-05 00:00:00,,2021-03-04 00:00:00,autonomico,,30.0,,,
aragon,,TR.7,2020-06-21 00:00:00,2020-10-20 00:00:00,2020-06-20 00:00:00,autonomico,,75.0,,,
aragon,,TR.7,2020-10-20 00:00:00,2020-11-06 00:00:00,2020-10-19 00:00:00,autonomico,,,20.0,,
aragon,,CD.14,2020-06-21 00:00:00,2020-11-06 00:00:00,2020-06-20 00:00:00,autonomico,,50.0,,,
aragon,,LA.3,2020-06-21 00:00:00,2020-10-20 00:00:00,2020-06-20 00:00:00,autonomico,,75.0,,,
aragon,,LA.3,2021-01-05 00:00:00,,2021-01-04 00:00:00,autonomico,,30.0,,,
aragon,,LA.3,2020-10-20 00:00:00,2020-11-06 00:00:00,2020-10-19 00:00:00,autonomico,,50.0,,,
aragon,,LA.3,2020-12-15 00:00:00,2021-01-04 00:00:00,2020-12-14 00:00:00,autonomico,,50.0,,,
aragon,zaragoza,ON.6,2020-07-14 00:00:00,2020-08-17 00:00:00,2020-07-14 00:00:00,subprovincial,80.4,75.0,,,
aragon,,ON.5,2020-06-21 00:00:00,2020-08-17 00:00:00,2020-06-20 00:00:00,autonomico,,50.0,,,
aragon,zaragoza,ON.5,2020-07-14 00:00:00,2020-08-17 00:00:00,2020-07-14 00:00:00,subprovincial,80.4,50.0,,,
