date,retail,grocery,parks,transit,workplaces,residential,ia7,growth_rate
2020-02-15,-3.0,-6.0,31.0,15.0,1.0,-3.0,0.5989099838294304,
2020-02-16,0.0,0.0,18.0,8.0,2.0,-2.0,0.5989099838294304,
2020-02-17,-2.0,-1.0,-9.0,-2.0,2.0,0.0,1.1978199676588608,
2020-02-18,-1.0,-2.0,8.0,1.0,3.0,0.0,1.1978199676588608,
2020-02-19,0.0,-2.0,13.0,-1.0,3.0,0.0,1.1978199676588608,300.0
2020-02-20,3.0,0.0,14.0,4.0,3.0,-1.0,1.1978199676588608,300.0
2020-02-21,1.0,0.0,15.0,6.0,1.0,-2.0,1.7967299514882913,500.0000000000001
2020-02-22,4.0,-5.0,99.0,34.0,4.0,-4.0,1.7967299514882913,200.00000000000006
2020-02-23,26.0,20.0,75.0,42.0,2.0,-4.0,2.0961849434030064,250.0
2020-02-24,8.0,5.0,44.0,3.0,-10.0,0.0,2.9945499191471523,150.00000000000006
2020-02-25,-4.0,0.0,19.0,-4.0,-6.0,1.0,5.090734862550159,325.0
2020-02-26,-6.0,-1.0,-10.0,-8.0,1.0,1.0,7.48637479786788,525.0
2020-02-27,-1.0,1.0,0.0,-1.0,2.0,0.0,9.882014733185601,725.0
2020-02-28,2.0,3.0,16.0,8.0,2.0,-2.0,16.76947954722405,833.3333333333333
2020-02-29,-5.0,3.0,-4.0,-2.0,1.0,-1.0,21.560759417859494,1099.9999999999998
2020-03-01,0.0,-6.0,0.0,6.0,2.0,-1.0,29.94549919147152,1328.5714285714287
2020-03-02,-4.0,4.0,-12.0,-2.0,2.0,0.0,41.025333892315984,1269.9999999999998
2020-03-03,-5.0,3.0,10.0,-3.0,2.0,0.0,50.308438641672154,888.2352941176471
2020-03-04,-4.0,1.0,9.0,-2.0,2.0,0.0,61.987183326346056,728.0000000000001
2020-03-05,-7.0,0.0,-11.0,-2.0,1.0,1.0,72.46810804336108,633.3333333333335
2020-03-06,-6.0,-4.0,-30.0,-5.0,-2.0,2.0,81.15230280888782,383.92857142857144
2020-03-07,-11.0,-2.0,-14.0,-7.0,-2.0,1.0,94.02886746122059,336.11111111111126
2020-03-08,2.0,-1.0,26.0,17.0,1.0,0.0,99.41905731568546,232.00000000000009
2020-03-09,-4.0,15.0,-3.0,-2.0,0.0,0.0,105.70761214589447,157.66423357664237
2020-03-10,-10.0,23.0,27.0,-13.0,-8.0,3.0,122.77654668503325,144.04761904761907
2020-03-11,-12.0,7.0,46.0,-14.0,-10.0,3.0,134.15583637779244,116.42512077294688
2020-03-12,-30.0,15.0,-17.0,-26.0,-14.0,7.0,152.42259088459002,110.3305785123967
2020-03-13,-45.0,27.0,-35.0,-42.0,-20.0,12.0,177.5768102054261,118.8191881918819
2020-03-14,-73.0,-14.0,-30.0,-58.0,-33.0,16.0,202.73102952626223,115.60509554140128
2020-03-15,-88.0,-61.0,-75.0,-75.0,-47.0,19.0,228.48415883092773,129.8192771084337
2020-03-16,-82.0,-32.0,-73.0,-73.0,-45.0,22.0,258.72911301431395,144.75920679886687
2020-03-17,-84.0,-33.0,-72.0,-76.0,-53.0,26.0,273.7018626100497,122.9268292682927
2020-03-18,-83.0,-21.0,-71.0,-75.0,-56.0,27.0,302.74899682577706,125.66964285714279
2020-03-19,-93.0,-91.0,-82.0,-88.0,-89.0,40.0,303.34790680960646,99.01768172888012
2020-03-20,-88.0,-28.0,-80.0,-81.0,-73.0,37.0,313.52937653470684,76.55986509274875
2020-03-21,-92.0,-49.0,-85.0,-85.0,-63.0,28.0,302.4495418338624,49.18759231905465
2020-03-22,-93.0,-76.0,-88.0,-86.0,-64.0,23.0,289.87243217344434,26.86762778505898
2020-03-23,-85.0,-38.0,-73.0,-78.0,-60.0,27.0,270.70731269090254,4.629629629629628
2020-03-24,-87.0,-45.0,-74.0,-81.0,-62.0,29.0,258.72911301431395,-5.470459518599569
2020-03-25,-88.0,-48.0,-78.0,-81.0,-62.0,31.0,232.377073725819,-23.24431256181998
2020-03-26,-88.0,-46.0,-79.0,-81.0,-63.0,31.0,229.98143379050128,-24.18558736426454
2020-03-27,-88.0,-43.0,-81.0,-80.0,-63.0,34.0,196.7419296879679,-37.24928366762178
2020-03-28,-92.0,-53.0,-86.0,-85.0,-63.0,28.0,183.26645505180574,-39.405940594059395
2020-03-29,-93.0,-79.0,-89.0,-87.0,-61.0,23.0,170.9888003833024,-41.01239669421487
2020-03-30,-89.0,-52.0,-80.0,-82.0,-74.0,32.0,166.19752051266693,-38.60619469026548
2020-03-31,-93.0,-51.0,-80.0,-82.0,-76.0,34.0,146.73294603821046,-43.28703703703704
2020-04-01,-93.0,-48.0,-80.0,-83.0,-75.0,35.0,132.95801641013355,-42.78350515463918
2020-04-02,-93.0,-46.0,-82.0,-83.0,-75.0,36.0,116.78744684673894,-49.218749999999986
2020-04-03,-90.0,-42.0,-84.0,-83.0,-74.0,38.0,117.38635683056836,-40.334855403348556
2020-04-04,-93.0,-52.0,-87.0,-86.0,-66.0,29.0,106.00706713780919,-42.156862745098046
2020-04-05,-94.0,-79.0,-89.0,-88.0,-67.0,24.0,100.61687728334431,-41.155866900175134
2020-04-06,-88.0,-43.0,-78.0,-82.0,-73.0,32.0,84.14685272803497,-49.36936936936937
2020-04-07,-89.0,-27.0,-77.0,-81.0,-72.0,32.0,79.35557285739954,-45.91836734693877
2020-04-08,-89.0,-22.0,-75.0,-80.0,-73.0,32.0,72.46810804336108,-45.4954954954955
2020-04-09,-95.0,-92.0,-84.0,-90.0,-90.0,41.0,65.88009822123735,-43.5897435897436
2020-04-10,-96.0,-93.0,-88.0,-92.0,-90.0,46.0,53.0035335689046,-54.84693877551019
2020-04-11,-93.0,-36.0,-86.0,-84.0,-62.0,28.0,48.81116368209859,-53.954802259887
2020-04-12,-94.0,-75.0,-88.0,-88.0,-65.0,24.0,43.42097382763371,-56.845238095238095
2020-04-13,-95.0,-91.0,-81.0,-90.0,-88.0,38.0,37.731328981254116,-55.16014234875445
2020-04-14,-88.0,-27.0,-72.0,-78.0,-63.0,28.0,32.64059411870396,-58.867924528301884
2020-04-15,-89.0,-36.0,-74.0,-79.0,-63.0,30.0,28.148769239983235,-61.15702479338842
2020-04-16,-89.0,-40.0,-76.0,-78.0,-63.0,31.0,26.052584296580225,-60.45454545454545
2020-04-17,-90.0,-39.0,-78.0,-79.0,-63.0,34.0,22.45912439360364,-57.6271186440678
2020-04-18,-94.0,-50.0,-85.0,-84.0,-59.0,28.0,20.66239444211535,-57.66871165644173
2020-04-19,-94.0,-75.0,-88.0,-86.0,-61.0,23.0,19.764029466371206,-54.48275862068965
2020-04-20,-88.0,-47.0,-72.0,-77.0,-60.0,27.0,20.06348445828592,-46.82539682539682
2020-04-21,-89.0,-48.0,-75.0,-80.0,-61.0,29.0,18.865664490627058,-42.201834862385326
2020-04-22,-88.0,-43.0,-73.0,-78.0,-60.0,30.0,17.667844522968196,-37.234042553191514
2020-04-23,-89.0,-39.0,-73.0,-78.0,-60.0,30.0,14.673294603821045,-43.67816091954023
2020-04-24,-89.0,-38.0,-77.0,-78.0,-60.0,33.0,13.17601964424747,-41.333333333333336
2020-04-25,-93.0,-45.0,-84.0,-82.0,-57.0,27.0,13.774929628076903,-33.333333333333314
2020-04-26,-90.0,-66.0,-72.0,-77.0,-59.0,22.0,10.480924717015032,-46.96969696969697
2020-04-27,-85.0,-27.0,-56.0,-72.0,-65.0,28.0,7.785829789782595,-61.19402985074627
