date,retail,grocery,parks,transit,workplaces,residential,ia7,growth_rate
2020-02-15,3.0,-5.0,35.0,13.0,1.0,-3.0,0.0,
2020-02-16,5.0,1.0,40.0,18.0,0.0,-4.0,0.0,
2020-02-17,-2.0,3.0,7.0,20.0,5.0,-1.0,0.0,
2020-02-18,-3.0,-1.0,-4.0,6.0,4.0,-1.0,0.0,
2020-02-19,0.0,1.0,7.0,9.0,4.0,-1.0,0.0,
2020-02-20,6.0,2.0,52.0,21.0,2.0,-2.0,0.0,
2020-02-21,-1.0,-1.0,16.0,20.0,3.0,-2.0,0.0,
2020-02-22,2.0,-4.0,53.0,16.0,3.0,-3.0,0.0,
2020-02-23,7.0,19.0,52.0,10.0,3.0,-5.0,0.0,
2020-02-24,0.0,0.0,26.0,17.0,-13.0,-1.0,0.25755273392227057,
2020-02-25,-2.0,0.0,13.0,4.0,-12.0,-1.0,0.25755273392227057,
2020-02-26,0.0,-1.0,16.0,9.0,-1.0,-1.0,0.25755273392227057,
2020-02-27,3.0,7.0,10.0,15.0,1.0,-1.0,0.25755273392227057,
2020-02-28,3.0,0.0,34.0,20.0,0.0,-2.0,0.7726582017668118,
2020-02-29,7.0,2.0,29.0,13.0,3.0,-2.0,1.802869137455894,
2020-03-01,0.0,4.0,3.0,7.0,1.0,-3.0,4.3783964766786,
2020-03-02,-7.0,-1.0,-23.0,9.0,3.0,2.0,6.438818348056765,2400.0000000000005
2020-03-03,-6.0,0.0,-12.0,-3.0,4.0,0.0,8.49924021943493,3200.0
2020-03-04,-3.0,0.0,-6.0,4.0,3.0,0.0,10.817214824735364,4100.000000000001
2020-03-05,-2.0,0.0,-2.0,6.0,3.0,0.0,13.1351894300358,5000.000000000001
2020-03-06,-3.0,1.0,-3.0,11.0,3.0,0.0,15.710716769258504,1933.3333333333328
2020-03-07,-1.0,-2.0,10.0,3.0,0.0,-1.0,21.119324181626187,1071.4285714285716
2020-03-08,4.0,12.0,34.0,13.0,2.0,-2.0,24.725062456537977,464.7058823529412
2020-03-09,-3.0,2.0,4.0,10.0,4.0,0.0,29.87611713498339,363.99999999999994
2020-03-10,-2.0,12.0,15.0,0.0,3.0,-1.0,38.37535735441831,351.51515151515144
2020-03-11,-2.0,16.0,21.0,2.0,1.0,-1.0,51.510546784454114,376.1904761904761
2020-03-12,-11.0,35.0,7.0,1.0,-1.0,0.0,70.31189636077987,435.2941176470589
2020-03-13,-38.0,33.0,-22.0,-19.0,-18.0,7.0,94.5218533494733,501.63934426229514
2020-03-14,-68.0,-18.0,-44.0,-42.0,-32.0,14.0,112.55054472403225,432.92682926829275
2020-03-15,-88.0,-58.0,-71.0,-75.0,-50.0,16.0,152.72877121590645,517.7083333333333
2020-03-16,-81.0,-32.0,-73.0,-66.0,-51.0,22.0,180.54446647951167,504.3103448275861
2020-03-17,-84.0,-41.0,-74.0,-72.0,-56.0,23.0,202.9515543307492,428.8590604026846
2020-03-18,-83.0,-32.0,-70.0,-70.0,-58.0,23.0,216.85940196255183,321.0
2020-03-19,-93.0,-92.0,-80.0,-86.0,-85.0,35.0,234.11543513534397,232.96703296703294
2020-03-20,-87.0,-34.0,-74.0,-76.0,-68.0,32.0,240.55425348340074,154.4959128065395
2020-03-21,-92.0,-60.0,-85.0,-80.0,-64.0,27.0,249.31104643675792,121.51029748283753
2020-03-22,-94.0,-80.0,-88.0,-89.0,-66.0,23.0,235.14564607103304,53.9629005059022
2020-03-23,-85.0,-46.0,-77.0,-76.0,-61.0,26.0,228.7068277229763,26.676176890156956
2020-03-24,-87.0,-55.0,-81.0,-79.0,-64.0,28.0,223.29822031060863,10.025380710659926
2020-03-25,-87.0,-55.0,-76.0,-78.0,-65.0,28.0,214.02632188940686,-1.306413301662701
2020-03-26,-87.0,-55.0,-77.0,-77.0,-66.0,28.0,211.9659000180287,-9.460946094609469
2020-03-27,-90.0,-57.0,-82.0,-80.0,-67.0,34.0,194.70986684523658,-19.05781584582441
2020-03-28,-92.0,-60.0,-85.0,-81.0,-64.0,27.0,178.99915007597806,-28.202479338842966
2020-03-29,-94.0,-82.0,-87.0,-90.0,-64.0,23.0,172.81788446184356,-26.50602409638555
2020-03-30,-89.0,-57.0,-78.0,-79.0,-71.0,29.0,172.04522626007673,-24.774774774774798
2020-03-31,-93.0,-55.0,-82.0,-80.0,-73.0,30.0,164.31864424240862,-26.41291810841986
2020-04-01,-93.0,-57.0,-78.0,-79.0,-73.0,30.0,159.68269503180778,-25.391095066185308
2020-04-02,-92.0,-57.0,-78.0,-80.0,-73.0,31.0,139.0784763180261,-34.38639125151883
2020-04-03,-89.0,-51.0,-78.0,-81.0,-72.0,35.0,130.3216833646689,-33.06878306878307
2020-04-04,-92.0,-61.0,-85.0,-82.0,-66.0,27.0,131.351894300358,-26.618705035971225
2020-04-05,-94.0,-83.0,-86.0,-89.0,-67.0,23.0,117.70159940247767,-31.892697466467958
2020-04-06,-87.0,-51.0,-75.0,-78.0,-71.0,29.0,102.76354083498595,-40.269461077844305
2020-04-07,-86.0,-41.0,-76.0,-78.0,-71.0,28.0,90.14345687279469,-45.141065830721004
2020-04-08,-85.0,-33.0,-72.0,-76.0,-72.0,27.0,85.24995492827155,-46.61290322580647
2020-04-09,-94.0,-88.0,-80.0,-88.0,-86.0,35.0,84.73484946042701,-39.07407407407408
2020-04-10,-97.0,-95.0,-86.0,-92.0,-88.0,43.0,83.44708579081566,-35.96837944664032
2020-04-11,-90.0,-50.0,-81.0,-78.0,-62.0,26.0,68.50902722332397,-47.84313725490197
2020-04-12,-95.0,-83.0,-85.0,-89.0,-65.0,23.0,61.297550673500396,-47.921225382932164
2020-04-13,-94.0,-90.0,-78.0,-86.0,-83.0,33.0,55.373837793288175,-46.11528822055138
2020-04-14,-84.0,-37.0,-74.0,-74.0,-63.0,25.0,54.601179591521365,-39.428571428571416
2020-04-15,-85.0,-48.0,-76.0,-76.0,-64.0,27.0,50.22278311484277,-41.08761329305135
2020-04-16,-86.0,-51.0,-73.0,-76.0,-64.0,27.0,38.37535735441832,-54.7112462006079
2020-04-17,-88.0,-52.0,-74.0,-77.0,-63.0,32.0,33.996960877739724,-59.25925925925925
2020-04-18,-91.0,-59.0,-82.0,-79.0,-59.0,26.0,35.54227728127334,-48.12030075187968
2020-04-19,-95.0,-82.0,-86.0,-89.0,-64.0,23.0,36.31493548304015,-40.7563025210084
2020-04-20,-85.0,-56.0,-70.0,-75.0,-61.0,26.0,34.25451361166199,-38.13953488372091
2020-04-21,-86.0,-52.0,-77.0,-77.0,-61.0,26.0,31.421433538517007,-42.45283018867926
2020-04-22,-86.0,-52.0,-71.0,-74.0,-62.0,26.0,31.16388080459474,-37.948717948717956
2020-04-23,-85.0,-53.0,-71.0,-75.0,-62.0,26.0,30.133669868905656,-21.476510067114106
2020-04-24,-87.0,-50.0,-70.0,-74.0,-60.0,30.0,30.648775336750194,-9.848484848484873
2020-04-25,-90.0,-56.0,-79.0,-77.0,-57.0,25.0,28.588353465372037,-19.565217391304344
2020-04-26,-91.0,-75.0,-73.0,-84.0,-61.0,22.0,28.845906199294305,-20.567375886524818
2020-04-27,-83.0,-53.0,-64.0,-69.0,-58.0,24.0,31.42143353851701,-8.270676691729339
2020-04-28,-83.0,-48.0,-62.0,-72.0,-59.0,24.0,33.22430267597291,5.737704918032827
2020-04-29,-82.0,-44.0,-57.0,-69.0,-59.0,24.0,31.42143353851701,0.8264462809917328
2020-04-30,-80.0,-28.0,-58.0,-67.0,-59.0,23.0,31.16388080459474,3.418803418803429
2020-05-01,-93.0,-91.0,-67.0,-86.0,-83.0,39.0,29.103458933216576,-5.042016806722671
2020-05-02,-82.0,-35.0,-42.0,-55.0,-51.0,21.0,27.81569526360522,-2.7027027027027195
2020-05-03,-81.0,-48.0,-35.0,-65.0,-49.0,18.0,24.209956988693435,-16.07142857142857
2020-05-04,-73.0,-36.0,-26.0,-54.0,-53.0,20.0,19.574007778092565,-37.70491803278689
2020-05-05,-74.0,-33.0,-32.0,-55.0,-53.0,19.0,17.25603317279213,-48.062015503875976
2020-05-06,-73.0,-38.0,-26.0,-56.0,-55.0,21.0,16.22582223710305,-48.36065573770492
