date,retail,grocery,parks,transit,workplaces,residential,ia7,growth_rate
2020-02-15,3.0,-1.0,34.0,7.0,0.0,-1.0,0.2659732920259079,400.0
2020-02-16,-2.0,1.0,8.0,5.0,-2.0,-1.0,0.3191679504310895,499.9999999999999
2020-02-17,0.0,2.0,9.0,7.0,3.0,0.0,0.3191679504310895,199.99999999999994
2020-02-18,-5.0,-2.0,-14.0,-2.0,2.0,1.0,0.37236260883627104,249.99999999999991
2020-02-19,1.0,1.0,10.0,3.0,3.0,0.0,0.4255572672414526,299.9999999999999
2020-02-20,1.0,0.0,14.0,8.0,2.0,-1.0,0.37236260883627104,249.99999999999991
2020-02-21,1.0,1.0,15.0,5.0,-2.0,0.0,0.3191679504310895,49.99999999999998
2020-02-22,1.0,1.0,44.0,18.0,2.0,-1.0,0.3191679504310895,19.999999999999996
2020-02-23,-1.0,5.0,21.0,16.0,0.0,-2.0,0.3723626088362711,16.666666666666675
2020-02-24,1.0,2.0,20.0,8.0,1.0,0.0,0.6383359008621791,100.00000000000004
2020-02-25,1.0,4.0,25.0,9.0,3.0,0.0,0.6383359008621791,71.42857142857149
2020-02-26,0.0,4.0,20.0,5.0,3.0,0.0,0.7447252176725422,75.00000000000003
2020-02-27,1.0,5.0,17.0,8.0,2.0,0.0,0.9575038512932685,157.1428571428572
2020-02-28,4.0,5.0,24.0,7.0,3.0,-1.0,1.2234771433191765,283.33333333333337
2020-02-29,5.0,3.0,42.0,14.0,2.0,-2.0,1.5958397521554477,400.0000000000001
2020-03-01,1.0,-1.0,13.0,8.0,2.0,-1.0,2.2341756530176267,500.0000000000001
2020-03-02,-4.0,0.0,-11.0,3.0,2.0,1.0,2.7661222370694425,333.3333333333333
2020-03-03,0.0,5.0,6.0,3.0,4.0,0.0,3.244874162716077,408.3333333333333
2020-03-04,2.0,4.0,18.0,4.0,3.0,0.0,3.8832100635782556,421.42857142857144
2020-03-05,1.0,4.0,11.0,6.0,2.0,0.0,4.7343245980611615,394.44444444444457
2020-03-06,0.0,2.0,2.0,2.0,0.0,0.0,5.745023107759612,369.5652173913044
2020-03-07,0.0,0.0,28.0,5.0,2.0,0.0,6.276969691811427,293.3333333333333
2020-03-08,1.0,-1.0,25.0,11.0,3.0,-2.0,7.713225468751331,245.2380952380952
2020-03-09,-1.0,3.0,12.0,6.0,3.0,0.0,9.947401121768959,259.61538461538464
2020-03-10,-1.0,11.0,17.0,3.0,3.0,0.0,15.05408832866639,363.9344262295082
2020-03-11,-1.0,13.0,23.0,0.0,2.0,0.0,20.10758087715864,417.8082191780822
2020-03-12,-7.0,22.0,10.0,-5.0,0.0,1.0,25.746214668107886,443.820224719101
2020-03-13,-25.0,35.0,-15.0,-23.0,-7.0,4.0,32.60832560237631,467.5925925925925
2020-03-14,-72.0,-13.0,-45.0,-43.0,-33.0,15.0,40.85349765517946,550.8474576271187
2020-03-15,-89.0,-65.0,-79.0,-62.0,-50.0,17.0,48.67311244074115,531.0344827586207
2020-03-16,-78.0,-33.0,-74.0,-63.0,-47.0,21.0,57.024673810354656,473.2620320855613
