date,retail,grocery,parks,transit,workplaces,residential,ia7,growth_rate
2020-02-15,5.0,-3.0,40.0,10.0,1.0,-2.0,0.0,
2020-02-16,-2.0,0.0,-2.0,1.0,1.0,-1.0,0.0,
2020-02-17,0.0,-2.0,3.0,5.0,3.0,-1.0,0.0,
2020-02-18,-3.0,-3.0,-2.0,5.0,3.0,0.0,0.0,
2020-02-19,-1.0,-3.0,3.0,4.0,3.0,0.0,0.0,
2020-02-20,1.0,-2.0,7.0,7.0,1.0,0.0,0.0,
2020-02-21,2.0,-1.0,18.0,6.0,2.0,-1.0,0.0,
2020-02-22,4.0,-1.0,53.0,19.0,4.0,-2.0,0.0,
2020-02-23,1.0,4.0,18.0,6.0,3.0,-1.0,0.0,
2020-02-24,1.0,0.0,10.0,8.0,4.0,-1.0,0.0,
2020-02-25,3.0,0.0,21.0,13.0,3.0,-1.0,0.13737301581850278,
2020-02-26,5.0,2.0,31.0,10.0,-10.0,0.0,0.13737301581850278,
2020-02-27,13.0,16.0,27.0,15.0,-14.0,-2.0,0.13737301581850278,
2020-02-28,-15.0,-66.0,72.0,-7.0,-59.0,8.0,0.13737301581850278,
2020-02-29,2.0,8.0,39.0,15.0,-4.0,-1.0,0.13737301581850278,
2020-03-01,-3.0,0.0,1.0,6.0,2.0,-4.0,0.13737301581850278,
2020-03-02,-4.0,1.0,-17.0,4.0,1.0,0.0,0.13737301581850278,
2020-03-03,0.0,2.0,7.0,7.0,4.0,-1.0,0.0,-100.0
2020-03-04,4.0,2.0,20.0,9.0,0.0,0.0,0.27474603163700556,100.0
2020-03-05,3.0,2.0,4.0,5.0,2.0,0.0,0.5494920632740111,300.0
2020-03-06,4.0,3.0,10.0,7.0,-1.0,0.0,0.8242380949110166,499.9999999999999
2020-03-07,5.0,0.0,22.0,16.0,2.0,-1.0,0.9616111107295194,599.9999999999999
2020-03-08,5.0,5.0,12.0,8.0,4.0,-1.0,1.5111031740035306,999.9999999999998
2020-03-09,2.0,-1.0,7.0,9.0,4.0,-1.0,2.6100873005515526,1799.9999999999995
2020-03-10,0.0,8.0,13.0,7.0,3.0,-1.0,3.571698411281072,
2020-03-11,0.0,12.0,17.0,7.0,2.0,-1.0,4.670682537829094,1599.9999999999995
2020-03-12,-7.0,23.0,6.0,2.0,0.0,0.0,5.90703968019562,975.0
2020-03-13,-25.0,31.0,-14.0,-12.0,-4.0,3.0,7.830261901654659,850.0
2020-03-14,-56.0,-10.0,-34.0,-36.0,-16.0,10.0,9.203992059839686,857.1428571428571
2020-03-15,-86.0,-51.0,-77.0,-67.0,-41.0,17.0,11.401960312935731,654.5454545454547
2020-03-16,-78.0,-35.0,-65.0,-62.0,-43.0,18.0,13.462555550213272,415.78947368421063
2020-03-17,-82.0,-45.0,-67.0,-68.0,-49.0,21.0,14.28679364512429,300.0
2020-03-18,-83.0,-46.0,-68.0,-70.0,-51.0,22.0,14.698912692579798,214.70588235294122
2020-03-19,-84.0,-49.0,-72.0,-73.0,-55.0,24.0,16.21001586658333,174.41860465116278
2020-03-20,-85.0,-46.0,-73.0,-75.0,-54.0,27.0,17.995865072223864,129.82456140350877
2020-03-21,-90.0,-58.0,-82.0,-81.0,-52.0,25.0,20.60595237277542,123.88059701492544
