date,retail,grocery,parks,transit,workplaces,residential,ia7,growth_rate
2020-02-15,14.0,8.0,70.0,25.0,2.0,-2.0,0.6342601989039984,
2020-02-16,14.0,-4.0,39.0,21.0,1.0,-2.0,0.6342601989039984,
2020-02-17,-3.0,5.0,7.0,5.0,4.0,-1.0,0.0,-100.0
2020-02-18,0.0,0.0,10.0,-2.0,5.0,-1.0,0.0,-100.0
2020-02-19,-4.0,-2.0,12.0,8.0,4.0,-1.0,0.0,-100.0
2020-02-20,1.0,2.0,20.0,12.0,4.0,-1.0,0.0,-100.0
2020-02-21,9.0,5.0,43.0,14.0,5.0,-3.0,0.0,-100.0
2020-02-22,29.0,13.0,98.0,34.0,6.0,-3.0,0.0,-100.0
2020-02-23,45.0,28.0,73.0,42.0,7.0,-5.0,1.2685203978079969,100.0
2020-02-24,9.0,6.0,79.0,9.0,-14.0,-1.0,1.2685203978079969,
2020-02-25,6.0,1.0,48.0,2.0,-12.0,0.0,1.2685203978079969,
2020-02-26,2.0,2.0,33.0,-1.0,-11.0,0.0,1.2685203978079969,
2020-02-27,10.0,9.0,31.0,9.0,3.0,-1.0,1.9027805967119953,
2020-02-28,18.0,14.0,82.0,17.0,3.0,-1.0,1.9027805967119953,
2020-02-29,25.0,18.0,66.0,22.0,2.0,0.0,1.9027805967119953,
2020-03-01,28.0,13.0,13.0,16.0,-2.0,0.0,2.5370407956159937,100.0
2020-03-02,-3.0,6.0,2.0,-1.0,2.0,1.0,3.171300994519992,150.0
2020-03-03,-2.0,0.0,0.0,-4.0,5.0,0.0,3.8055611934239906,199.99999999999994
2020-03-04,-3.0,1.0,15.0,-2.0,5.0,-1.0,5.074081591231987,300.0
2020-03-05,0.0,3.0,10.0,7.0,4.0,0.0,6.976862187943983,266.6666666666667
2020-03-06,3.0,2.0,16.0,-4.0,1.0,0.0,9.513902983559976,400.0
2020-03-07,9.0,5.0,42.0,9.0,2.0,0.0,10.782423381367973,466.6666666666667
2020-03-08,11.0,-1.0,28.0,13.0,3.0,-1.0,11.416683580271972,350.0
2020-03-09,-2.0,7.0,30.0,0.0,5.0,-1.0,19.66206616602395,519.9999999999999
2020-03-10,0.0,25.0,30.0,0.0,6.0,-2.0,31.71300994519992,733.3333333333334
2020-03-11,-1.0,23.0,39.0,-2.0,3.0,-1.0,43.76395372437589,762.4999999999998
2020-03-12,-6.0,31.0,36.0,-8.0,0.0,1.0,55.814897503551855,699.9999999999999
2020-03-13,-32.0,27.0,-3.0,-21.0,-8.0,5.0,92.60198903998376,873.3333333333333
2020-03-14,-68.0,-15.0,-36.0,-43.0,-27.0,12.0,130.02334077531967,1105.8823529411764
2020-03-15,-84.0,-51.0,-68.0,-73.0,-49.0,17.0,143.34280495230362,1155.5555555555554
2020-03-16,-82.0,-41.0,-58.0,-73.0,-52.0,22.0,159.1993099249036,709.6774193548387
2020-03-17,-81.0,-40.0,-56.0,-74.0,-57.0,22.0,190.91231987010352,501.99999999999994
2020-03-18,-83.0,-45.0,-55.0,-73.0,-58.0,23.0,221.99106961639944,407.24637681159425
2020-03-19,-83.0,-47.0,-57.0,-76.0,-61.0,25.0,263.8522427440633,372.72727272727275
2020-03-20,-87.0,-53.0,-67.0,-79.0,-62.0,30.0,268.9263243352953,190.4109589041096
2020-03-21,-92.0,-62.0,-83.0,-83.0,-59.0,25.0,277.8059671199513,113.65853658536587
2020-03-22,-93.0,-84.0,-82.0,-86.0,-64.0,23.0,300.0050740815912,109.29203539823011
2020-03-23,-84.0,-49.0,-60.0,-79.0,-63.0,25.0,308.8847168662472,94.02390438247012
2020-03-24,-85.0,-53.0,-60.0,-78.0,-64.0,25.0,298.1022934848792,56.14617940199334
2020-03-25,-86.0,-56.0,-62.0,-79.0,-65.0,26.0,308.8847168662472,39.142857142857125
2020-03-26,-86.0,-56.0,-59.0,-78.0,-64.0,27.0,279.0744875177593,5.769230769230771
2020-03-27,-88.0,-59.0,-68.0,-82.0,-65.0,32.0,274.0004059265273,1.8867924528301883
2020-03-28,-92.0,-66.0,-82.0,-83.0,-60.0,25.0,267.0235437385833,-3.8812785388127824
2020-03-29,-93.0,-83.0,-83.0,-86.0,-61.0,23.0,246.72721737365538,-17.758985200845657
2020-03-30,-89.0,-57.0,-64.0,-82.0,-69.0,28.0,244.8244367769434,-20.739219712525646
2020-03-31,-93.0,-58.0,-68.0,-82.0,-71.0,28.0,223.25959001420748,-25.106382978723396
2020-04-01,-93.0,-55.0,-64.0,-80.0,-70.0,28.0,197.2549218591435,-36.13963039014373
2020-04-02,-92.0,-53.0,-63.0,-81.0,-70.0,29.0,200.4262228536635,-28.181818181818173
2020-04-03,-88.0,-57.0,-70.0,-82.0,-70.0,33.0,178.86137609092754,-34.72222222222223
2020-04-04,-92.0,-66.0,-82.0,-84.0,-62.0,25.0,158.5650497259996,-40.61757719714964
2020-04-05,-94.0,-84.0,-85.0,-88.0,-63.0,24.0,157.9307895270956,-35.98971722365039
2020-04-06,-86.0,-53.0,-64.0,-81.0,-68.0,27.0,147.14836614572764,-39.896373056994825
2020-04-07,-87.0,-44.0,-63.0,-80.0,-68.0,27.0,145.24558554901563,-34.943181818181834
2020-04-08,-86.0,-37.0,-62.0,-79.0,-69.0,26.0,143.97706515120763,-27.0096463022508
2020-04-09,-93.0,-78.0,-74.0,-88.0,-82.0,33.0,126.85203978079969,-36.70886075949367
2020-04-10,-95.0,-93.0,-79.0,-90.0,-84.0,40.0,131.92612137203167,-26.241134751773032
2020-04-11,-93.0,-58.0,-81.0,-82.0,-60.0,26.0,124.9492591840877,-21.199999999999996
2020-04-12,-94.0,-79.0,-84.0,-88.0,-62.0,24.0,119.87517759285569,-24.096385542168676
2020-04-13,-86.0,-51.0,-60.0,-78.0,-64.0,25.0,115.4353562005277,-21.55172413793103
2020-04-14,-86.0,-49.0,-58.0,-77.0,-63.0,25.0,117.3381367972397,-19.213973799126638
2020-04-15,-86.0,-54.0,-64.0,-79.0,-64.0,26.0,97.67607063121574,-32.15859030837006
2020-04-16,-87.0,-55.0,-64.0,-79.0,-64.0,27.0,97.04181043231175,-23.50000000000001
2020-04-17,-89.0,-57.0,-69.0,-81.0,-63.0,32.0,82.45382585751979,-37.5
