date,retail,grocery,parks,transit,workplaces,residential,ia7,growth_rate
2020-02-15,1.0,-5.0,29.0,8.0,1.0,-2.0,0.1487791923372765,0.0
2020-02-16,1.0,6.0,21.0,9.0,0.0,-3.0,0.1487791923372765,0.0
2020-02-17,-4.0,3.0,5.0,0.0,5.0,-2.0,0.1487791923372765,0.0
2020-02-18,0.0,-3.0,20.0,0.0,4.0,-1.0,0.1487791923372765,0.0
2020-02-19,-1.0,-1.0,14.0,0.0,4.0,-1.0,0.1487791923372765,0.0
2020-02-20,1.0,0.0,12.0,3.0,4.0,-1.0,0.1487791923372765,0.0
2020-02-21,8.0,-2.0,52.0,13.0,4.0,-3.0,0.1487791923372765,0.0
2020-02-22,10.0,-4.0,91.0,31.0,9.0,-4.0,0.0,-100.0
2020-02-23,33.0,21.0,84.0,16.0,7.0,-5.0,0.0,-100.0
2020-02-24,13.0,7.0,67.0,8.0,-20.0,-2.0,0.0,-100.0
2020-02-25,-14.0,-27.0,37.0,-1.0,-38.0,2.0,0.1487791923372765,0.0
2020-02-26,-5.0,7.0,12.0,2.0,4.0,-1.0,0.1487791923372765,0.0
2020-02-27,-1.0,4.0,14.0,5.0,3.0,-1.0,0.297558384674553,100.0
2020-02-28,7.0,5.0,35.0,14.0,4.0,-2.0,0.595116769349106,300.0
2020-02-29,-1.0,3.0,11.0,19.0,0.0,0.0,0.8926751540236589,
2020-03-01,12.0,20.0,-2.0,10.0,3.0,0.0,0.8926751540236589,
2020-03-02,-4.0,5.0,-3.0,4.0,4.0,-1.0,1.0414543463609354,
2020-03-03,-5.0,1.0,-1.0,-6.0,4.0,0.0,0.892675154023659,500.0000000000001
2020-03-04,-4.0,2.0,13.0,-2.0,5.0,-1.0,1.0414543463609356,600.0000000000001
2020-03-05,-2.0,3.0,-1.0,-3.0,3.0,0.0,0.892675154023659,200.00000000000006
2020-03-06,0.0,0.0,11.0,6.0,0.0,-1.0,1.190233538698212,100.0
2020-03-07,3.0,-1.0,34.0,9.0,1.0,-2.0,1.190233538698212,33.33333333333335
2020-03-08,6.0,6.0,25.0,6.0,2.0,-2.0,1.6365711157100413,83.33333333333334
2020-03-09,-4.0,5.0,14.0,0.0,5.0,-2.0,2.826804654408253,171.4285714285714
2020-03-10,-1.0,8.0,23.0,4.0,4.0,-2.0,5.356050924141953,499.9999999999999
2020-03-11,-4.0,12.0,16.0,-1.0,4.0,-1.0,7.587738809201101,628.5714285714283
2020-03-12,-9.0,25.0,7.0,-6.0,1.0,0.0,11.902335386982118,1233.333333333333
2020-03-13,-32.0,33.0,-23.0,-16.0,-4.0,3.0,14.134023272041265,1087.4999999999998
