date,retail,grocery,parks,transit,workplaces,residential,ia7,growth_rate
2020-02-15,1.0,-3.0,14.0,7.0,-1.0,-1.0,0.5397497859282704,287.5
2020-02-16,-7.0,-8.0,2.0,4.0,-3.0,-1.0,0.5745723527623523,266.6666666666666
2020-02-17,0.0,1.0,11.0,4.0,2.0,0.0,0.5397497859282704,181.81818181818176
2020-02-18,-1.0,1.0,8.0,3.0,2.0,0.0,0.5745723527623523,229.99999999999997
2020-02-19,-1.0,1.0,6.0,1.0,2.0,0.0,0.4875159356771474,86.66666666666663
2020-02-20,1.0,1.0,9.0,5.0,1.0,0.0,0.5919836361793933,69.99999999999997
2020-02-21,-2.0,-1.0,11.0,3.0,0.0,-1.0,0.835741604017967,152.6315789473684
2020-02-22,-3.0,-1.0,25.0,10.0,1.0,-2.0,0.7660964703498032,41.93548387096777
2020-02-23,-3.0,0.0,26.0,9.0,0.0,-3.0,0.835741604017967,45.45454545454548
2020-02-24,1.0,1.0,21.0,-1.0,-14.0,2.0,0.9576205879372539,77.41935483870968
2020-02-25,-5.0,5.0,1.0,1.0,1.0,0.0,1.1665559889417456,103.03030303030307
2020-02-26,-4.0,3.0,4.0,-1.0,1.0,0.0,1.584426790950729,225.0
2020-02-27,-1.0,3.0,1.0,1.0,1.0,0.0,1.619249357784811,173.52941176470588
2020-02-28,-2.0,4.0,2.0,0.0,2.0,0.0,1.8804186090404258,125.0
2020-02-29,-3.0,0.0,12.0,3.0,0.0,-2.0,2.089354010044918,172.72727272727272
2020-03-01,-2.0,-2.0,13.0,5.0,1.0,-2.0,3.360377699488909,302.0833333333333
2020-03-02,-6.0,0.0,-8.0,-2.0,1.0,1.0,4.370232137677286,356.36363636363643
2020-03-03,-2.0,2.0,-4.0,0.0,1.0,0.0,5.362675292448622,359.7014925373134
2020-03-04,-2.0,3.0,3.0,1.0,2.0,0.0,7.103803634152719,348.35164835164835
2020-03-05,-2.0,1.0,0.0,1.0,1.0,0.0,9.645851013040701,495.69892473118273
2020-03-06,-2.0,1.0,-4.0,-2.0,-1.0,1.0,13.023639995946652,592.5925925925925
2020-03-07,-3.0,-2.0,12.0,2.0,0.0,-1.0,17.27199314970465,726.6666666666664
2020-03-08,-5.0,-4.0,22.0,10.0,-1.0,-2.0,20.893540100449176,521.761658031088
2020-03-09,-4.0,3.0,4.0,-1.0,1.0,0.0,28.450037103444963,550.9960159362549
2020-03-10,-6.0,14.0,-1.0,-3.0,1.0,0.0,39.175387688342205,630.5194805194806
2020-03-11,-8.0,18.0,4.0,-5.0,-1.0,1.0,48.490424316459126,582.5980392156864
2020-03-12,-13.0,33.0,-7.0,-11.0,-4.0,2.0,61.28771762798425,535.3790613718412
2020-03-13,-35.0,27.0,-27.0,-32.0,-25.0,11.0,77.8806707244243,497.9946524064172
2020-03-14,-76.0,-13.0,-50.0,-51.0,-35.0,16.0,92.97625344699884,438.3064516129034
2020-03-15,-88.0,-56.0,-72.0,-68.0,-49.0,16.0,108.87275520675725,421.08333333333337
2020-03-16,-83.0,-38.0,-76.0,-71.0,-56.0,26.0,125.03042621777128,339.4736842105263
