date,retail,grocery,parks,transit,workplaces,residential,ia7,growth_rate
2020-02-15,4.0,0.0,36.0,12.0,0.0,-3.0,0.0,-100.0
2020-02-16,7.0,0.0,26.0,12.0,0.0,-3.0,0.0,-100.0
2020-02-17,1.0,4.0,-3.0,2.0,4.0,-1.0,0.0,-100.0
2020-02-18,-2.0,-1.0,10.0,1.0,5.0,-1.0,0.0,-100.0
2020-02-19,-1.0,1.0,29.0,5.0,4.0,-1.0,0.0,
2020-02-20,1.0,1.0,23.0,12.0,3.0,-2.0,0.2796029637914162,
2020-02-21,2.0,1.0,44.0,23.0,3.0,-3.0,0.2796029637914162,
2020-02-22,10.0,-3.0,64.0,20.0,3.0,-5.0,0.8388088913742486,
2020-02-23,19.0,10.0,69.0,20.0,3.0,-6.0,1.1184118551656648,
2020-02-24,13.0,8.0,70.0,20.0,-14.0,-2.0,1.1184118551656648,
2020-02-25,5.0,0.0,47.0,19.0,-12.0,-1.0,1.398014818957081,
2020-02-26,-5.0,2.0,29.0,12.0,-10.0,0.0,2.2368237103313295,
2020-02-27,-2.0,4.0,13.0,5.0,2.0,-1.0,2.2368237103313295,700.0
2020-02-28,3.0,7.0,35.0,8.0,2.0,-2.0,3.3552355654969945,1100.0
2020-02-29,0.0,4.0,3.0,7.0,-1.0,-1.0,4.194044456871243,400.0
2020-03-01,7.0,-4.0,19.0,12.0,3.0,-1.0,5.87166223961974,425.0
2020-03-02,2.0,9.0,-6.0,9.0,3.0,-1.0,8.388088913742486,650.0
2020-03-03,-2.0,3.0,0.0,-1.0,4.0,-1.0,10.624912624073817,660.0000000000001
2020-03-04,3.0,6.0,19.0,0.0,4.0,-1.0,12.302530406822314,450.0
2020-03-05,-2.0,3.0,-3.0,-6.0,3.0,0.0,15.937368936110722,612.5
2020-03-06,-4.0,3.0,-5.0,-3.0,-1.0,0.0,18.733398574024886,458.3333333333333
2020-03-07,3.0,2.0,17.0,2.0,-1.0,-1.0,21.809031175730464,420.0
2020-03-08,10.0,0.0,31.0,6.0,0.0,-2.0,24.605060813644627,319.0476190476191
2020-03-09,2.0,10.0,16.0,-2.0,4.0,-2.0,29.3583111980987,250.0
2020-03-10,-1.0,22.0,32.0,-3.0,3.0,-2.0,36.62798825667552,244.7368421052631
2020-03-11,-4.0,24.0,48.0,-4.0,2.0,-2.0,44.177268279043766,259.0909090909092
2020-03-12,-15.0,32.0,4.0,-15.0,-2.0,1.0,50.608136446246334,217.54385964912282
2020-03-13,-40.0,25.0,-23.0,-39.0,-16.0,9.0,60.673843142737326,223.8805970149254
2020-03-14,-68.0,-17.0,-29.0,-41.0,-30.0,13.0,72.41716762197679,232.051282051282
2020-03-15,-87.0,-54.0,-61.0,-70.0,-46.0,17.0,85.27890395638195,246.59090909090912
2020-03-16,-80.0,-35.0,-64.0,-71.0,-43.0,19.0,97.02222843562143,230.4761904761905
2020-03-17,-82.0,-41.0,-59.0,-71.0,-49.0,22.0,107.92674402348663,194.65648854961825
2020-03-18,-83.0,-42.0,-55.0,-75.0,-51.0,23.0,117.4332447923948,165.82278481012654
2020-03-19,-84.0,-44.0,-59.0,-77.0,-55.0,25.0,126.66014259751154,150.27624309392266
2020-03-20,-86.0,-45.0,-66.0,-82.0,-55.0,29.0,133.92981965608834,120.73732718894004
2020-03-21,-91.0,-56.0,-78.0,-85.0,-59.0,25.0,134.7686285474626,86.10038610038613
2020-03-22,-94.0,-77.0,-79.0,-90.0,-63.0,23.0,132.25220187333986,55.08196721311474
2020-03-23,-83.0,-45.0,-60.0,-81.0,-56.0,23.0,130.01537816300853,34.0057636887608
2020-03-24,-85.0,-52.0,-61.0,-77.0,-57.0,24.0,123.30490703201454,14.248704663212465
2020-03-25,-86.0,-53.0,-60.0,-76.0,-58.0,26.0,118.27205368376906,0.714285714285734
2020-03-26,-87.0,-54.0,-65.0,-81.0,-59.0,27.0,111.56158255277506,-11.920529801324498
2020-03-27,-88.0,-52.0,-68.0,-84.0,-59.0,31.0,100.93666992870125,-24.634655532359073
2020-03-28,-92.0,-60.0,-80.0,-86.0,-60.0,26.0,93.66699287012443,-30.49792531120331
2020-03-29,-94.0,-78.0,-80.0,-91.0,-60.0,23.0,88.63413952187892,-32.980972515856244
2020-03-30,-87.0,-55.0,-66.0,-82.0,-67.0,27.0,79.12763875297078,-39.13978494623655
2020-03-31,-92.0,-56.0,-69.0,-81.0,-70.0,29.0,74.09478540472529,-39.9092970521542
2020-04-01,-92.0,-53.0,-66.0,-82.0,-69.0,30.0,71.29875576681113,-39.7163120567376
2020-04-02,-91.0,-52.0,-68.0,-83.0,-70.0,31.0,71.29875576681113,-36.09022556390978
2020-04-03,-89.0,-51.0,-70.0,-86.0,-69.0,34.0,74.37438836851672,-26.315789473684205
2020-04-04,-92.0,-59.0,-79.0,-87.0,-62.0,26.0,74.3743883685167,-20.59701492537315
2020-04-05,-95.0,-77.0,-80.0,-92.0,-64.0,23.0,69.90074094785405,-21.13564668769715
2020-04-06,-87.0,-51.0,-66.0,-81.0,-68.0,27.0,74.93359429609954,-5.300353356890463
2020-04-07,-87.0,-39.0,-62.0,-81.0,-69.0,27.0,72.97637354955963,-1.5094339622641395
2020-04-08,-87.0,-32.0,-58.0,-81.0,-69.0,27.0,74.3743883685167,4.313725490196085
2020-04-09,-94.0,-81.0,-72.0,-89.0,-86.0,36.0,85.27890395638194,19.60784313725492
2020-04-10,-96.0,-94.0,-80.0,-93.0,-88.0,43.0,84.99930099259052,14.285714285714256
2020-04-11,-92.0,-50.0,-81.0,-88.0,-61.0,27.0,87.79533063050468,18.045112781954884
2020-04-12,-95.0,-76.0,-81.0,-93.0,-63.0,23.0,88.91374248567035,27.200000000000003
2020-04-13,-86.0,-47.0,-61.0,-80.0,-62.0,25.0,88.63413952187894,18.283582089552255
2020-04-14,-87.0,-49.0,-60.0,-76.0,-59.0,25.0,90.31175730462742,23.754789272030628
2020-04-15,-87.0,-50.0,-59.0,-78.0,-59.0,26.0,86.11771284775618,15.789473684210531
2020-04-16,-88.0,-51.0,-65.0,-81.0,-59.0,27.0,68.22312316510555,-20.000000000000007
2020-04-17,-89.0,-49.0,-68.0,-83.0,-59.0,31.0,63.74947574444289,-25.0
2020-04-18,-93.0,-55.0,-78.0,-86.0,-56.0,26.0,55.081783866908985,-37.261146496815286
2020-04-19,-94.0,-76.0,-80.0,-92.0,-61.0,23.0,56.759401649657484,-36.16352201257863
2020-04-20,-86.0,-51.0,-57.0,-77.0,-56.0,23.0,48.65091569970642,-45.11041009463723
2020-04-21,-87.0,-47.0,-60.0,-76.0,-57.0,24.0,46.693694953166506,-48.29721362229101
2020-04-22,-86.0,-39.0,-56.0,-76.0,-57.0,25.0,48.371312735915005,-43.831168831168824
2020-04-23,-94.0,-91.0,-66.0,-86.0,-81.0,34.0,47.25290088074934,-30.737704918032783
2020-04-24,-88.0,-39.0,-65.0,-82.0,-63.0,32.0,41.66084160492102,-34.64912280701754
2020-04-25,-92.0,-52.0,-77.0,-85.0,-55.0,25.0,43.0588564238781,-21.82741116751268
2020-04-26,-92.0,-64.0,-65.0,-89.0,-58.0,22.0,37.466797148049764,-33.99014778325123
2020-04-27,-84.0,-45.0,-48.0,-74.0,-55.0,23.0,36.06878232909269,-25.862068965517228
2020-04-28,-84.0,-42.0,-47.0,-75.0,-55.0,24.0,31.315531944638614,-32.93413173652695
2020-04-29,-85.0,-38.0,-48.0,-73.0,-54.0,24.0,22.088634139521876,-54.33526011560694
2020-04-30,-83.0,-31.0,-49.0,-75.0,-56.0,24.0,20.131413392981965,-57.396449704142015
2020-05-01,-94.0,-91.0,-63.0,-89.0,-85.0,40.0,18.17419264644205,-56.3758389261745
2020-05-02,-83.0,-32.0,-25.0,-68.0,-49.0,21.0,14.259751153362227,-66.88311688311688
2020-05-03,-80.0,-27.0,-1.0,-72.0,-49.0,17.0,13.141339298196561,-64.92537313432835
2020-05-04,-72.0,-30.0,13.0,-61.0,-49.0,18.0,10.904515587865232,-69.76744186046511
2020-05-05,-73.0,-30.0,16.0,-57.0,-49.0,18.0,8.947294841325318,-71.42857142857143
2020-05-06,-74.0,-30.0,28.0,-58.0,-49.0,19.0,7.549280022368237,-65.82278481012658
2020-05-07,-75.0,-32.0,7.0,-62.0,-50.0,20.0,5.3124563120369075,-73.61111111111111
2020-05-08,-80.0,-36.0,-32.0,-76.0,-50.0,26.0,3.9144414930798264,-78.46153846153847
2020-05-09,-82.0,-37.0,-27.0,-66.0,-45.0,20.0,2.5164266741227457,-82.35294117647058
2020-05-10,-85.0,-45.0,-39.0,-81.0,-49.0,19.0,1.1184118551656648,-91.48936170212765
2020-05-11,-70.0,-29.0,6.0,-60.0,-45.0,17.0,1.9572207465399134,-82.05128205128204
2020-05-12,-75.0,-33.0,-25.0,-64.0,-45.0,19.0,3.0756326017055784,-65.625
2020-05-13,-74.0,-28.0,3.0,-60.0,-45.0,19.0,3.914441493079827,-48.14814814814815
2020-05-14,-75.0,-30.0,-18.0,-66.0,-47.0,21.0,4.473647420662659,-15.78947368421052
