date,retail,grocery,parks,transit,workplaces,residential,ia7,growth_rate
2020-02-15,8.0,-3.0,35.0,21.0,-1.0,-2.0,0.2551996937603675,
2020-02-16,11.0,11.0,22.0,16.0,1.0,-2.0,0.2551996937603675,
2020-02-17,0.0,4.0,3.0,4.0,6.0,-2.0,0.510399387520735,
2020-02-18,3.0,-1.0,22.0,10.0,5.0,-1.0,0.510399387520735,
2020-02-19,4.0,1.0,17.0,8.0,4.0,-2.0,0.7655990812811024,
2020-02-20,4.0,4.0,22.0,23.0,3.0,-2.0,0.7655990812811024,
2020-02-21,9.0,4.0,38.0,31.0,4.0,-4.0,0.510399387520735,100.0
2020-02-22,22.0,1.0,59.0,40.0,11.0,-3.0,0.510399387520735,100.0
2020-02-23,33.0,47.0,37.0,32.0,9.0,-5.0,0.510399387520735,100.0
2020-02-24,16.0,6.0,49.0,18.0,-16.0,-2.0,0.2551996937603675,-50.0
2020-02-25,11.0,-5.0,41.0,26.0,-19.0,-1.0,0.510399387520735,0.0
2020-02-26,3.0,-1.0,22.0,13.0,0.0,-1.0,0.2551996937603675,-66.66666666666666
2020-02-27,4.0,8.0,26.0,21.0,3.0,-1.0,0.2551996937603675,-66.66666666666666
2020-02-28,11.0,9.0,61.0,21.0,3.0,-2.0,1.2759984688018375,150.0
2020-02-29,7.0,6.0,35.0,11.0,-2.0,1.0,1.531198162562205,200.0
2020-03-01,4.0,14.0,-5.0,6.0,0.0,2.0,2.551996937603675,400.0
2020-03-02,2.0,7.0,9.0,9.0,5.0,-1.0,3.8279954064055124,1400.0
2020-03-03,0.0,3.0,9.0,-11.0,4.0,-1.0,4.593594487686615,800.0
2020-03-04,1.0,4.0,17.0,-2.0,5.0,-1.0,5.614393262728085,2100.0
2020-03-05,1.0,3.0,6.0,10.0,3.0,0.0,6.890391731529923,2600.0000000000005
2020-03-06,1.0,1.0,19.0,8.0,-1.0,-1.0,7.655990812811025,500.0
2020-03-07,5.0,-3.0,33.0,11.0,2.0,-2.0,10.207987750414699,566.6666666666665
2020-03-08,5.0,9.0,29.0,6.0,1.0,-2.0,12.249585300497639,380.0
2020-03-09,0.0,5.0,21.0,5.0,6.0,-3.0,16.332780400663516,326.6666666666666
2020-03-10,3.0,13.0,34.0,3.0,5.0,-2.0,19.395176725787927,322.2222222222222
2020-03-11,1.0,18.0,24.0,3.0,3.0,-2.0,28.837565394921526,413.63636363636357
2020-03-12,-8.0,23.0,16.0,2.0,0.0,0.0,38.27995406405512,455.55555555555543
2020-03-13,-34.0,29.0,-9.0,-20.0,-7.0,3.0,52.31593722087534,583.3333333333334
2020-03-14,-67.0,-19.0,-32.0,-43.0,-28.0,10.0,61.75832589000893,505.00000000000006
2020-03-15,-86.0,-55.0,-64.0,-75.0,-46.0,15.0,69.41431670281996,466.6666666666667
2020-03-16,-81.0,-38.0,-57.0,-75.0,-49.0,17.0,80.38790353451577,392.1875000000001
2020-03-17,-83.0,-49.0,-53.0,-77.0,-55.0,19.0,91.61669005997194,372.3684210526317
2020-03-18,-84.0,-50.0,-55.0,-76.0,-57.0,20.0,99.27268087278296,244.24778761061944
2020-03-19,-85.0,-53.0,-58.0,-77.0,-59.0,22.0,104.37667474799031,172.6666666666667
2020-03-20,-89.0,-54.0,-70.0,-84.0,-60.0,27.0,107.18387137935434,104.87804878048776
2020-03-21,-92.0,-61.0,-79.0,-86.0,-60.0,24.0,113.30866402960316,83.47107438016528
2020-03-22,-93.0,-75.0,-79.0,-91.0,-62.0,22.0,117.39185912976906,69.11764705882352
2020-03-23,-85.0,-51.0,-60.0,-81.0,-60.0,21.0,136.5318361617966,69.84126984126983
2020-03-24,-86.0,-57.0,-60.0,-83.0,-62.0,22.0,146.48462421845096,59.88857938718661
2020-03-25,-87.0,-59.0,-60.0,-83.0,-63.0,23.0,152.35421717493938,53.470437017994854
2020-03-26,-87.0,-60.0,-61.0,-82.0,-63.0,23.0,158.22381013142785,51.58924205378974
2020-03-27,-89.0,-58.0,-65.0,-85.0,-64.0,27.0,156.94781166262598,46.428571428571395
2020-03-28,-92.0,-65.0,-76.0,-87.0,-59.0,23.0,153.63021564374122,35.58558558558558
2020-03-29,-93.0,-79.0,-79.0,-92.0,-61.0,22.0,147.76062268725278,25.869565217391298
2020-03-30,-90.0,-60.0,-67.0,-85.0,-67.0,23.0,125.30304963634043,-8.22429906542056
2020-03-31,-94.0,-61.0,-71.0,-85.0,-70.0,25.0,108.9702692356769,-25.609756097560997
2020-04-01,-94.0,-59.0,-67.0,-83.0,-69.0,25.0,99.27268087278296,-34.84087102177554
2020-04-02,-93.0,-59.0,-65.0,-84.0,-69.0,26.0,86.76789587852495,-45.16129032258065
2020-04-03,-90.0,-56.0,-68.0,-88.0,-68.0,29.0,79.87750414699502,-49.10569105691056
2020-04-04,-93.0,-64.0,-76.0,-88.0,-60.0,24.0,73.24231210922547,-52.32558139534884
2020-04-05,-94.0,-77.0,-83.0,-93.0,-64.0,23.0,70.43511547786143,-52.33160621761659
2020-04-06,-88.0,-55.0,-66.0,-85.0,-68.0,24.0,64.82072221513334,-48.26883910386965
2020-04-07,-89.0,-50.0,-66.0,-84.0,-69.0,24.0,63.03432435881078,-42.15456674473066
2020-04-08,-88.0,-40.0,-63.0,-82.0,-67.0,23.0,57.164731402322325,-42.41645244215938
2020-04-09,-93.0,-77.0,-75.0,-90.0,-82.0,30.0,52.826336608396076,-39.11764705882352
2020-04-10,-96.0,-93.0,-77.0,-94.0,-85.0,36.0,50.784739058313136,-36.4217252396166
2020-04-11,-92.0,-56.0,-77.0,-87.0,-58.0,24.0,47.97754242694909,-34.49477351916374
2020-04-12,-94.0,-77.0,-79.0,-92.0,-62.0,23.0,46.95674365190762,-33.33333333333333
2020-04-13,-87.0,-54.0,-62.0,-82.0,-63.0,22.0,45.680745183105785,-29.527559055118104
2020-04-14,-86.0,-55.0,-60.0,-82.0,-62.0,22.0,43.38394793926248,-31.174089068825907
2020-04-15,-87.0,-57.0,-63.0,-79.0,-63.0,23.0,41.08715069541917,-28.125
2020-04-16,-88.0,-59.0,-65.0,-81.0,-63.0,24.0,40.321551614138066,-23.67149758454107
2020-04-17,-89.0,-56.0,-67.0,-85.0,-62.0,28.0,39.81115222661733,-21.60804020100503
2020-04-18,-92.0,-61.0,-73.0,-86.0,-55.0,23.0,38.279954064055126,-20.21276595744681
2020-04-19,-93.0,-76.0,-76.0,-90.0,-59.0,22.0,36.238356513972185,-22.826086956521742
2020-04-20,-85.0,-56.0,-57.0,-80.0,-59.0,21.0,34.70715835140998,-24.022346368715088
2020-04-21,-86.0,-54.0,-56.0,-79.0,-60.0,22.0,33.43115988260814,-22.941176470588243
2020-04-22,-86.0,-54.0,-53.0,-78.0,-60.0,21.0,34.70715835140998,-15.527950310559014
2020-04-23,-86.0,-56.0,-54.0,-78.0,-60.0,22.0,33.94155927012888,-15.822784810126588
2020-04-24,-88.0,-53.0,-61.0,-82.0,-60.0,26.0,29.34796478244226,-26.282051282051288
