date,retail,grocery,parks,transit,workplaces,residential,ia7,growth_rate
2020-02-15,5.0,-3.0,38.0,11.0,2.0,-2.0,0.0,
2020-02-16,13.0,6.0,23.0,14.0,1.0,-3.0,0.0,
2020-02-17,-1.0,-1.0,2.0,5.0,4.0,0.0,0.0,
2020-02-18,-3.0,-3.0,4.0,1.0,4.0,0.0,0.08038268589098982,
2020-02-19,-1.0,-2.0,4.0,1.0,4.0,0.0,0.08038268589098982,
2020-02-20,-1.0,0.0,1.0,10.0,3.0,0.0,0.08038268589098982,
2020-02-21,0.0,2.0,12.0,13.0,5.0,-1.0,0.08038268589098982,
2020-02-22,6.0,4.0,56.0,63.0,2.0,-1.0,0.08038268589098982,
2020-02-23,20.0,39.0,58.0,118.0,2.0,-2.0,0.08038268589098982,
2020-02-24,11.0,1.0,65.0,44.0,-7.0,0.0,0.08038268589098982,
2020-02-25,4.0,5.0,27.0,19.0,2.0,-1.0,0.0,-100.0
2020-02-26,9.0,7.0,27.0,19.0,2.0,-2.0,0.08038268589098982,0.0
2020-02-27,25.0,26.0,53.0,37.0,-8.0,-4.0,0.08038268589098982,0.0
2020-02-28,2.0,-55.0,135.0,16.0,-57.0,7.0,0.08038268589098982,0.0
2020-02-29,17.0,22.0,84.0,59.0,1.0,-2.0,0.16076537178197964,100.0
2020-03-01,24.0,49.0,47.0,52.0,8.0,-4.0,0.24114805767296946,200.0
2020-03-02,1.0,2.0,-4.0,15.0,-17.0,2.0,0.48229611534593897,500.0
2020-03-03,0.0,2.0,5.0,2.0,2.0,-1.0,0.8842095448008881,
2020-03-04,1.0,2.0,13.0,5.0,-1.0,1.0,0.9645922306918779,1100.0
2020-03-05,0.0,3.0,-4.0,8.0,2.0,-1.0,1.0449749165828677,1200.0000000000002
2020-03-06,1.0,0.0,10.0,5.0,-1.0,0.0,1.2057402883648474,1400.0000000000002
2020-03-07,2.0,0.0,29.0,8.0,4.0,-2.0,1.3665056601468268,750.0
2020-03-08,9.0,17.0,29.0,17.0,4.0,-3.0,1.768419089601776,633.3333333333333
2020-03-09,0.0,1.0,5.0,4.0,2.0,0.0,2.4918632626206847,416.6666666666667
2020-03-10,-1.0,7.0,12.0,2.0,3.0,-1.0,3.6172208650945423,309.09090909090907
2020-03-11,-3.0,9.0,8.0,-3.0,3.0,0.0,5.707170698260278,491.6666666666667
2020-03-12,-7.0,19.0,0.0,-1.0,0.0,0.0,7.7167378455350235,638.4615384615385
2020-03-13,-27.0,27.0,-18.0,-25.0,-5.0,4.0,10.208601108155708,746.6666666666666
2020-03-14,-63.0,-15.0,-48.0,-45.0,-24.0,12.0,13.745439287359261,905.8823529411768
2020-03-15,-87.0,-59.0,-81.0,-67.0,-48.0,16.0,17.603808210126772,895.4545454545457
2020-03-16,-79.0,-36.0,-73.0,-67.0,-53.0,21.0,21.94447324824022,780.6451612903226
2020-03-17,-85.0,-52.0,-79.0,-74.0,-62.0,24.0,24.757867254424866,584.4444444444445
2020-03-18,-85.0,-50.0,-79.0,-78.0,-63.0,25.0,26.28513828635367,360.5633802816901
2020-03-19,-85.0,-50.0,-79.0,-77.0,-66.0,26.0,28.616236177192377,270.83333333333337
2020-03-20,-87.0,-52.0,-82.0,-82.0,-66.0,30.0,31.18848212570405,205.511811023622
2020-03-21,-91.0,-62.0,-89.0,-84.0,-65.0,26.0,32.394222414068906,135.6725146198831
2020-03-22,-94.0,-79.0,-92.0,-87.0,-67.0,22.0,31.188482125704052,77.16894977168948
2020-03-23,-84.0,-51.0,-80.0,-80.0,-68.0,26.0,30.063124523230194,36.99633699633702
2020-03-24,-87.0,-59.0,-82.0,-84.0,-70.0,27.0,29.500445721993266,19.15584415584415
2020-03-25,-86.0,-57.0,-81.0,-83.0,-70.0,28.0,28.857384234865346,9.785932721712554
2020-03-26,-87.0,-58.0,-81.0,-83.0,-70.0,28.0,27.249730517045553,-4.7752808988763995
2020-03-27,-88.0,-56.0,-81.0,-85.0,-69.0,31.0,24.436336510860905,-21.649484536082475
2020-03-28,-91.0,-63.0,-87.0,-86.0,-65.0,25.0,21.86409056234923,-32.506203473945426
2020-03-29,-94.0,-82.0,-91.0,-90.0,-67.0,22.0,21.38179444700329,-31.443298969072163
2020-03-30,-87.0,-58.0,-82.0,-85.0,-73.0,28.0,20.015288786856466,-33.42245989304813
