date,retail,grocery,parks,transit,workplaces,residential,ia7,growth_rate
2020-02-15,4.0,5.0,40.0,1.0,-2.0,-1.0,0.0,
2020-02-16,-2.0,-1.0,14.0,8.0,-4.0,-1.0,0.0,
2020-02-17,-2.0,5.0,9.0,5.0,4.0,0.0,0.0,
2020-02-18,-3.0,2.0,5.0,2.0,3.0,1.0,0.0,
2020-02-19,0.0,-1.0,21.0,4.0,4.0,0.0,0.0,
2020-02-20,2.0,2.0,23.0,4.0,2.0,0.0,0.0,
2020-02-21,1.0,6.0,21.0,14.0,2.0,0.0,0.0,
2020-02-22,6.0,6.0,42.0,13.0,-1.0,-1.0,0.17076794344165713,
2020-02-23,4.0,8.0,19.0,4.0,-1.0,-1.0,0.17076794344165713,
2020-02-24,-1.0,5.0,15.0,10.0,2.0,1.0,0.5123038303249714,
2020-02-25,-1.0,7.0,15.0,4.0,4.0,0.0,0.6830717737666285,
2020-02-26,-3.0,5.0,14.0,1.0,3.0,0.0,0.8538397172082857,
2020-02-27,0.0,5.0,16.0,8.0,3.0,0.0,1.0246076606499428,
2020-02-28,1.0,6.0,16.0,16.0,3.0,0.0,1.366143547533257,
2020-02-29,2.0,2.0,27.0,4.0,1.0,0.0,1.1953756040916,600.0
2020-03-01,-3.0,5.0,4.0,-3.0,1.0,-1.0,2.0492153212998856,1100.0000000000002
2020-03-02,-5.0,1.0,-13.0,6.0,3.0,2.0,2.732287095066514,433.3333333333332
2020-03-03,-1.0,3.0,11.0,3.0,3.0,0.0,2.732287095066514,300.0
2020-03-04,1.0,1.0,19.0,5.0,4.0,0.0,2.9030550385081715,240.00000000000003
2020-03-05,2.0,5.0,18.0,4.0,3.0,0.0,3.415358868833142,233.33333333333326
2020-03-06,0.0,5.0,2.0,6.0,1.0,1.0,3.756894755716457,175.00000000000006
2020-03-07,3.0,3.0,17.0,3.0,3.0,0.0,4.952270359808057,314.28571428571433
2020-03-08,2.0,5.0,14.0,0.0,2.0,-2.0,5.123038303249714,150.0
2020-03-09,-1.0,5.0,10.0,8.0,4.0,0.0,6.318413907341314,131.25
2020-03-10,0.0,14.0,14.0,3.0,3.0,0.0,9.733772776174455,256.24999999999994
2020-03-11,-1.0,15.0,22.0,-1.0,3.0,0.0,12.807595758124283,341.17647058823513
2020-03-12,-7.0,30.0,9.0,-7.0,0.0,1.0,19.809081439232227,480.00000000000006
2020-03-13,-25.0,44.0,-16.0,-19.0,-6.0,5.0,28.347478611315083,654.5454545454546
2020-03-14,-73.0,-8.0,-37.0,-47.0,-32.0,14.0,34.324356631773085,593.103448275862
2020-03-15,-89.0,-61.0,-78.0,-68.0,-47.0,17.0,42.17968203008931,723.3333333333333
2020-03-16,-84.0,-47.0,-74.0,-76.0,-56.0,25.0,50.71807920217216,702.7027027027026
2020-03-17,-81.0,-35.0,-72.0,-69.0,-51.0,24.0,56.18265339230519,477.1929824561404
2020-03-18,-81.0,-27.0,-67.0,-70.0,-52.0,23.0,62.159531412763194,385.33333333333337
2020-03-19,-93.0,-91.0,-78.0,-83.0,-86.0,37.0,64.55028262094639,225.86206896551718
2020-03-20,-85.0,-27.0,-76.0,-79.0,-61.0,31.0,64.89181850782971,128.91566265060237
2020-03-21,-92.0,-55.0,-85.0,-85.0,-60.0,28.0,67.79487354633788,97.5124378109453
2020-03-22,-95.0,-82.0,-92.0,-89.0,-65.0,24.0,67.62410560289622,60.32388663967612
2020-03-23,-83.0,-44.0,-77.0,-79.0,-55.0,25.0,66.25796205536297,30.639730639730665
2020-03-24,-85.0,-51.0,-76.0,-81.0,-58.0,27.0,65.74565822503799,17.021276595744684
2020-03-25,-86.0,-53.0,-77.0,-83.0,-59.0,27.0,67.2825697160129,8.241758241758234
2020-03-26,-85.0,-52.0,-74.0,-81.0,-60.0,28.0,65.06258645127136,0.7936507936507908
2020-03-27,-87.0,-49.0,-77.0,-84.0,-59.0,31.0,60.79338786522993,-6.31578947368423
2020-03-28,-92.0,-59.0,-85.0,-88.0,-61.0,28.0,55.84111750542188,-17.632241813602022
2020-03-29,-94.0,-84.0,-91.0,-89.0,-61.0,23.0,54.30420601444696,-19.696969696969703
2020-03-30,-88.0,-56.0,-78.0,-83.0,-70.0,30.0,49.35193565463891,-25.515463917525782
2020-03-31,-94.0,-65.0,-83.0,-83.0,-76.0,34.0,44.2288973513892,-32.727272727272705
2020-04-01,-93.0,-57.0,-78.0,-83.0,-76.0,33.0,38.2520193309312,-43.147208121827404
2020-04-02,-92.0,-53.0,-77.0,-83.0,-75.0,34.0,38.59355521781451,-40.68241469816273
2020-04-03,-89.0,-49.0,-80.0,-85.0,-74.0,37.0,38.08125138748954,-37.35955056179774
2020-04-04,-92.0,-59.0,-86.0,-87.0,-67.0,29.0,37.39817961372291,-33.02752293577981
2020-04-05,-95.0,-84.0,-91.0,-90.0,-72.0,25.0,34.324356631773085,-36.79245283018867
2020-04-06,-87.0,-53.0,-75.0,-83.0,-72.0,31.0,33.98282074488977,-31.141868512110715
2020-04-07,-89.0,-51.0,-75.0,-83.0,-73.0,32.0,36.544339896514636,-17.374517374517374
2020-04-08,-88.0,-43.0,-74.0,-85.0,-73.0,31.0,37.910483444047884,-0.8928571428571397
2020-04-09,-88.0,-40.0,-75.0,-84.0,-74.0,32.0,34.66589251865639,-10.176991150442493
2020-04-10,-96.0,-93.0,-86.0,-93.0,-89.0,45.0,33.299748971123144,-12.556053811659174
2020-04-11,-92.0,-48.0,-84.0,-87.0,-63.0,28.0,32.275141310473195,-13.698630136986312
2020-04-12,-95.0,-84.0,-91.0,-91.0,-69.0,24.0,30.738229819498283,-10.447761194029859
2020-04-13,-94.0,-88.0,-83.0,-90.0,-87.0,37.0,30.055158045731652,-11.557788944723635
2020-04-14,-85.0,-38.0,-68.0,-78.0,-61.0,26.0,27.322870950665138,-25.233644859813108
2020-04-15,-87.0,-53.0,-73.0,-81.0,-62.0,28.0,23.73674413839034,-37.38738738738739
2020-04-16,-86.0,-45.0,-69.0,-79.0,-61.0,28.0,19.809081439232227,-42.85714285714284
2020-04-17,-88.0,-48.0,-74.0,-82.0,-61.0,32.0,17.75986611793234,-46.66666666666668
2020-04-18,-93.0,-56.0,-85.0,-86.0,-60.0,28.0,15.881418740074112,-50.79365079365079
2020-04-19,-95.0,-82.0,-91.0,-89.0,-66.0,24.0,13.66143547533257,-55.55555555555556
2020-04-20,-87.0,-59.0,-72.0,-81.0,-63.0,28.0,11.441452210591027,-61.93181818181818
2020-04-21,-86.0,-48.0,-74.0,-80.0,-59.0,27.0,9.904540719616113,-63.74999999999999
2020-04-22,-86.0,-48.0,-70.0,-79.0,-59.0,27.0,7.513789511432913,-68.34532374100719
2020-04-23,-86.0,-48.0,-70.0,-78.0,-60.0,28.0,7.172253624549598,-63.793103448275865
2020-04-24,-87.0,-46.0,-73.0,-80.0,-59.0,31.0,6.147645963899658,-65.38461538461537
2020-04-25,-92.0,-53.0,-82.0,-86.0,-58.0,27.0,4.952270359808056,-68.81720430107528
2020-04-26,-92.0,-75.0,-79.0,-85.0,-62.0,23.0,6.147645963899656,-55.00000000000001
2020-04-27,-83.0,-51.0,-59.0,-76.0,-56.0,25.0,5.806110077016342,-49.25373134328358
2020-04-28,-83.0,-46.0,-52.0,-75.0,-57.0,25.0,4.269198586041428,-56.896551724137936
2020-04-29,-82.0,-44.0,-53.0,-75.0,-57.0,25.0,4.781502416366399,-36.36363636363637
2020-04-30,-81.0,-29.0,-57.0,-74.0,-57.0,25.0,4.439966529483085,-38.09523809523808
2020-05-01,-94.0,-90.0,-70.0,-87.0,-85.0,42.0,4.952270359808057,-19.444444444444454
2020-05-02,-85.0,-33.0,-41.0,-72.0,-53.0,23.0,5.806110077016343,17.241379310344882
2020-05-03,-85.0,-58.0,-53.0,-72.0,-55.0,19.0,4.439966529483085,-27.77777777777778
2020-05-04,-73.0,-36.0,-18.0,-65.0,-51.0,21.0,3.7568947557164565,-35.29411764705883
2020-05-05,-74.0,-35.0,-15.0,-63.0,-52.0,22.0,3.7568947557164565,-12.00000000000001
2020-05-06,-74.0,-36.0,-14.0,-64.0,-52.0,22.0,3.2445909253914853,-32.14285714285714
2020-05-07,-75.0,-34.0,-21.0,-63.0,-52.0,23.0,3.073822981949828,-30.76923076923077
2020-05-08,-78.0,-34.0,-35.0,-68.0,-51.0,26.0,2.2199832647415425,-55.172413793103445
2020-05-09,-85.0,-40.0,-48.0,-71.0,-48.0,23.0,1.1953756040916,-79.41176470588236
2020-05-10,-88.0,-64.0,-68.0,-76.0,-53.0,20.0,1.7076794344165713,-61.53846153846154
2020-05-11,-68.0,-34.0,-18.0,-61.0,-47.0,19.0,2.732287095066514,-27.27272727272726
2020-05-12,-72.0,-33.0,-35.0,-64.0,-49.0,21.0,2.732287095066514,-27.27272727272726
2020-05-13,-70.0,-33.0,-13.0,-61.0,-48.0,20.0,3.073822981949828,-5.263157894736848
2020-05-14,-75.0,-39.0,-46.0,-69.0,-50.0,24.0,3.2445909253914853,5.555555555555558
2020-05-15,-74.0,-28.0,-31.0,-66.0,-47.0,25.0,4.269198586041428,92.3076923076923
2020-05-16,-81.0,-36.0,-47.0,-70.0,-44.0,22.0,4.098430642599771,242.8571428571429
2020-05-17,-81.0,-54.0,-50.0,-71.0,-42.0,18.0,3.5861268122747996,110.00000000000001
2020-05-18,-48.0,-22.0,8.0,-51.0,-40.0,14.0,2.7322870950665137,-1.1102230246251565e-14
2020-05-19,-49.0,-22.0,10.0,-52.0,-41.0,15.0,2.903055038508171,6.25
2020-05-20,-49.0,-21.0,7.0,-55.0,-41.0,15.0,3.073822981949828,0.0
2020-05-21,-50.0,-18.0,1.0,-54.0,-42.0,16.0,2.903055038508171,-10.526315789473683
2020-05-22,-53.0,-16.0,-12.0,-57.0,-39.0,18.0,1.8784473778582285,-55.99999999999999
2020-05-23,-59.0,-22.0,-17.0,-59.0,-28.0,12.0,2.561519151624857,-37.5
2020-05-24,-62.0,-36.0,-38.0,-64.0,-22.0,8.0,2.561519151624857,-28.57142857142857
2020-05-25,-47.0,-24.0,-14.0,-56.0,-39.0,15.0,2.3907512081831994,-12.5
2020-05-26,-44.0,-18.0,9.0,-50.0,-36.0,14.0,2.561519151624857,-11.764705882352933
2020-05-27,-44.0,-19.0,4.0,-52.0,-36.0,14.0,2.3907512081832,-22.22222222222221
2020-05-28,-44.0,-16.0,3.0,-53.0,-36.0,14.0,2.903055038508171,0.0
2020-05-29,-47.0,-13.0,-7.0,-56.0,-35.0,16.0,3.2445909253914853,72.7272727272727
2020-05-30,-52.0,-19.0,-11.0,-57.0,-16.0,10.0,2.5615191516248568,-1.1102230246251565e-14
2020-05-31,-56.0,-33.0,-32.0,-63.0,-7.0,7.0,2.903055038508171,13.33333333333333
2020-06-01,-30.0,-16.0,10.0,-49.0,-32.0,12.0,2.732287095066514,14.285714285714302
2020-06-02,-32.0,-15.0,13.0,-45.0,-32.0,12.0,2.2199832647415425,-13.333333333333341
2020-06-03,-30.0,-14.0,18.0,-45.0,-31.0,11.0,1.8784473778582285,-21.42857142857143
2020-06-04,-36.0,-17.0,-17.0,-51.0,-33.0,14.0,1.7076794344165713,-41.17647058823529
2020-06-05,-31.0,-9.0,6.0,-49.0,-29.0,12.0,1.366143547533257,-57.89473684210527
2020-06-06,-37.0,-17.0,8.0,-47.0,-11.0,6.0,1.366143547533257,-46.666666666666664
2020-06-07,-57.0,-37.0,-49.0,-68.0,-9.0,9.0,0.8538397172082857,-70.58823529411764
2020-06-08,-25.0,-14.0,-1.0,-46.0,-29.0,11.0,1.0246076606499428,-62.5
2020-06-09,-24.0,-15.0,19.0,-41.0,-29.0,10.0,1.366143547533257,-38.46153846153846
2020-06-10,-25.0,-15.0,18.0,-43.0,-29.0,10.0,1.0246076606499428,-45.454545454545446
2020-06-11,-24.0,-13.0,15.0,-46.0,-30.0,11.0,0.6830717737666285,-60.00000000000001
2020-06-12,-27.0,-11.0,8.0,-48.0,-27.0,11.0,0.8538397172082857,-37.5
2020-06-13,-32.0,-15.0,14.0,-49.0,-3.0,5.0,0.8538397172082857,-37.5
2020-06-14,-42.0,-28.0,-14.0,-59.0,5.0,4.0,0.8538397172082857,0.0
2020-06-15,-17.0,-13.0,25.0,-39.0,-26.0,8.0,0.8538397172082857,-16.666666666666675
2020-06-16,-21.0,-12.0,6.0,-43.0,-27.0,10.0,0.5123038303249714,-62.5
2020-06-17,-19.0,-12.0,19.0,-39.0,-26.0,9.0,0.8538397172082857,-16.666666666666675
