date,retail,grocery,parks,transit,workplaces,residential,ia7,growth_rate
2020-02-15,-3.0,-6.0,3.0,,-1.0,,0.0,
2020-02-16,3.0,-4.0,10.0,,1.0,,0.0,
2020-02-17,-3.0,0.0,8.0,,3.0,-1.0,0.0,
2020-02-18,-9.0,-2.0,-8.0,,7.0,0.0,0.0,
2020-02-19,-11.0,-3.0,-8.0,,5.0,0.0,0.0,
2020-02-20,-8.0,-7.0,-12.0,,5.0,-2.0,0.0,
2020-02-21,-21.0,-14.0,-20.0,,-17.0,3.0,0.0,
2020-02-22,-15.0,-12.0,-10.0,,-3.0,,0.0,
2020-02-23,-7.0,-12.0,-2.0,,3.0,,0.0,
2020-02-24,-11.0,-10.0,8.0,,-18.0,-1.0,0.0,
2020-02-25,-6.0,0.0,-4.0,,7.0,-2.0,0.0,
2020-02-26,-5.0,-1.0,2.0,,5.0,-1.0,0.0,
2020-02-27,6.0,0.0,19.0,,7.0,-2.0,0.0,
2020-02-28,8.0,-9.0,18.0,,6.0,-1.0,0.0,
2020-02-29,22.0,0.0,39.0,,10.0,,0.0,
2020-03-01,8.0,-5.0,-4.0,,4.0,,0.0,
2020-03-02,-11.0,-18.0,-14.0,,-1.0,0.0,0.0,
2020-03-03,-2.0,-10.0,-10.0,,4.0,-1.0,1.1876202465499632,
2020-03-04,1.0,-9.0,-3.0,,4.0,-1.0,1.1876202465499632,
2020-03-05,-8.0,-12.0,-15.0,,3.0,0.0,1.1876202465499632,
2020-03-06,-8.0,-13.0,-12.0,,4.0,0.0,1.1876202465499632,
2020-03-07,1.0,-17.0,19.0,,-1.0,,1.1876202465499632,
2020-03-08,3.0,-9.0,23.0,,-1.0,,2.3752404930999265,
2020-03-09,-2.0,-17.0,-7.0,,2.0,-1.0,2.3752404930999265,
2020-03-10,-4.0,-8.0,-3.0,,5.0,-1.0,2.3752404930999265,100.0
2020-03-11,-1.0,-8.0,0.0,,3.0,-1.0,4.750480986199853,300.0
2020-03-12,-7.0,-5.0,-8.0,,2.0,-1.0,5.938101232749816,400.0
2020-03-13,-27.0,3.0,-37.0,,-3.0,4.0,13.063822712049596,1000.0000000000002
2020-03-14,-54.0,-18.0,-52.0,,-30.0,,16.626683451699485,1300.0
2020-03-15,-78.0,-46.0,-81.0,,-46.0,,16.62668345169948,599.9999999999999
2020-03-16,-79.0,-53.0,-80.0,,-52.0,,22.564784684449297,849.9999999999998
2020-03-17,-82.0,-59.0,-82.0,,-58.0,,26.127645424099192,1000.0000000000002
2020-03-18,-82.0,-60.0,-83.0,,-62.0,,28.502885917199116,499.9999999999999
2020-03-19,-84.0,-62.0,-82.0,,-63.0,,30.878126410299043,419.99999999999994
2020-03-20,-86.0,-62.0,-85.0,,-65.0,,30.878126410299046,136.36363636363637
2020-03-21,-88.0,-65.0,-88.0,,-66.0,,34.44098714994893,107.14285714285711
2020-03-22,-87.0,-78.0,-89.0,,-64.0,,41.56670862924871,150.0
2020-03-23,-82.0,-64.0,-84.0,,-67.0,,39.191468136148785,73.68421052631582
2020-03-24,-87.0,-71.0,-89.0,,-68.0,,42.75432887579868,63.636363636363626
2020-03-25,-85.0,-64.0,-86.0,,-69.0,,46.317189615448555,62.49999999999998
2020-03-26,-84.0,-68.0,-86.0,,-68.0,,47.50480986199853,53.846153846153854
2020-03-27,-86.0,-63.0,-87.0,,-67.0,,41.56670862924871,34.615384615384585
2020-03-28,-88.0,-65.0,-89.0,,-67.0,,39.191468136148785,13.793103448275868
2020-03-29,-89.0,-78.0,-91.0,,-64.0,,39.191468136148785,-5.714285714285705
2020-03-30,-84.0,-65.0,-86.0,,-70.0,,39.191468136148785,0.0
2020-03-31,-89.0,-68.0,-86.0,,-71.0,,32.06574665684901,-25.00000000000001
2020-04-01,-90.0,-66.0,-86.0,,-70.0,,26.12764542409919,-43.58974358974358
2020-04-02,-90.0,-66.0,-87.0,,-71.0,,21.377164437899335,-55.00000000000001
2020-04-03,-87.0,-61.0,-87.0,,-69.0,,21.377164437899335,-48.57142857142856
2020-04-04,-89.0,-67.0,-89.0,,-68.0,,19.00192394479941,-51.515151515151516
2020-04-05,-90.0,-82.0,-91.0,,-66.0,,13.063822712049596,-66.66666666666666
2020-04-06,-83.0,-66.0,-85.0,,-71.0,,11.876202465499633,-69.6969696969697
2020-04-07,-93.0,-53.0,-85.0,,-70.0,,10.68858221894967,-66.66666666666666
2020-04-08,-92.0,-45.0,-84.0,,-69.0,,8.313341725849742,-68.18181818181817
2020-04-09,-97.0,-78.0,-92.0,,-87.0,,10.68858221894967,-49.999999999999986
2020-04-10,-97.0,-84.0,-92.0,,-86.0,,10.68858221894967,-49.999999999999986
2020-04-11,-95.0,-49.0,-87.0,,-66.0,,8.313341725849742,-56.25
2020-04-12,-96.0,,-91.0,,-64.0,,5.938101232749816,-54.54545454545454
2020-04-13,-90.0,-52.0,-83.0,,-66.0,,4.750480986199853,-60.00000000000001
2020-04-14,-92.0,-53.0,-84.0,,-66.0,,4.750480986199853,-55.55555555555556
2020-04-15,-92.0,-54.0,-84.0,,-67.0,,4.750480986199853,-42.85714285714286
2020-04-16,-92.0,-54.0,-84.0,,-67.0,,3.5628607396498895,-66.66666666666667
2020-04-17,-93.0,-52.0,-84.0,,-65.0,,2.3752404930999265,-77.77777777777779
2020-04-18,-94.0,-60.0,-88.0,,-61.0,,2.3752404930999265,-71.42857142857143
2020-04-19,-96.0,-70.0,-91.0,,-63.0,,2.3752404930999265,-60.00000000000001
2020-04-20,-91.0,-63.0,-85.0,,-65.0,,2.3752404930999265,-50.0
2020-04-21,-90.0,-65.0,-87.0,,-65.0,,2.3752404930999265,-50.0
2020-04-22,-89.0,-56.0,-82.0,-80.0,-63.0,,3.5628607396498895,-25.00000000000001
2020-04-23,-89.0,-57.0,-83.0,-78.0,-63.0,,2.3752404930999265,-33.33333333333333
2020-04-24,-91.0,-58.0,-80.0,-71.0,-63.0,,2.3752404930999265,0.0
2020-04-25,-94.0,-60.0,-86.0,-78.0,-63.0,,3.5628607396498895,49.99999999999998
2020-04-26,-95.0,-67.0,-83.0,,-58.0,,3.5628607396498895,49.99999999999998
2020-04-27,-88.0,-59.0,-77.0,,-63.0,,3.5628607396498895,49.99999999999998
2020-04-28,-88.0,-56.0,-78.0,,-60.0,,4.750480986199853,100.0
2020-04-29,-88.0,-53.0,-76.0,-72.0,-61.0,,8.313341725849742,133.33333333333334
2020-04-30,-88.0,-46.0,-76.0,-70.0,-62.0,,8.313341725849742,250.0
2020-05-01,-96.0,-83.0,-83.0,,-84.0,,9.500961972399706,300.0
2020-05-02,-88.0,-37.0,-58.0,,-51.0,,10.68858221894967,200.00000000000006
2020-05-03,-88.0,,-57.0,,-51.0,,10.68858221894967,200.00000000000006
2020-05-04,-82.0,-44.0,-53.0,,-58.0,,9.500961972399706,166.66666666666669
2020-05-05,-82.0,-43.0,-56.0,,-57.0,,8.313341725849742,75.0
2020-05-06,-83.0,-45.0,-54.0,-68.0,-56.0,,4.750480986199853,-42.85714285714286
2020-05-07,-84.0,-47.0,-57.0,-71.0,-55.0,,5.938101232749816,-28.57142857142857
2020-05-08,-85.0,-44.0,-57.0,,-54.0,,4.750480986199853,-50.0
2020-05-09,-88.0,-44.0,-62.0,,-50.0,,2.3752404930999265,-77.77777777777779
2020-05-10,-92.0,-57.0,-75.0,,-49.0,,2.3752404930999265,-77.77777777777779
2020-05-11,-70.0,-31.0,-45.0,,-48.0,,3.5628607396498895,-62.5
2020-05-12,-75.0,-40.0,-61.0,,-49.0,,5.9381012327498155,-28.57142857142858
2020-05-13,-76.0,-39.0,-59.0,-66.0,-49.0,,4.750480986199853,0.0
2020-05-14,-74.0,-38.0,-66.0,-64.0,-48.0,,3.5628607396498895,-40.000000000000014
2020-05-15,-74.0,-35.0,-56.0,,-46.0,,3.5628607396498895,-25.00000000000001
2020-05-16,-71.0,-30.0,-47.0,,-35.0,,4.750480986199853,100.0
2020-05-17,-74.0,-31.0,-43.0,,-31.0,,4.750480986199853,100.0
2020-05-18,-59.0,-29.0,-36.0,,-44.0,,5.9381012327498155,66.66666666666667
2020-05-19,-61.0,-31.0,-41.0,,-43.0,,7.125721479299779,19.999999999999996
2020-05-20,-60.0,-28.0,-35.0,-59.0,-43.0,,8.313341725849742,75.0
2020-05-21,-59.0,-29.0,-42.0,,-43.0,,9.500961972399706,166.66666666666669
2020-05-22,-61.0,-30.0,-43.0,,-38.0,,9.500961972399706,166.66666666666669
2020-05-23,-62.0,-20.0,-38.0,,-23.0,,14.251442958599558,199.99999999999994
2020-05-24,-68.0,-34.0,-36.0,,-11.0,,16.626683451699485,250.0
2020-05-25,-45.0,-24.0,-20.0,,-42.0,12.0,20.189544191349373,240.0
2020-05-26,-49.0,-21.0,-21.0,,-37.0,11.0,17.814303698249446,150.0
2020-05-27,-47.0,-23.0,-26.0,,-37.0,12.0,19.00192394479941,128.57142857142856
2020-05-28,-54.0,-25.0,-41.0,,-38.0,13.0,23.752404930999262,150.0
2020-05-29,-57.0,-25.0,-31.0,,-35.0,16.0,26.12764542409919,174.99999999999994
2020-05-30,-56.0,-21.0,-32.0,,-20.0,,23.752404930999262,66.66666666666667
2020-05-31,-69.0,-25.0,-43.0,,-23.0,,22.564784684449297,35.7142857142857
2020-06-01,-42.0,-20.0,-18.0,,-35.0,11.0,21.377164437899335,5.882352941176472
2020-06-02,-48.0,-22.0,-22.0,,-34.0,11.0,22.5647846844493,26.666666666666682
2020-06-03,-47.0,-21.0,-6.0,,-35.0,10.0,24.940025177549227,31.25
2020-06-04,-51.0,-23.0,-35.0,,-37.0,11.0,19.00192394479941,-19.999999999999996
2020-06-05,-47.0,-23.0,-12.0,,-32.0,13.0,16.626683451699485,-36.36363636363635
2020-06-06,-50.0,-18.0,2.0,,-14.0,,13.063822712049596,-44.999999999999986
2020-06-07,-60.0,-17.0,-33.0,,-21.0,,11.876202465499631,-47.36842105263157
2020-06-08,-39.0,-15.0,-8.0,,-33.0,10.0,7.125721479299779,-66.66666666666667
2020-06-09,-42.0,-19.0,-11.0,,-31.0,9.0,4.750480986199853,-78.94736842105263
2020-06-10,-40.0,-17.0,6.0,,-32.0,9.0,0.0,-100.0
2020-06-11,-29.0,-19.0,-28.0,,-33.0,10.0,0.0,-100.0
2020-06-12,-39.0,-24.0,-38.0,,-31.0,14.0,0.0,-100.0
2020-06-13,-35.0,-31.0,11.0,,-22.0,,0.0,-100.0
2020-06-14,-27.0,-15.0,8.0,,-9.0,,0.0,-100.0
2020-06-15,-17.0,-13.0,2.0,,-27.0,8.0,0.0,-100.0
2020-06-16,-22.0,-19.0,-1.0,,-27.0,8.0,0.0,-100.0
2020-06-17,-20.0,-18.0,12.0,,-26.0,8.0,0.0,
2020-06-18,-21.0,-18.0,2.0,,-26.0,7.0,0.0,
2020-06-19,-26.0,-21.0,5.0,,-22.0,9.0,0.0,
2020-06-20,-27.0,-22.0,25.0,,-3.0,,0.0,
2020-06-21,-25.0,-18.0,21.0,,-5.0,,0.0,
2020-06-22,-15.0,-19.0,5.0,,-30.0,6.0,0.0,
2020-06-23,-16.0,-18.0,-1.0,,-26.0,5.0,0.0,
2020-06-24,-17.0,-19.0,13.0,,-26.0,5.0,0.0,
2020-06-25,-12.0,-16.0,-2.0,,-25.0,4.0,0.0,
2020-06-26,-17.0,-17.0,2.0,,-22.0,5.0,0.0,
2020-06-27,-20.0,-23.0,15.0,,-4.0,,0.0,
2020-06-28,-16.0,-17.0,16.0,,6.0,,0.0,
2020-06-29,0.0,-11.0,3.0,,-25.0,4.0,0.0,
2020-06-30,-10.0,-16.0,11.0,,-24.0,3.0,0.0,
2020-07-01,-8.0,-16.0,19.0,,-26.0,2.0,0.0,
