date,retail,grocery,parks,transit,workplaces,residential,ia7,growth_rate
2020-02-15,7.0,0.0,29.0,10.0,2.0,-3.0,0.0,
2020-02-16,14.0,8.0,5.0,18.0,2.0,-4.0,0.0,
2020-02-17,1.0,-1.0,14.0,7.0,4.0,-1.0,0.0,
2020-02-18,1.0,1.0,13.0,7.0,5.0,-1.0,0.0,
2020-02-19,2.0,0.0,12.0,3.0,6.0,0.0,0.0,
2020-02-20,3.0,-1.0,16.0,8.0,4.0,-1.0,0.0,
2020-02-21,2.0,1.0,21.0,12.0,4.0,-2.0,0.0,
2020-02-22,5.0,0.0,40.0,18.0,6.0,-2.0,0.0,
2020-02-23,19.0,13.0,18.0,18.0,6.0,-4.0,0.0,
2020-02-24,3.0,2.0,23.0,12.0,5.0,-1.0,0.0,
2020-02-25,2.0,6.0,16.0,7.0,6.0,-1.0,0.0,
2020-02-26,5.0,7.0,21.0,11.0,6.0,-1.0,0.1279670766305245,
2020-02-27,23.0,28.0,35.0,30.0,2.0,-6.0,0.1279670766305245,
2020-02-28,-17.0,-69.0,63.0,-15.0,-64.0,6.0,0.255934153261049,
2020-02-29,-6.0,6.0,16.0,-3.0,-8.0,0.0,0.255934153261049,
2020-03-01,11.0,5.0,3.0,14.0,2.0,-6.0,0.255934153261049,
2020-03-02,0.0,5.0,-7.0,5.0,-14.0,2.0,0.3839012298915735,
2020-03-03,-1.0,4.0,4.0,5.0,5.0,-1.0,0.511868306522098,
2020-03-04,2.0,3.0,15.0,7.0,1.0,1.0,0.767802459783147,500.0
2020-03-05,0.0,2.0,3.0,9.0,4.0,0.0,1.6635719961968185,1200.0
2020-03-06,3.0,2.0,16.0,7.0,1.0,-1.0,1.791539072827343,600.0
2020-03-07,3.0,1.0,35.0,12.0,4.0,-1.0,2.4313744559799657,850.0
2020-03-08,17.0,5.0,11.0,30.0,5.0,-3.0,2.8152756858715393,1000.0
2020-03-09,0.0,0.0,12.0,7.0,6.0,-1.0,4.478847682068357,1066.6666666666665
2020-03-10,1.0,11.0,14.0,5.0,5.0,-1.0,7.166156291309372,1300.0
2020-03-11,-1.0,14.0,10.0,1.0,5.0,0.0,9.085662440767239,1083.3333333333333
2020-03-12,-7.0,26.0,5.0,-3.0,3.0,0.0,11.389069820116681,584.6153846153846
2020-03-13,-30.0,34.0,-21.0,-21.0,-5.0,4.0,17.01962119185976,850.0
2020-03-14,-65.0,-11.0,-47.0,-46.0,-25.0,12.0,20.346765184253396,736.8421052631577
2020-03-15,-87.0,-52.0,-75.0,-72.0,-47.0,15.0,24.313744559799655,763.6363636363635
2020-03-16,-78.0,-34.0,-65.0,-70.0,-47.0,19.0,27.38495439893224,511.4285714285715
2020-03-17,-83.0,-45.0,-68.0,-76.0,-55.0,22.0,31.60786792773955,341.07142857142856
2020-03-18,-83.0,-46.0,-67.0,-79.0,-56.0,24.0,34.167209460350044,276.056338028169
2020-03-19,-84.0,-50.0,-67.0,-79.0,-60.0,24.0,36.21468268643844,217.97752808988758
2020-03-20,-87.0,-48.0,-72.0,-81.0,-61.0,29.0,36.47061683969948,114.28571428571428
