date,retail,grocery,parks,transit,workplaces,residential,ia7,growth_rate
2020-02-15,-4.0,-2.0,-15.0,-4.0,-1.0,0.0,0.0,-100.0
2020-02-16,-13.0,-19.0,-27.0,4.0,-4.0,1.0,0.0,-100.0
2020-02-17,-2.0,4.0,28.0,11.0,5.0,-1.0,0.0,
2020-02-18,1.0,0.0,21.0,2.0,4.0,-1.0,0.0,
2020-02-19,-1.0,0.0,22.0,7.0,4.0,-1.0,0.0,
2020-02-20,-1.0,3.0,17.0,6.0,3.0,-1.0,0.0891412576940048,
2020-02-21,-1.0,-1.0,27.0,19.0,3.0,-3.0,0.0891412576940048,
2020-02-22,-5.0,-4.0,32.0,10.0,1.0,-3.0,0.1782825153880096,
2020-02-23,3.0,10.0,29.0,7.0,1.0,-4.0,0.1782825153880096,
2020-02-24,15.0,13.0,71.0,4.0,-22.0,0.0,0.1782825153880096,
2020-02-25,-18.0,-50.0,34.0,-18.0,-59.0,11.0,0.1782825153880096,
2020-02-26,-4.0,6.0,0.0,3.0,-12.0,2.0,0.3565650307760192,
2020-02-27,-3.0,7.0,24.0,7.0,2.0,0.0,0.6239888038580336,600.0
2020-02-28,-1.0,4.0,8.0,14.0,3.0,-1.0,0.891412576940048,900.0
2020-02-29,-3.0,1.0,-21.0,5.0,-2.0,1.0,0.8022713192460431,349.9999999999999
2020-03-01,-7.0,-14.0,-26.0,7.0,-1.0,1.0,0.9805538346340528,450.0
2020-03-02,-3.0,5.0,7.0,10.0,5.0,0.0,1.6045426384920864,800.0000000000002
2020-03-03,-3.0,-1.0,-6.0,0.0,3.0,0.0,2.40681395773813,1250.0000000000002
2020-03-04,-4.0,0.0,-8.0,4.0,4.0,0.0,2.763378988514149,675.0000000000001
2020-03-05,-4.0,3.0,0.0,1.0,3.0,0.0,3.0308027615961635,385.7142857142858
2020-03-06,-3.0,0.0,-2.0,11.0,0.0,0.0,4.189639111618225,369.99999999999994
2020-03-07,-4.0,-1.0,3.0,2.0,1.0,-1.0,5.526757977028297,588.8888888888889
2020-03-08,-6.0,-5.0,7.0,8.0,0.0,0.0,6.774735584744365,590.9090909090909
2020-03-09,-2.0,5.0,40.0,12.0,5.0,-1.0,9.2706908001765,477.77777777777777
2020-03-10,-3.0,9.0,20.0,-2.0,3.0,-1.0,13.192906138712711,448.1481481481481
2020-03-11,-6.0,10.0,15.0,0.0,3.0,0.0,17.293403992636932,525.8064516129032
2020-03-12,-13.0,31.0,5.0,-12.0,-1.0,1.0,23.533292031217268,676.4705882352941
2020-03-13,-34.0,28.0,-26.0,-28.0,-14.0,8.0,30.842875162125665,636.1702127659577
