date,retail,grocery,parks,transit,workplaces,residential,ia7,growth_rate
2020-02-15,12.0,1.0,55.0,8.0,2.0,-3.0,0.0,
2020-02-16,14.0,0.0,51.0,21.0,0.0,-4.0,0.0,
2020-02-17,-1.0,-3.0,18.0,4.0,6.0,-2.0,0.0,
2020-02-18,-2.0,-2.0,12.0,-6.0,8.0,-1.0,0.0,
2020-02-19,1.0,2.0,16.0,0.0,6.0,-1.0,0.0,
2020-02-20,4.0,-4.0,45.0,9.0,1.0,-3.0,0.0,
2020-02-21,4.0,1.0,13.0,16.0,1.0,-2.0,0.0,
2020-02-22,18.0,11.0,67.0,19.0,6.0,-3.0,0.0,
2020-02-23,19.0,19.0,59.0,31.0,4.0,-4.0,0.0,
2020-02-24,5.0,2.0,41.0,6.0,1.0,-2.0,0.0,
2020-02-25,2.0,3.0,26.0,3.0,3.0,-1.0,0.0,
2020-02-26,0.0,-2.0,18.0,0.0,6.0,-1.0,0.0,
2020-02-27,3.0,2.0,17.0,6.0,5.0,-1.0,0.0,
2020-02-28,15.0,8.0,48.0,14.0,3.0,-2.0,1.019685019297539,
2020-02-29,21.0,14.0,55.0,17.0,4.0,-1.0,1.5295275289463086,
2020-03-01,15.0,14.0,23.0,31.0,3.0,-1.0,3.568897567541387,
2020-03-02,4.0,0.0,-2.0,16.0,6.0,1.0,7.647637644731543,
2020-03-03,-4.0,-2.0,-3.0,-2.0,9.0,1.0,12.746062741219237,
2020-03-04,-1.0,0.0,6.0,4.0,7.0,0.0,15.805117799111855,
2020-03-05,-1.0,2.0,-7.0,1.0,4.0,0.0,22.942912934194627,
2020-03-06,3.0,-1.0,-3.0,8.0,3.0,-1.0,27.02165301138478,2549.9999999999995
2020-03-07,11.0,4.0,27.0,2.0,1.0,-1.0,32.62992061752125,2033.3333333333333
2020-03-08,14.0,9.0,47.0,19.0,5.0,-3.0,40.78740077190156,1042.857142857143
2020-03-09,-1.0,1.0,16.0,1.0,7.0,-2.0,52.51377849382326,586.6666666666665
2020-03-10,-1.0,14.0,30.0,0.0,8.0,-2.0,64.74999872539372,408.0
2020-03-11,-2.0,15.0,30.0,1.0,5.0,-1.0,80.55511652450558,409.6774193548386
2020-03-12,-3.0,29.0,17.0,-1.0,2.0,-1.0,96.36023432361743,320.0
2020-03-13,-32.0,25.0,-17.0,-21.0,-17.0,7.0,124.40157235429976,360.3773584905661
2020-03-14,-62.0,-14.0,-41.0,-43.0,-28.0,11.0,146.83464277884562,349.9999999999999
2020-03-15,-86.0,-61.0,-67.0,-62.0,-49.0,16.0,183.54330347355705,350.0
2020-03-16,-76.0,-32.0,-65.0,-64.0,-45.0,20.0,213.6240115428344,306.7961165048544
2020-03-17,-79.0,-45.0,-70.0,-61.0,-49.0,22.0,242.17519208316548,274.015748031496
