date,retail,grocery,parks,transit,workplaces,residential,ia7,growth_rate
2020-02-15,8.0,2.0,15.0,10.0,2.0,-1.0,0.0,
2020-02-16,6.0,7.0,15.0,18.0,0.0,-2.0,0.0,
2020-02-17,3.0,2.0,15.0,2.0,4.0,0.0,0.0,
2020-02-18,1.0,1.0,5.0,2.0,4.0,0.0,0.0,
2020-02-19,3.0,2.0,20.0,1.0,3.0,0.0,0.0,
2020-02-20,6.0,2.0,27.0,5.0,3.0,-1.0,0.0,
2020-02-21,8.0,5.0,41.0,9.0,-6.0,0.0,0.1279119147390341,
2020-02-22,14.0,7.0,52.0,26.0,2.0,-2.0,0.2558238294780682,
2020-02-23,15.0,15.0,63.0,32.0,3.0,-3.0,0.3837357442171023,
2020-02-24,9.0,4.0,57.0,3.0,-12.0,1.0,0.5116476589561364,
2020-02-25,1.0,5.0,7.0,3.0,2.0,0.0,0.8953834031732387,
2020-02-26,0.0,4.0,15.0,1.0,4.0,0.0,0.8953834031732387,
2020-02-27,2.0,3.0,16.0,3.0,4.0,0.0,1.0232953179122728,
2020-02-28,6.0,6.0,17.0,9.0,5.0,-1.0,1.279119147390341,900.0
2020-02-29,8.0,3.0,19.0,24.0,3.0,-2.0,1.151207232651307,350.0000000000001
2020-03-01,8.0,7.0,22.0,17.0,4.0,-2.0,1.4070310621293751,266.6666666666667
2020-03-02,-1.0,2.0,-1.0,-1.0,4.0,1.0,1.6628548916074433,225.0
2020-03-03,0.0,1.0,0.0,1.0,4.0,0.0,2.17450255056358,142.8571428571429
2020-03-04,2.0,2.0,13.0,1.0,5.0,0.0,3.5815336126929553,300.0000000000001
2020-03-05,1.0,1.0,9.0,2.0,5.0,0.0,4.476917015866194,337.5000000000001
2020-03-06,2.0,2.0,4.0,4.0,3.0,0.0,6.267683822212671,390.00000000000006
2020-03-07,6.0,1.0,16.0,7.0,5.0,-1.0,8.186362543298182,611.111111111111
2020-03-08,6.0,4.0,26.0,13.0,3.0,-2.0,9.33756977594949,563.6363636363636
2020-03-09,-1.0,2.0,8.0,-2.0,4.0,0.0,13.814486791815684,730.7692307692308
2020-03-10,0.0,8.0,8.0,1.0,5.0,-1.0,18.67513955189898,758.8235294117646
2020-03-11,0.0,11.0,28.0,-2.0,4.0,0.0,21.23337784667966,492.8571428571426
2020-03-12,-6.0,31.0,15.0,-4.0,2.0,0.0,26.733590180458126,497.14285714285705
2020-03-13,-23.0,31.0,-3.0,-26.0,-15.0,7.0,33.64083357636597,436.7346938775511
2020-03-14,-69.0,-9.0,-40.0,-46.0,-27.0,14.0,44.51334632918387,443.75
2020-03-15,-83.0,-47.0,-65.0,-63.0,-45.0,16.0,53.59509227565529,473.9726027397261
2020-03-16,-78.0,-32.0,-59.0,-70.0,-45.0,22.0,65.6188122611245,375.0
2020-03-17,-80.0,-35.0,-57.0,-72.0,-51.0,24.0,72.65396757177137,289.041095890411
2020-03-18,-81.0,-37.0,-54.0,-74.0,-53.0,25.0,81.22406585928667,282.5301204819278
2020-03-19,-83.0,-41.0,-61.0,-75.0,-55.0,27.0,88.77086882888968,232.05741626794264
2020-03-20,-85.0,-40.0,-67.0,-76.0,-57.0,29.0,96.44558371323173,186.69201520912551
2020-03-21,-91.0,-55.0,-85.0,-82.0,-60.0,26.0,97.34096711640495,118.67816091954025
2020-03-22,-92.0,-70.0,-88.0,-85.0,-63.0,22.0,96.70140754270979,80.42959427207637
2020-03-23,-85.0,-45.0,-70.0,-79.0,-60.0,28.0,94.01525733319006,43.27485380116958
2020-03-24,-85.0,-46.0,-69.0,-78.0,-61.0,28.0,94.01525733319006,29.401408450704224
2020-03-25,-85.0,-47.0,-67.0,-80.0,-62.0,29.0,91.71284286788746,12.913385826771663
2020-03-26,-87.0,-52.0,-74.0,-81.0,-63.0,31.0,89.79416414680196,1.1527377521614035
2020-03-27,-86.0,-46.0,-73.0,-80.0,-62.0,32.0,86.212630534109,-10.61007957559682
2020-03-28,-92.0,-59.0,-86.0,-84.0,-62.0,26.0,83.78230415406735,-13.929040735873844
2020-03-29,-93.0,-75.0,-89.0,-86.0,-61.0,22.0,83.39856840985024,-13.756613756613756
2020-03-30,-89.0,-53.0,-76.0,-83.0,-70.0,31.0,79.30538713820117,-15.646258503401322
