date,retail,grocery,parks,transit,workplaces,residential,ia7,growth_rate
2020-02-15,-6.0,-4.0,10.0,0.0,-3.0,0.0,0.0,
2020-02-16,-7.0,-6.0,6.0,1.0,-2.0,0.0,0.0,
2020-02-17,-5.0,-4.0,-3.0,-1.0,1.0,0.0,0.0,
2020-02-18,-4.0,-3.0,-5.0,3.0,1.0,0.0,0.0,
2020-02-19,-5.0,-2.0,-6.0,1.0,1.0,0.0,0.0,
2020-02-20,-4.0,-3.0,-8.0,1.0,1.0,0.0,0.0,
2020-02-21,-7.0,-4.0,3.0,0.0,0.0,0.0,0.0,
2020-02-22,-16.0,-9.0,0.0,-6.0,-4.0,1.0,0.0,
2020-02-23,-29.0,-20.0,-48.0,-21.0,-10.0,6.0,0.0,
2020-02-24,-1.0,-2.0,-1.0,3.0,-26.0,4.0,0.0,
2020-02-25,-13.0,-27.0,30.0,-4.0,-51.0,10.0,0.0,
2020-02-26,-2.0,6.0,-1.0,3.0,-10.0,1.0,0.1768244972658512,
2020-02-27,-1.0,5.0,-5.0,3.0,-6.0,1.0,0.1768244972658512,
2020-02-28,-4.0,3.0,6.0,1.0,-4.0,1.0,0.26523674589877677,
2020-02-29,-4.0,4.0,15.0,9.0,-2.0,0.0,0.44206124316462797,
2020-03-01,-2.0,0.0,4.0,7.0,0.0,0.0,0.6188857404304792,
2020-03-02,-2.0,2.0,-2.0,1.0,1.0,0.0,0.7957102376963303,
2020-03-03,-2.0,2.0,-2.0,4.0,1.0,0.0,0.9725347349621816,
2020-03-04,-2.0,4.0,-1.0,2.0,1.0,0.0,1.060946983595107,500.0
2020-03-05,0.0,4.0,-8.0,2.0,1.0,0.0,1.2377714808609583,600.0
2020-03-06,-3.0,1.0,-9.0,0.0,-2.0,1.0,1.326183729493884,400.0000000000001
2020-03-07,-4.0,1.0,-8.0,-1.0,-4.0,1.0,1.4145959781268096,219.99999999999997
2020-03-08,-4.0,0.0,-4.0,0.0,-3.0,0.0,2.475542961721917,300.0000000000001
2020-03-09,-4.0,-1.0,-1.0,-1.0,0.0,0.0,3.4480776966840985,333.33333333333337
2020-03-10,-4.0,4.0,1.0,2.0,0.0,0.0,5.216322669342611,436.3636363636363
2020-03-11,-4.0,7.0,-5.0,2.0,0.0,0.0,6.719330896102346,533.3333333333335
2020-03-12,-11.0,14.0,-9.0,-6.0,-2.0,0.0,9.194873857824263,642.8571428571428
2020-03-13,-29.0,18.0,-28.0,-22.0,-21.0,7.0,12.819776051774213,866.6666666666667
2020-03-14,-53.0,-12.0,-45.0,-33.0,-20.0,9.0,16.179441499825387,1043.7500000000002
2020-03-15,-83.0,-37.0,-73.0,-50.0,-36.0,13.0,18.478159964281453,646.4285714285714
2020-03-16,-81.0,-37.0,-78.0,-58.0,-48.0,18.0,21.661000915066776,528.2051282051283
2020-03-17,-85.0,-46.0,-81.0,-60.0,-55.0,20.0,22.633535650028954,333.89830508474574
2020-03-18,-86.0,-47.0,-83.0,-64.0,-57.0,22.0,24.13654387678869,259.2105263157894
2020-03-19,-86.0,-50.0,-84.0,-66.0,-59.0,23.0,23.694482633624062,157.6923076923077
2020-03-20,-88.0,-50.0,-86.0,-69.0,-60.0,27.0,22.810360147294805,77.9310344827586
2020-03-21,-92.0,-58.0,-90.0,-77.0,-61.0,23.0,20.953702926003366,29.508196721311442
