date,retail,grocery,parks,transit,workplaces,residential,ia7,growth_rate
2020-02-15,9.0,-3.0,35.0,19.0,0.0,-3.0,0.0,
2020-02-16,7.0,5.0,26.0,12.0,2.0,-4.0,0.0,
2020-02-17,-1.0,-1.0,7.0,8.0,6.0,-1.0,0.0,
2020-02-18,-1.0,-2.0,5.0,3.0,7.0,-1.0,0.1087940398273221,
2020-02-19,0.0,-2.0,10.0,8.0,1.0,0.0,0.1087940398273221,
2020-02-20,1.0,0.0,10.0,10.0,7.0,-1.0,0.2175880796546442,
2020-02-21,5.0,-1.0,12.0,14.0,5.0,-2.0,0.32638211948196627,
2020-02-22,8.0,-1.0,33.0,22.0,3.0,-2.0,0.32638211948196627,
2020-02-23,10.0,7.0,25.0,11.0,4.0,-4.0,0.32638211948196627,
2020-02-24,4.0,1.0,13.0,12.0,6.0,-1.0,0.32638211948196627,
2020-02-25,4.0,4.0,8.0,5.0,7.0,-1.0,0.2175880796546442,100.0
2020-02-26,6.0,5.0,13.0,9.0,6.0,-2.0,0.32638211948196627,200.0
2020-02-27,23.0,23.0,25.0,32.0,3.0,-5.0,0.2175880796546442,0.0
2020-02-28,-9.0,-62.0,78.0,-5.0,-63.0,7.0,0.1087940398273221,-66.66666666666666
2020-02-29,4.0,8.0,34.0,20.0,-5.0,-2.0,0.2175880796546442,-33.33333333333333
2020-03-01,3.0,3.0,8.0,15.0,4.0,-6.0,0.6527642389639325,100.0
2020-03-02,0.0,1.0,-16.0,8.0,-15.0,2.0,0.8703523186185768,166.66666666666669
2020-03-03,0.0,3.0,-2.0,5.0,4.0,-1.0,1.305528477927865,500.0
2020-03-04,3.0,3.0,13.0,10.0,1.0,0.0,1.3055284779278653,300.0000000000001
2020-03-05,7.0,2.0,-1.0,9.0,7.0,-1.0,1.7407046372371537,700.0000000000002
2020-03-06,1.0,1.0,6.0,9.0,-1.0,0.0,2.3934688762010863,2100.0000000000005
2020-03-07,1.0,-1.0,17.0,20.0,2.0,-1.0,3.4814092744743075,1500.0000000000005
2020-03-08,6.0,8.0,25.0,11.0,3.0,-3.0,4.569349672747528,600.0
2020-03-09,-1.0,1.0,1.0,11.0,6.0,-1.0,7.6155827879125475,775.0
2020-03-10,-1.0,10.0,7.0,3.0,6.0,-1.0,10.444227823422922,700.0000000000002
2020-03-11,-2.0,12.0,10.0,5.0,5.0,-1.0,14.795989416515805,1033.3333333333335
2020-03-12,-8.0,27.0,0.0,-3.0,3.0,0.0,20.56207352736388,1081.25
2020-03-13,-33.0,27.0,-24.0,-21.0,-8.0,5.0,28.177656315276426,1077.2727272727273
2020-03-14,-64.0,-15.0,-51.0,-42.0,-22.0,11.0,35.57565102353433,921.8749999999998
2020-03-15,-89.0,-57.0,-78.0,-71.0,-45.0,15.0,43.62640997075617,854.761904761905
2020-03-16,-82.0,-39.0,-73.0,-71.0,-55.0,21.0,52.003551037459964,582.8571428571429
2020-03-17,-85.0,-50.0,-75.0,-77.0,-61.0,24.0,60.48948614399109,479.1666666666665
2020-03-18,-87.0,-50.0,-75.0,-79.0,-64.0,25.0,67.34351065311238,355.14705882352933
2020-03-19,-87.0,-54.0,-76.0,-80.0,-66.0,26.0,71.47768416655062,247.6190476190476
2020-03-20,-89.0,-52.0,-79.0,-82.0,-67.0,31.0,79.20206099429049,181.0810810810811
2020-03-21,-93.0,-62.0,-88.0,-85.0,-63.0,26.0,81.59552987049157,129.3577981651376
2020-03-22,-96.0,-80.0,-91.0,-89.0,-67.0,21.0,83.98899874669266,92.51870324189522
2020-03-23,-87.0,-56.0,-80.0,-82.0,-68.0,26.0,80.8339715917003,55.43933054393302
2020-03-24,-88.0,-57.0,-80.0,-84.0,-69.0,27.0,79.96361927308175,32.194244604316566
2020-03-25,-89.0,-60.0,-80.0,-84.0,-70.0,28.0,78.22291463584459,16.15508885298871
2020-03-26,-89.0,-60.0,-79.0,-84.0,-70.0,29.0,77.02618019774405,7.762557077625587
2020-03-27,-90.0,-59.0,-82.0,-85.0,-70.0,32.0,72.89200668430581,-7.967032967032961
2020-03-28,-93.0,-65.0,-86.0,-85.0,-63.0,25.0,67.23471661328506,-17.599999999999994
2020-03-29,-95.0,-82.0,-89.0,-89.0,-64.0,21.0,64.18848349812004,-23.575129533678762
2020-03-30,-90.0,-62.0,-79.0,-83.0,-73.0,28.0,61.79501462191896,-23.553162853297426
2020-03-31,-94.0,-62.0,-84.0,-84.0,-74.0,29.0,55.26737223227963,-30.884353741496607
2020-04-01,-93.0,-59.0,-81.0,-83.0,-74.0,29.0,52.65631527642389,-32.684283727399176
2020-04-02,-93.0,-63.0,-84.0,-85.0,-75.0,31.0,48.413347723158324,-37.14689265536726
2020-04-03,-90.0,-57.0,-82.0,-85.0,-73.0,33.0,39.16585433783595,-46.26865671641792
2020-04-04,-93.0,-64.0,-86.0,-86.0,-63.0,26.0,37.20756162094416,-44.66019417475729
2020-04-05,-95.0,-81.0,-89.0,-90.0,-66.0,21.0,31.0063013507868,-51.69491525423729
2020-04-06,-88.0,-59.0,-79.0,-83.0,-73.0,28.0,27.633686116139813,-55.28169014084507
2020-04-07,-89.0,-50.0,-78.0,-82.0,-72.0,27.0,27.633686116139817,-49.999999999999986
2020-04-08,-88.0,-42.0,-76.0,-80.0,-72.0,26.0,24.369864921320154,-53.719008264462786
2020-04-09,-94.0,-83.0,-83.0,-88.0,-85.0,33.0,21.323631806155134,-55.95505617977526
2020-04-10,-97.0,-93.0,-88.0,-91.0,-88.0,40.0,22.085190084946387,-43.6111111111111
2020-04-11,-93.0,-56.0,-85.0,-84.0,-60.0,25.0,21.75880796546442,-41.52046783625731
2020-04-12,-96.0,-80.0,-89.0,-89.0,-65.0,21.0,20.997249686673165,-32.280701754385966
2020-04-13,-89.0,-58.0,-79.0,-80.0,-69.0,27.0,20.77966160701852,-24.803149606299215
2020-04-14,-89.0,-55.0,-75.0,-80.0,-68.0,26.0,18.930162929954044,-31.496062992125996
2020-04-15,-89.0,-57.0,-79.0,-81.0,-68.0,27.0,18.494986770644758,-24.107142857142872
2020-04-16,-89.0,-57.0,-76.0,-80.0,-68.0,27.0,18.16860465116279,-14.79591836734695
2020-04-17,-90.0,-58.0,-79.0,-82.0,-68.0,31.0,16.427900013925637,-25.61576354679802
2020-04-18,-93.0,-62.0,-84.0,-83.0,-58.0,24.0,14.360813257206518,-34.00000000000001
2020-04-19,-95.0,-79.0,-89.0,-89.0,-63.0,21.0,13.272872858933297,-36.78756476683937
2020-04-20,-88.0,-60.0,-76.0,-79.0,-66.0,26.0,11.749756301350788,-43.45549738219895
2020-04-21,-88.0,-57.0,-79.0,-80.0,-67.0,26.0,10.117845703940956,-46.551724137931025
2020-04-22,-88.0,-55.0,-75.0,-79.0,-66.0,26.0,7.28920066843058,-60.58823529411765
2020-04-23,-88.0,-56.0,-74.0,-80.0,-66.0,27.0,6.636436429466648,-63.47305389221558
2020-04-24,-89.0,-55.0,-77.0,-81.0,-66.0,30.0,7.0716125887759365,-56.95364238410596
2020-04-25,-93.0,-62.0,-87.0,-84.0,-59.0,25.0,6.854024509121293,-52.27272727272727
2020-04-26,-94.0,-73.0,-83.0,-86.0,-61.0,20.0,6.3100543099846815,-52.45901639344264
2020-04-27,-86.0,-57.0,-70.0,-76.0,-64.0,25.0,5.548496031193427,-52.77777777777779
2020-04-28,-86.0,-52.0,-68.0,-76.0,-64.0,25.0,5.22211391171146,-48.38709677419355
2020-04-29,-85.0,-50.0,-66.0,-75.0,-64.0,25.0,5.004525832056816,-31.343283582089565
2020-04-30,-84.0,-40.0,-67.0,-75.0,-63.0,24.0,4.786937752402173,-27.86885245901638
2020-05-01,-94.0,-90.0,-75.0,-86.0,-83.0,36.0,2.8286450355103745,-60.00000000000001
2020-05-02,-85.0,-40.0,-56.0,-65.0,-48.0,20.0,2.393468876201086,-65.07936507936508
2020-05-03,-86.0,-48.0,-59.0,-70.0,-49.0,16.0,2.5022629160284082,-60.3448275862069
2020-05-04,-78.0,-47.0,-43.0,-63.0,-60.0,21.0,2.3934688762010863,-56.86274509803921
2020-05-05,-77.0,-39.0,-42.0,-64.0,-58.0,20.0,2.06708675671912,-60.416666666666664
2020-05-06,-78.0,-41.0,-40.0,-62.0,-58.0,21.0,1.8494986770644757,-63.043478260869556
2020-05-07,-78.0,-43.0,-45.0,-65.0,-58.0,22.0,1.3055284779278653,-72.72727272727273
2020-05-08,-81.0,-45.0,-52.0,-68.0,-57.0,26.0,1.4143225177551872,-50.0
2020-05-09,-85.0,-47.0,-61.0,-67.0,-44.0,20.0,1.1967344381005431,-49.999999999999986
2020-05-10,-90.0,-61.0,-76.0,-80.0,-52.0,18.0,0.7615582787912546,-69.56521739130434
2020-05-11,-75.0,-43.0,-46.0,-63.0,-54.0,20.0,1.087940398273221,-54.545454545454554
2020-05-12,-79.0,-48.0,-64.0,-71.0,-57.0,23.0,1.305528477927865,-36.84210526315791
2020-05-13,-75.0,-38.0,-47.0,-62.0,-54.0,20.0,1.7407046372371535,-5.882352941176483
2020-05-14,-77.0,-42.0,-55.0,-68.0,-55.0,22.0,1.7407046372371537,33.33333333333333
2020-05-15,-80.0,-43.0,-58.0,-69.0,-56.0,26.0,2.06708675671912,46.15384615384617
2020-05-16,-84.0,-45.0,-66.0,-68.0,-43.0,21.0,2.0670867567191196,72.72727272727269
2020-05-17,-85.0,-52.0,-63.0,-72.0,-45.0,17.0,2.0670867567191196,171.42857142857144
2020-05-18,-55.0,-28.0,-16.0,-44.0,-45.0,13.0,1.7407046372371537,60.00000000000003
2020-05-19,-57.0,-27.0,-20.0,-48.0,-45.0,14.0,1.6319105974098316,25.00000000000002
2020-05-20,-57.0,-26.0,-23.0,-48.0,-45.0,15.0,1.305528477927865,-25.0
2020-05-21,-57.0,-25.0,-26.0,-50.0,-45.0,15.0,1.6319105974098316,-6.25
2020-05-22,-60.0,-25.0,-29.0,-52.0,-44.0,17.0,1.087940398273221,-47.36842105263159
2020-05-23,-66.0,-29.0,-35.0,-45.0,-22.0,10.0,1.087940398273221,-47.36842105263158
2020-05-24,-69.0,-32.0,-41.0,-57.0,-21.0,7.0,1.1967344381005431,-42.105263157894726
2020-05-25,-52.0,-28.0,-26.0,-47.0,-43.0,14.0,1.087940398273221,-37.500000000000014
2020-05-26,-52.0,-25.0,-23.0,-47.0,-41.0,13.0,0.7615582787912546,-53.33333333333334
2020-05-27,-52.0,-25.0,-24.0,-46.0,-41.0,14.0,0.8703523186185768,-33.33333333333333
2020-05-28,-51.0,-23.0,-24.0,-48.0,-41.0,14.0,0.5439701991366105,-66.66666666666667
2020-05-29,-54.0,-23.0,-25.0,-48.0,-40.0,15.0,0.5439701991366105,-50.0
2020-05-30,-60.0,-25.0,-29.0,-42.0,-14.0,8.0,0.6527642389639325,-40.0
2020-05-31,-69.0,-37.0,-49.0,-60.0,-15.0,7.0,0.6527642389639325,-45.45454545454546
2020-06-01,-39.0,-22.0,-15.0,-40.0,-37.0,11.0,0.8703523186185768,-19.999999999999996
2020-06-02,-39.0,-21.0,-13.0,-42.0,-36.0,11.0,0.8703523186185768,14.285714285714302
2020-06-03,-38.0,-20.0,-12.0,-40.0,-36.0,11.0,0.9791463584458988,12.5
2020-06-04,-45.0,-24.0,-37.0,-50.0,-38.0,14.0,0.8703523186185769,60.00000000000003
2020-06-05,-39.0,-20.0,-15.0,-44.0,-35.0,12.0,1.087940398273221,100.0
2020-06-06,-45.0,-24.0,-16.0,-38.0,-8.0,6.0,0.8703523186185768,33.33333333333335
2020-06-07,-55.0,-29.0,-32.0,-52.0,-9.0,5.0,0.8703523186185768,33.33333333333335
2020-06-08,-29.0,-21.0,-17.0,-38.0,-35.0,10.0,0.6527642389639325,-25.0
2020-06-09,-28.0,-21.0,-9.0,-38.0,-34.0,9.0,0.7615582787912546,-12.50000000000001
2020-06-10,-27.0,-19.0,-3.0,-34.0,-34.0,9.0,0.4351761593092884,-55.55555555555556
2020-06-11,-29.0,-21.0,-10.0,-31.0,-36.0,10.0,0.5439701991366105,-37.500000000000014
2020-06-12,-36.0,-17.0,-25.0,-38.0,-37.0,12.0,0.32638211948196627,-70.0
2020-06-13,-37.0,-22.0,-10.0,-20.0,-4.0,3.0,0.4351761593092884,-50.0
2020-06-14,-46.0,-24.0,-15.0,-45.0,1.0,0.0,0.4351761593092884,-50.0
2020-06-15,-25.0,-20.0,-11.0,-28.0,-33.0,9.0,0.6527642389639325,0.0
2020-06-16,-25.0,-17.0,-8.0,-29.0,-32.0,9.0,1.087940398273221,42.85714285714286
2020-06-17,-25.0,-17.0,-1.0,-26.0,-31.0,8.0,1.7407046372371537,300.0000000000001
2020-06-18,-26.0,-18.0,-4.0,-34.0,-31.0,8.0,2.284674836373764,320.0
2020-06-19,-31.0,-18.0,-5.0,-35.0,-31.0,8.0,3.046233115165019,833.3333333333334
2020-06-20,-37.0,-21.0,-1.0,-26.0,-2.0,2.0,4.025379473610918,825.0
2020-06-21,-44.0,-23.0,-9.0,-41.0,3.0,-1.0,4.242967553265562,875.0000000000002
2020-06-22,-22.0,-18.0,-5.0,-28.0,-32.0,7.0,4.569349672747528,600.0
2020-06-23,-21.0,-13.0,3.0,-28.0,-32.0,6.0,4.351761593092884,300.0
2020-06-24,-25.0,-23.0,6.0,-27.0,-32.0,7.0,5.004525832056817,187.5
2020-06-25,-19.0,-10.0,7.0,-27.0,-29.0,6.0,5.548496031193427,142.85714285714283
2020-06-26,-25.0,-13.0,5.0,-28.0,-28.0,6.0,5.874878150675394,92.85714285714289
2020-06-27,-33.0,-17.0,9.0,-19.0,-4.0,1.0,5.657290071020749,40.540540540540526
2020-06-28,-41.0,-20.0,-3.0,-35.0,8.0,-3.0,6.636436429466648,56.410256410256366
