date,retail,grocery,parks,transit,workplaces,residential,ia7,growth_rate
2020-02-15,4.0,-2.0,31.0,21.0,1.0,-2.0,0.0,
2020-02-16,6.0,7.0,38.0,10.0,-1.0,-2.0,0.0,
2020-02-17,0.0,7.0,2.0,15.0,3.0,-1.0,0.0,
2020-02-18,0.0,-2.0,6.0,7.0,3.0,-1.0,0.0,
2020-02-19,0.0,0.0,15.0,6.0,3.0,-1.0,0.0,
2020-02-20,2.0,-1.0,37.0,10.0,2.0,-1.0,0.0,
2020-02-21,1.0,0.0,36.0,8.0,3.0,-2.0,0.0,
2020-02-22,9.0,1.0,68.0,23.0,5.0,-3.0,0.0,
2020-02-23,15.0,10.0,56.0,16.0,3.0,-5.0,0.0,
2020-02-24,2.0,3.0,39.0,9.0,-13.0,-1.0,0.0,
2020-02-25,-4.0,-2.0,14.0,-3.0,-13.0,0.0,0.0,
2020-02-26,-3.0,0.0,20.0,5.0,2.0,-1.0,0.0,
2020-02-27,3.0,4.0,17.0,7.0,2.0,-1.0,0.0,
2020-02-28,7.0,9.0,35.0,7.0,-1.0,-1.0,0.7633733468195958,
2020-02-29,5.0,8.0,10.0,4.0,-1.0,0.0,2.6718067138685853,
2020-03-01,-1.0,4.0,-8.0,-8.0,-1.0,0.0,8.397106815015555,
2020-03-02,0.0,11.0,-12.0,8.0,-2.0,0.0,11.06891352888414,
2020-03-03,-3.0,2.0,-7.0,-1.0,3.0,0.0,16.030840283211514,
2020-03-04,-1.0,2.0,12.0,5.0,3.0,0.0,20.992767037538886,
2020-03-05,-1.0,1.0,-3.0,1.0,2.0,0.0,24.42794709822707,
2020-03-06,-1.0,0.0,-2.0,-1.0,1.0,1.0,30.91662054619363,3950.000000000001
2020-03-07,2.0,1.0,15.0,9.0,1.0,0.0,36.6419206473406,1271.4285714285716
2020-03-08,8.0,8.0,43.0,10.0,1.0,-1.0,39.695414034618985,372.72727272727275
2020-03-09,-2.0,13.0,16.0,11.0,2.0,-1.0,50.000954216683525,351.7241379310344
2020-03-10,-3.0,36.0,19.0,-4.0,1.0,-1.0,54.9628809710109,242.8571428571428
2020-03-11,-4.0,20.0,23.0,-14.0,-5.0,2.0,59.92480772533827,185.4545454545454
2020-03-12,-11.0,23.0,15.0,-23.0,-9.0,4.0,75.95564800854979,210.93749999999994
2020-03-13,-36.0,30.0,-18.0,-44.0,-24.0,11.0,90.8414282715319,193.82716049382708
2020-03-14,-64.0,-5.0,-45.0,-52.0,-30.0,14.0,110.30744861543158,201.0416666666666
2020-03-15,-85.0,-47.0,-69.0,-74.0,-44.0,15.0,124.42985553159411,213.46153846153842
2020-03-16,-76.0,-26.0,-68.0,-73.0,-51.0,22.0,136.26214240729786,172.51908396946564
2020-03-17,-79.0,-37.0,-69.0,-79.0,-56.0,24.0,150.76623599687017,174.30555555555554
2020-03-18,-80.0,-34.0,-68.0,-78.0,-58.0,26.0,168.70550964713067,181.5286624203822
2020-03-19,-88.0,-86.0,-74.0,-85.0,-74.0,33.0,173.66743640145805,128.64321608040203
2020-03-20,-84.0,-32.0,-74.0,-83.0,-64.0,33.0,181.6828565430638,100.0
2020-03-21,-90.0,-51.0,-85.0,-83.0,-58.0,25.0,167.56044962690126,51.903114186851205
2020-03-22,-92.0,-72.0,-85.0,-86.0,-60.0,21.0,166.03370293326208,33.43558282208588
2020-03-23,-80.0,-38.0,-71.0,-81.0,-63.0,26.0,163.3618962193935,19.8879551820728
2020-03-24,-83.0,-49.0,-73.0,-83.0,-65.0,28.0,156.49153609801715,3.7974683544304
2020-03-25,-84.0,-50.0,-74.0,-82.0,-65.0,29.0,144.2775625489036,-14.479638009049767
2020-03-26,-84.0,-51.0,-74.0,-83.0,-67.0,30.0,132.44527567319986,-23.73626373626375
2020-03-27,-87.0,-50.0,-77.0,-84.0,-66.0,34.0,113.74262867611978,-37.394957983193265
2020-03-28,-91.0,-57.0,-85.0,-84.0,-59.0,25.0,110.3074486154316,-34.16856492027334
2020-03-29,-92.0,-73.0,-84.0,-87.0,-58.0,20.0,96.94841504608867,-41.60919540229884
2020-03-30,-86.0,-50.0,-76.0,-85.0,-72.0,30.0,90.07805492471229,-44.859813084112155
2020-03-31,-91.0,-55.0,-79.0,-85.0,-75.0,32.0,79.39082806923795,-49.26829268292684
2020-04-01,-91.0,-50.0,-77.0,-85.0,-73.0,33.0,79.00914139582817,-45.238095238095234
2020-04-02,-90.0,-51.0,-76.0,-86.0,-73.0,33.0,75.57396133513998,-42.93948126801153
2020-04-03,-88.0,-49.0,-77.0,-86.0,-73.0,37.0,75.57396133513998,-33.55704697986578
2020-04-04,-92.0,-55.0,-84.0,-84.0,-63.0,26.0,74.0472146415008,-32.87197231833909
2020-04-05,-93.0,-73.0,-85.0,-88.0,-63.0,21.0,73.665527968091,-24.015748031496067
2020-04-06,-83.0,-44.0,-73.0,-85.0,-73.0,31.0,65.65010782648523,-27.118644067796616
2020-04-07,-86.0,-38.0,-75.0,-85.0,-73.0,31.0,66.79516784671463,-15.865384615384615
2020-04-08,-86.0,-29.0,-73.0,-83.0,-73.0,30.0,59.924807725338276,-24.154589371980673
2020-04-09,-94.0,-90.0,-80.0,-92.0,-89.0,39.0,54.962880971010904,-27.27272727272726
2020-04-10,-96.0,-93.0,-85.0,-93.0,-90.0,46.0,51.90938758373252,-31.313131313131304
2020-04-11,-92.0,-43.0,-84.0,-82.0,-60.0,26.0,50.38264089009332,-31.95876288659796
