date,retail,grocery,parks,transit,workplaces,residential,ia7,growth_rate
2020-02-15,3.0,-5.0,51.0,16.0,0.0,-3.0,0.0,
2020-02-16,-1.0,4.0,21.0,6.0,-1.0,-2.0,0.0,
2020-02-17,-9.0,-2.0,-43.0,-6.0,2.0,0.0,0.0,
2020-02-18,-1.0,-1.0,0.0,-1.0,3.0,0.0,0.0,
2020-02-19,-3.0,-2.0,10.0,-1.0,3.0,0.0,0.0,
2020-02-20,6.0,1.0,2.0,8.0,2.0,-2.0,0.0,
2020-02-21,3.0,1.0,10.0,9.0,1.0,-2.0,0.0,
2020-02-22,9.0,-6.0,48.0,33.0,3.0,-3.0,0.0,
2020-02-23,12.0,25.0,33.0,41.0,4.0,-3.0,0.0,
2020-02-24,9.0,2.0,17.0,17.0,-17.0,0.0,0.0,
2020-02-25,-5.0,-6.0,-22.0,-6.0,-12.0,3.0,0.27505738384670503,
2020-02-26,-14.0,-7.0,-35.0,-14.0,-5.0,3.0,0.27505738384670503,
2020-02-27,-8.0,0.0,-35.0,-5.0,0.0,1.0,0.27505738384670503,
2020-02-28,10.0,4.0,21.0,12.0,2.0,-2.0,0.27505738384670503,
2020-02-29,-7.0,-1.0,-26.0,1.0,-2.0,1.0,0.5501147676934101,
2020-03-01,-3.0,6.0,2.0,6.0,1.0,0.0,0.6876434596167625,
2020-03-02,-14.0,-4.0,-52.0,-9.0,0.0,1.0,0.9627008434634676,
2020-03-03,-8.0,0.0,-28.0,-9.0,1.0,1.0,1.3752869192335253,400.0
2020-03-04,-6.0,0.0,-3.0,-3.0,2.0,0.0,1.7878729950035828,550.0
2020-03-05,-8.0,0.0,-37.0,-6.0,1.0,1.0,2.6130451465436977,849.9999999999998
2020-03-06,-11.0,-2.0,-41.0,-10.0,-2.0,2.0,3.30068860616046,1100.0
2020-03-07,-7.0,-3.0,-26.0,-3.0,-2.0,1.0,4.4009181415472804,700.0
2020-03-08,-7.0,9.0,-11.0,1.0,0.0,1.0,5.638676368857452,719.9999999999999
2020-03-09,-9.0,1.0,-38.0,-6.0,0.0,0.0,8.664307591171207,799.9999999999998
2020-03-10,-1.0,11.0,15.0,-1.0,1.0,0.0,12.65263965694843,819.9999999999999
2020-03-11,-4.0,8.0,35.0,-1.0,1.0,-1.0,17.191086490419064,861.5384615384615
2020-03-12,-9.0,28.0,-24.0,-8.0,-1.0,1.0,22.829762859276517,773.684210526316
2020-03-13,-29.0,28.0,-20.0,-26.0,-16.0,8.0,31.76912783429443,862.5
2020-03-14,-61.0,-14.0,-25.0,-43.0,-28.0,13.0,41.396136268929105,840.625
2020-03-15,-88.0,-49.0,-79.0,-72.0,-51.0,18.0,50.74808731971708,800.0000000000002
2020-03-16,-80.0,-31.0,-82.0,-67.0,-43.0,21.0,59.54992360281164,587.3015873015875
2020-03-17,-81.0,-35.0,-76.0,-71.0,-52.0,25.0,65.87624343128586,420.65217391304355
2020-03-18,-81.0,-26.0,-76.0,-71.0,-54.0,25.0,72.61514933553012,322.40000000000003
2020-03-19,-94.0,-90.0,-88.0,-86.0,-89.0,39.0,76.60348140130735,235.5421686746988
2020-03-20,-85.0,-32.0,-82.0,-75.0,-72.0,35.0,81.55451431054804,156.70995670995674
2020-03-21,-92.0,-56.0,-90.0,-82.0,-64.0,26.0,80.45428477516121,94.35215946843851
2020-03-22,-94.0,-74.0,-94.0,-87.0,-67.0,23.0,80.17922739131451,57.994579945799444
2020-03-23,-83.0,-42.0,-85.0,-74.0,-57.0,26.0,83.06732992170492,39.49191685912241
2020-03-24,-85.0,-47.0,-80.0,-75.0,-60.0,28.0,81.00439954285463,22.96450939457202
2020-03-25,-86.0,-51.0,-81.0,-76.0,-61.0,29.0,79.76664131554445,9.84848484848484
2020-03-26,-86.0,-48.0,-83.0,-76.0,-61.0,29.0,78.25382570438757,2.154398563734272
2020-03-27,-86.0,-45.0,-82.0,-76.0,-61.0,32.0,73.16526410322354,-10.286677908937614
2020-03-28,-92.0,-58.0,-90.0,-82.0,-64.0,26.0,69.86457549706309,-13.162393162393137
2020-03-29,-94.0,-77.0,-93.0,-87.0,-63.0,23.0,67.11400165859602,-16.295025728988
2020-03-30,-89.0,-55.0,-89.0,-81.0,-74.0,32.0,58.58722275934817,-29.470198675496682
2020-03-31,-92.0,-52.0,-85.0,-80.0,-77.0,34.0,57.6245219158847,-28.86247877758914
2020-04-01,-92.0,-51.0,-84.0,-79.0,-76.0,35.0,55.97417761280447,-29.82758620689655
2020-04-02,-91.0,-48.0,-85.0,-79.0,-74.0,34.0,54.048775925877536,-30.931458699472746
2020-04-03,-88.0,-45.0,-86.0,-79.0,-73.0,36.0,51.848316855103896,-29.13533834586467
2020-04-04,-92.0,-58.0,-90.0,-82.0,-66.0,27.0,51.02314470356378,-26.968503937007892
2020-04-05,-94.0,-76.0,-93.0,-87.0,-69.0,24.0,47.72245609740332,-28.893442622950815
2020-04-06,-87.0,-47.0,-88.0,-78.0,-73.0,31.0,52.673489006644004,-10.093896713615047
