date,retail,grocery,parks,transit,workplaces,residential,ia7,growth_rate
2020-02-15,7.0,-5.0,34.0,45.0,4.0,-3.0,0.0,
2020-02-16,5.0,1.0,22.0,18.0,4.0,-3.0,0.0,
2020-02-17,0.0,1.0,13.0,16.0,5.0,-1.0,0.0,
2020-02-18,3.0,0.0,19.0,16.0,4.0,-2.0,0.0,
2020-02-19,2.0,-1.0,22.0,8.0,6.0,-2.0,0.0,
2020-02-20,4.0,-1.0,26.0,11.0,4.0,-2.0,0.0,
2020-02-21,5.0,-1.0,28.0,34.0,7.0,-3.0,0.0,
2020-02-22,12.0,1.0,52.0,49.0,10.0,-3.0,0.0,
2020-02-23,17.0,20.0,30.0,29.0,7.0,-4.0,0.0,
2020-02-24,6.0,6.0,31.0,28.0,3.0,-2.0,0.19073850132944736,
2020-02-25,6.0,7.0,30.0,17.0,3.0,-2.0,0.19073850132944736,
2020-02-26,4.0,4.0,29.0,15.0,2.0,-2.0,0.19073850132944736,
2020-02-27,21.0,25.0,46.0,34.0,-2.0,-6.0,0.19073850132944736,
2020-02-28,1.0,-47.0,96.0,22.0,-54.0,5.0,0.19073850132944736,
2020-02-29,7.0,18.0,35.0,31.0,-2.0,-1.0,0.19073850132944736,
2020-03-01,10.0,21.0,23.0,15.0,6.0,-5.0,0.19073850132944736,
2020-03-02,3.0,7.0,18.0,14.0,-15.0,0.0,0.19073850132944736,0.0
2020-03-03,1.0,5.0,18.0,14.0,3.0,-1.0,0.3814770026588947,100.0
2020-03-04,3.0,6.0,25.0,13.0,1.0,-1.0,0.3814770026588947,100.0
2020-03-05,3.0,4.0,20.0,10.0,4.0,-2.0,0.5722155039883421,200.0
2020-03-06,5.0,2.0,25.0,32.0,1.0,-1.0,0.9536925066472368,400.0
2020-03-07,8.0,1.0,32.0,44.0,8.0,-2.0,1.525908010635579,700.0
2020-03-08,14.0,14.0,28.0,22.0,9.0,-3.0,1.7166465119650263,800.0
2020-03-09,3.0,7.0,23.0,25.0,6.0,-2.0,1.9073850132944736,900.0
2020-03-10,5.0,13.0,33.0,19.0,5.0,-2.0,2.2888620159533684,500.0
2020-03-11,2.0,13.0,28.0,12.0,6.0,-2.0,4.005508527918394,949.9999999999998
2020-03-12,-3.0,19.0,19.0,8.0,2.0,-1.0,5.531416538553973,866.6666666666666
2020-03-13,-25.0,28.0,-2.0,-2.0,-1.0,1.0,7.820278554507342,719.9999999999999
2020-03-14,-61.0,-7.0,-36.0,-32.0,-17.0,10.0,9.34618656514292,512.5
2020-03-15,-86.0,-53.0,-64.0,-66.0,-36.0,14.0,11.062833077107946,544.4444444444443
2020-03-16,-76.0,-27.0,-46.0,-58.0,-44.0,16.0,14.305387599708553,650.0
2020-03-17,-81.0,-42.0,-53.0,-65.0,-52.0,19.0,15.831295610344132,591.6666666666667
2020-03-18,-81.0,-41.0,-49.0,-66.0,-52.0,19.0,18.31089612762695,357.1428571428573
2020-03-19,-82.0,-45.0,-50.0,-64.0,-55.0,20.0,19.836804138262526,258.62068965517244
2020-03-20,-86.0,-49.0,-60.0,-68.0,-55.0,25.0,22.125666154215896,182.92682926829272
