date,retail,grocery,parks,transit,workplaces,residential,ia7,growth_rate
2020-02-15,10.0,4.0,47.0,12.0,-2.0,-3.0,0.0,
2020-02-16,4.0,32.0,39.0,9.0,1.0,-5.0,0.0,
2020-02-17,0.0,4.0,7.0,-6.0,4.0,-1.0,0.0,
2020-02-18,1.0,1.0,16.0,1.0,5.0,-1.0,0.0,
2020-02-19,-2.0,3.0,20.0,-9.0,4.0,-1.0,0.0,
2020-02-20,4.0,3.0,22.0,4.0,3.0,-1.0,0.0,
2020-02-21,8.0,3.0,35.0,1.0,3.0,-2.0,0.0,
2020-02-22,19.0,12.0,71.0,21.0,5.0,-3.0,0.0,
2020-02-23,16.0,37.0,57.0,12.0,2.0,-3.0,0.0,
2020-02-24,14.0,11.0,48.0,4.0,4.0,-2.0,0.0,
2020-02-25,6.0,10.0,24.0,0.0,4.0,-1.0,0.0,
2020-02-26,-4.0,4.0,12.0,-9.0,4.0,0.0,0.4490607893590555,
2020-02-27,4.0,6.0,11.0,-3.0,4.0,0.0,0.4490607893590555,
2020-02-28,3.0,8.0,37.0,4.0,4.0,-2.0,0.4490607893590555,
2020-02-29,6.0,9.0,22.0,8.0,3.0,-2.0,0.898121578718111,
2020-03-01,1.0,27.0,20.0,23.0,4.0,-2.0,1.3471823680771666,
2020-03-02,-7.0,3.0,-9.0,-1.0,4.0,1.0,1.796243157436222,
2020-03-03,-10.0,3.0,-17.0,-14.0,3.0,1.0,2.2453039467952776,
2020-03-04,-6.0,8.0,12.0,-6.0,5.0,-1.0,1.796243157436222,300.0
2020-03-05,9.0,15.0,25.0,1.0,1.0,0.0,1.796243157436222,300.0
2020-03-06,-4.0,4.0,14.0,-7.0,-2.0,2.0,2.2453039467952776,400.0
2020-03-07,3.0,9.0,23.0,1.0,1.0,0.0,2.6943647361543333,200.00000000000006
2020-03-08,6.0,30.0,27.0,-1.0,5.0,-3.0,3.1434255255133885,133.33333333333331
2020-03-09,-6.0,5.0,2.0,-12.0,3.0,0.0,3.143425525513389,75.00000000000003
2020-03-10,-2.0,16.0,17.0,-5.0,3.0,-1.0,6.735911840385833,200.0
2020-03-11,-5.0,20.0,33.0,-12.0,3.0,-1.0,9.430276576540166,425.0000000000001
2020-03-12,-4.0,29.0,15.0,-4.0,1.0,0.0,13.02276289141261,625.0000000000001
2020-03-13,-32.0,33.0,-15.0,-24.0,-5.0,3.0,19.758674731798443,780.0000000000001
2020-03-14,-67.0,-11.0,-39.0,-49.0,-26.0,10.0,23.80022183602994,783.3333333333333
2020-03-15,-87.0,-54.0,-68.0,-74.0,-48.0,15.0,29.63801209769766,842.8571428571429
2020-03-16,-81.0,-31.0,-65.0,-72.0,-43.0,21.0,39.96641025295594,1171.428571428571
2020-03-17,-82.0,-39.0,-63.0,-74.0,-49.0,22.0,44.457018146546496,560.0
2020-03-18,-84.0,-40.0,-59.0,-78.0,-51.0,22.0,49.39668682949611,423.8095238095238
2020-03-19,-84.0,-44.0,-60.0,-79.0,-53.0,23.0,56.132598669881936,331.03448275862064
2020-03-20,-87.0,-47.0,-67.0,-81.0,-54.0,27.0,63.31757129962683,220.4545454545454
2020-03-21,-92.0,-58.0,-83.0,-86.0,-58.0,24.0,65.56287524642211,175.47169811320754
2020-03-22,-94.0,-78.0,-86.0,-90.0,-62.0,21.0,64.664753667704,118.18181818181822
2020-03-23,-84.0,-45.0,-66.0,-82.0,-55.0,23.0,68.25723998257644,70.7865168539326
2020-03-24,-84.0,-49.0,-67.0,-81.0,-57.0,24.0,74.99315182296228,68.6868686868687
2020-03-25,-86.0,-52.0,-68.0,-85.0,-58.0,25.0,74.99315182296228,51.818181818181806
2020-03-26,-86.0,-53.0,-67.0,-83.0,-59.0,25.0,78.13657734847565,39.19999999999999
2020-03-27,-88.0,-53.0,-70.0,-85.0,-58.0,29.0,74.99315182296226,18.43971631205672
2020-03-28,-93.0,-62.0,-83.0,-88.0,-60.0,24.0,79.48375971655283,21.232876712328764
2020-03-29,-94.0,-82.0,-85.0,-92.0,-60.0,21.0,91.60840102924732,41.66666666666663
2020-03-30,-89.0,-56.0,-70.0,-85.0,-64.0,26.0,82.17812445270718,20.39473684210529
2020-03-31,-93.0,-57.0,-76.0,-85.0,-67.0,28.0,74.54409103360321,-0.5988023952095967
2020-04-01,-93.0,-53.0,-74.0,-84.0,-66.0,28.0,74.99315182296226,-1.1102230246251565e-14
2020-04-02,-92.0,-52.0,-73.0,-84.0,-66.0,29.0,66.91005761449928,-14.367816091954
2020-04-03,-90.0,-52.0,-73.0,-87.0,-65.0,32.0,62.41944972090872,-16.76646706586824
2020-04-04,-93.0,-60.0,-85.0,-89.0,-60.0,24.0,57.4797810379591,-27.683615819209038
2020-04-05,-95.0,-82.0,-86.0,-91.0,-65.0,21.0,43.10983577846933,-52.941176470588225
2020-04-06,-87.0,-51.0,-69.0,-85.0,-64.0,26.0,46.70232209334177,-43.16939890710384
2020-04-07,-87.0,-41.0,-73.0,-83.0,-65.0,26.0,47.60044367205989,-36.14457831325299
2020-04-08,-86.0,-28.0,-66.0,-84.0,-64.0,25.0,44.00795735718744,-41.31736526946107
2020-04-09,-93.0,-80.0,-75.0,-89.0,-82.0,33.0,42.21171419975122,-36.91275167785235
2020-04-10,-96.0,-92.0,-81.0,-92.0,-85.0,40.0,40.415471042315,-35.251798561151084
2020-04-11,-93.0,-47.0,-83.0,-88.0,-61.0,24.0,37.27204551680161,-35.156249999999986
2020-04-12,-95.0,-77.0,-86.0,-92.0,-64.0,21.0,37.721106306160664,-12.5
2020-04-13,-87.0,-56.0,-67.0,-85.0,-66.0,27.0,32.781437623211055,-29.807692307692303
2020-04-14,-84.0,-45.0,-63.0,-81.0,-57.0,23.0,25.14740420410711,-47.16981132075472
2020-04-15,-85.0,-47.0,-63.0,-82.0,-57.0,24.0,22.453039467952777,-48.97959183673469
2020-04-16,-84.0,-48.0,-63.0,-82.0,-58.0,25.0,21.554917889234666,-48.93617021276596
2020-04-17,-87.0,-51.0,-66.0,-83.0,-58.0,28.0,19.758674731798443,-51.11111111111111
2020-04-18,-93.0,-56.0,-81.0,-86.0,-55.0,23.0,16.615249206285057,-55.42168674698795
2020-04-19,-95.0,-76.0,-86.0,-91.0,-62.0,21.0,13.471823680771667,-64.28571428571428
2020-04-20,-83.0,-52.0,-64.0,-81.0,-55.0,23.0,11.675580523335444,-64.3835616438356
2020-04-21,-84.0,-47.0,-67.0,-80.0,-56.0,25.0,14.819006048848832,-41.071428571428584
2020-04-22,-83.0,-36.0,-61.0,-78.0,-55.0,23.0,15.26806683820789,-31.999999999999996
2020-04-23,-92.0,-89.0,-72.0,-87.0,-80.0,32.0,13.022762891412611,-39.58333333333333
2020-04-24,-86.0,-39.0,-65.0,-81.0,-59.0,28.0,13.022762891412611,-34.09090909090908
2020-04-25,-92.0,-53.0,-81.0,-85.0,-54.0,22.0,13.022762891412611,-21.62162162162162
2020-04-26,-92.0,-65.0,-77.0,-85.0,-58.0,20.0,12.573702102053556,-6.666666666666665
2020-04-27,-81.0,-48.0,-59.0,-76.0,-53.0,23.0,12.1246413126945,3.8461538461538547
2020-04-28,-81.0,-40.0,-55.0,-73.0,-54.0,22.0,9.430276576540168,-36.363636363636346
2020-04-29,-81.0,-37.0,-51.0,-74.0,-54.0,22.0,9.430276576540166,-38.235294117647065
2020-04-30,-79.0,-28.0,-52.0,-72.0,-54.0,21.0,10.328398155258277,-20.6896551724138
2020-05-01,-93.0,-89.0,-69.0,-88.0,-82.0,37.0,8.981215787181112,-31.034482758620683
2020-05-02,-85.0,-33.0,-57.0,-66.0,-49.0,18.0,10.328398155258279,-20.68965517241379
2020-05-03,-84.0,-36.0,-50.0,-67.0,-48.0,15.0,11.22651973397639,-10.71428571428571
2020-05-04,-71.0,-30.0,-24.0,-62.0,-48.0,17.0,16.166188416925998,33.33333333333333
2020-05-05,-71.0,-28.0,-24.0,-62.0,-49.0,17.0,15.717127627566944,66.66666666666663
2020-05-06,-72.0,-27.0,-20.0,-61.0,-47.0,17.0,14.369945259489779,52.380952380952394
2020-05-07,-71.0,-30.0,-25.0,-59.0,-49.0,18.0,16.166188416926,56.52173913043479
2020-05-08,-76.0,-34.0,-31.0,-65.0,-48.0,21.0,16.615249206285057,84.99999999999999
2020-05-09,-83.0,-37.0,-57.0,-67.0,-42.0,17.0,15.717127627566946,52.17391304347825
2020-05-10,-91.0,-63.0,-81.0,-86.0,-54.0,19.0,16.615249206285057,48.0
2020-05-11,-57.0,-20.0,-16.0,-52.0,-42.0,14.0,10.777458944617333,-33.33333333333333
2020-05-12,-59.0,-21.0,-20.0,-53.0,-42.0,14.0,13.920884470130721,-11.428571428571422
2020-05-13,-60.0,-19.0,-17.0,-52.0,-41.0,15.0,16.615249206285053,15.624999999999979
2020-05-14,-66.0,-27.0,-45.0,-61.0,-44.0,18.0,16.615249206285053,2.777777777777768
2020-05-15,-66.0,-25.0,-36.0,-63.0,-44.0,20.0,19.758674731798443,18.918918918918905
2020-05-16,-74.0,-28.0,-56.0,-65.0,-37.0,15.0,20.656796310516555,31.428571428571406
2020-05-17,-69.0,-24.0,-31.0,-64.0,-33.0,8.0,19.758674731798447,18.918918918918926
2020-05-18,-52.0,-20.0,2.0,-51.0,-36.0,12.0,20.656796310516555,91.66666666666667
2020-05-19,-50.0,-16.0,0.0,-47.0,-37.0,11.0,19.30961394243939,38.70967741935487
2020-05-20,-51.0,-15.0,5.0,-50.0,-37.0,12.0,17.51337078500317,5.405405405405417
2020-05-21,-50.0,-16.0,-3.0,-49.0,-38.0,13.0,16.166188416926,-2.702702702702686
2020-05-22,-54.0,-20.0,-12.0,-57.0,-36.0,14.0,12.573702102053556,-36.36363636363637
2020-05-23,-63.0,-22.0,-30.0,-56.0,-24.0,8.0,12.1246413126945,-41.30434782608695
2020-05-24,-64.0,-19.0,-28.0,-60.0,-25.0,6.0,11.675580523335444,-40.90909090909092
2020-05-25,-41.0,-14.0,-3.0,-45.0,-34.0,11.0,11.675580523335444,-43.47826086956521
2020-05-26,-40.0,-13.0,3.0,-44.0,-32.0,10.0,9.879337365899223,-48.837209302325576
2020-05-27,-43.0,-12.0,4.0,-49.0,-32.0,11.0,11.226519733976389,-35.897435897435905
2020-05-28,-40.0,-12.0,6.0,-41.0,-32.0,11.0,10.328398155258277,-36.111111111111114
2020-05-29,-47.0,-16.0,-2.0,-50.0,-32.0,12.0,9.430276576540166,-25.00000000000001
2020-05-30,-54.0,-16.0,-15.0,-49.0,-15.0,5.0,8.532154997822056,-29.629629629629626
2020-05-31,-62.0,-23.0,-26.0,-61.0,-19.0,5.0,8.981215787181112,-23.076923076923073
2020-06-01,-35.0,-9.0,-2.0,-42.0,-29.0,10.0,8.981215787181112,-23.076923076923073
2020-06-02,-35.0,-8.0,3.0,-41.0,-28.0,8.0,12.573702102053556,27.27272727272727
2020-06-03,-46.0,-12.0,-23.0,-51.0,-30.0,12.0,9.879337365899222,-12.0
2020-06-04,-37.0,-6.0,-13.0,-45.0,-30.0,11.0,10.328398155258277,0.0
2020-06-05,-41.0,-14.0,-2.0,-48.0,-28.0,10.0,9.879337365899222,4.761904761904767
2020-06-06,-52.0,-17.0,-20.0,-50.0,-11.0,5.0,9.430276576540166,10.526315789473673
2020-06-07,-56.0,-19.0,-34.0,-62.0,-14.0,6.0,8.532154997822056,-5.000000000000004
2020-06-08,-30.0,-6.0,15.0,-33.0,-26.0,8.0,8.083094208463,-9.999999999999998
2020-06-09,-28.0,-6.0,15.0,-33.0,-26.0,7.0,5.837790261667722,-53.57142857142857
2020-06-10,-32.0,-6.0,22.0,-41.0,-26.0,7.0,5.837790261667722,-40.90909090909091
2020-06-11,-31.0,-7.0,-7.0,-41.0,-28.0,10.0,5.3887294723086665,-47.82608695652174
2020-06-12,-32.0,-6.0,16.0,-42.0,-26.0,9.0,5.837790261667722,-40.90909090909091
2020-06-13,-35.0,-6.0,34.0,-31.0,-5.0,2.0,6.735911840385834,-28.57142857142857
2020-06-14,-35.0,8.0,41.0,-39.0,-5.0,1.0,7.634033419103945,-10.526315789473683
2020-06-15,-25.0,-5.0,38.0,-33.0,-24.0,6.0,8.98121578718111,11.111111111111093
2020-06-16,-28.0,-6.0,-7.0,-40.0,-26.0,10.0,9.879337365899222,69.23076923076923
2020-06-17,-26.0,-3.0,38.0,-36.0,-24.0,7.0,11.226519733976389,92.3076923076923
2020-06-18,-23.0,-5.0,16.0,-34.0,-25.0,8.0,13.920884470130721,158.33333333333331
2020-06-19,-27.0,-5.0,36.0,-39.0,-23.0,7.0,20.656796310516555,253.84615384615384
2020-06-20,-30.0,-2.0,69.0,-28.0,-3.0,1.0,30.985194465774832,359.99999999999994
2020-06-21,-28.0,17.0,72.0,-34.0,-1.0,-1.0,41.31359262103311,441.17647058823525
2020-06-22,-18.0,1.0,71.0,-26.0,-25.0,4.0,56.13259866988194,525.0000000000001
2020-06-23,-17.0,2.0,75.0,-26.0,-25.0,4.0,59.72508498475438,504.5454545454545
2020-06-24,-26.0,1.0,65.0,-31.0,-27.0,5.0,79.03469892719377,604.0
2020-06-25,-19.0,-2.0,68.0,-27.0,-28.0,5.0,84.8724891888615,509.6774193548386
2020-06-26,-24.0,2.0,80.0,-33.0,-26.0,6.0,83.97436761014339,306.52173913043475
2020-06-27,-23.0,5.0,111.0,-15.0,-6.0,0.0,82.17812445270717,165.21739130434784
2020-06-28,-22.0,30.0,89.0,-23.0,1.0,-2.0,74.54409103360321,80.43478260869561
2020-06-29,-14.0,1.0,95.0,-23.0,-24.0,3.0,63.31757129962683,12.79999999999999
2020-06-30,-12.0,7.0,76.0,-25.0,-22.0,3.0,66.91005761449927,12.030075187969903
2020-07-01,-16.0,7.0,85.0,-25.0,-22.0,3.0,55.68353788052288,-29.545454545454565
2020-07-02,-11.0,9.0,83.0,-19.0,-23.0,3.0,51.19292998693232,-39.6825396825397
2020-07-03,-14.0,8.0,117.0,-25.0,-23.0,3.0,51.19292998693233,-39.037433155080215
2020-07-04,-16.0,8.0,139.0,-1.0,-2.0,-1.0,49.396686829496105,-39.89071038251366
2020-07-05,-15.0,36.0,121.0,-17.0,1.0,-4.0,51.19292998693233,-31.32530120481927
2020-07-06,-4.0,16.0,145.0,-15.0,-23.0,2.0,56.13259866988194,-11.347517730496437
2020-07-07,-5.0,14.0,146.0,-11.0,-23.0,2.0,59.72508498475438,-10.738255033557031
2020-07-08,-10.0,10.0,151.0,-12.0,-23.0,2.0,57.928841827318166,4.03225806451617
2020-07-09,-7.0,11.0,127.0,-14.0,-24.0,3.0,62.419449720908716,21.92982456140353
2020-07-10,-14.0,9.0,138.0,-20.0,-23.0,3.0,68.25723998257645,33.33333333333335
2020-07-11,-17.0,8.0,150.0,-3.0,-2.0,-1.0,82.17812445270718,66.3636363636364
