date,retail,grocery,parks,transit,workplaces,residential,ia7,growth_rate
2020-02-15,2.0,-3.0,21.0,10.0,-1.0,-2.0,0.0,
2020-02-16,18.0,14.0,60.0,23.0,1.0,-3.0,0.0,
2020-02-17,2.0,3.0,18.0,10.0,5.0,-1.0,0.0,
2020-02-18,1.0,0.0,18.0,3.0,6.0,-1.0,0.21908732601727723,
2020-02-19,-1.0,-2.0,23.0,2.0,5.0,-2.0,0.21908732601727723,
2020-02-20,2.0,0.0,41.0,8.0,4.0,-2.0,0.21908732601727723,
2020-02-21,2.0,0.0,43.0,13.0,4.0,-3.0,0.6572619780518317,
2020-02-22,9.0,1.0,72.0,32.0,3.0,-4.0,0.6572619780518317,
2020-02-23,27.0,34.0,81.0,28.0,5.0,-5.0,0.6572619780518317,
2020-02-24,16.0,7.0,78.0,23.0,-11.0,-2.0,0.8763493040691089,
2020-02-25,11.0,3.0,38.0,13.0,-12.0,-1.0,0.6572619780518317,200.0
2020-02-26,-1.0,-2.0,16.0,2.0,-11.0,0.0,0.8763493040691089,300.0
2020-02-27,-1.0,2.0,25.0,6.0,4.0,-1.0,1.3145239561036635,500.0
2020-02-28,3.0,1.0,66.0,14.0,3.0,-2.0,1.0954366300863863,66.66666666666667
2020-02-29,6.0,4.0,17.0,1.0,1.0,-1.0,1.5336112821209407,133.33333333333331
2020-03-01,6.0,-2.0,18.0,8.0,4.0,-1.0,2.1908732601727725,233.33333333333334
2020-03-02,-1.0,4.0,11.0,6.0,4.0,-1.0,3.7244845422937134,325.0000000000001
2020-03-03,-2.0,1.0,14.0,-1.0,5.0,0.0,4.600833846362822,600.0
2020-03-04,-2.0,0.0,25.0,-1.0,4.0,-1.0,4.381746520345545,400.0000000000001
2020-03-05,-2.0,0.0,12.0,-3.0,4.0,-1.0,5.258095824414654,300.0
2020-03-06,-3.0,-1.0,16.0,-2.0,2.0,0.0,5.9153578024664855,439.99999999999994
2020-03-07,1.0,-1.0,39.0,1.0,1.0,-2.0,6.791707106535594,342.8571428571429
2020-03-08,10.0,-2.0,43.0,9.0,3.0,-1.0,7.668056410604703,250.0
2020-03-09,1.0,4.0,46.0,8.0,5.0,-2.0,11.17345362688114,199.99999999999994
2020-03-10,0.0,12.0,47.0,3.0,5.0,-2.0,12.70706490900208,176.19047619047618
2020-03-11,-3.0,12.0,51.0,1.0,4.0,-2.0,17.965160733416734,309.99999999999994
2020-03-12,-11.0,25.0,32.0,-4.0,2.0,0.0,24.756867839952328,370.8333333333333
2020-03-13,-30.0,34.0,5.0,-19.0,-5.0,3.0,36.5875834448853,518.5185185185185
2020-03-14,-64.0,-12.0,-35.0,-41.0,-25.0,10.0,47.1037750937146,593.5483870967741
2020-03-15,-87.0,-54.0,-64.0,-69.0,-43.0,16.0,57.40087941652663,648.5714285714283
2020-03-16,-82.0,-33.0,-57.0,-67.0,-46.0,19.0,66.383459783235,494.11764705882354
2020-03-17,-84.0,-42.0,-58.0,-70.0,-54.0,21.0,76.8996514320643,505.1724137931034
