date,retail,grocery,parks,transit,workplaces,residential,ia7,growth_rate
2020-02-15,3.0,1.0,31.0,12.0,0.0,-2.0,0.2280413302106874,
2020-02-16,5.0,7.0,27.0,14.0,-2.0,-2.0,0.2280413302106874,
2020-02-17,2.0,3.0,19.0,9.0,4.0,-1.0,0.2280413302106874,
2020-02-18,0.0,2.0,15.0,-1.0,4.0,-1.0,0.2280413302106874,
2020-02-19,0.0,0.0,13.0,0.0,3.0,-1.0,0.2280413302106874,
2020-02-20,2.0,3.0,17.0,4.0,4.0,-1.0,0.0,-100.0
2020-02-21,4.0,4.0,26.0,11.0,1.0,-1.0,0.0,-100.0
2020-02-22,10.0,6.0,96.0,45.0,3.0,-2.0,0.2280413302106874,0.0
2020-02-23,15.0,14.0,58.0,25.0,1.0,-3.0,0.2280413302106874,0.0
2020-02-24,9.0,5.0,65.0,11.0,-12.0,1.0,0.2280413302106874,0.0
2020-02-25,1.0,6.0,19.0,5.0,3.0,-1.0,0.2280413302106874,0.0
2020-02-26,-2.0,3.0,2.0,-1.0,2.0,0.0,0.2280413302106874,0.0
2020-02-27,1.0,5.0,11.0,0.0,3.0,0.0,0.2280413302106874,
2020-02-28,4.0,6.0,17.0,11.0,3.0,-1.0,0.2280413302106874,
2020-02-29,2.0,5.0,27.0,21.0,2.0,-2.0,0.0,-100.0
2020-03-01,8.0,17.0,22.0,17.0,3.0,-3.0,0.6841239906320622,200.0
2020-03-02,-3.0,-1.0,-1.0,3.0,3.0,1.0,1.3682479812641244,500.0
2020-03-03,-4.0,2.0,2.0,-3.0,4.0,0.0,2.0523719718961866,799.9999999999998
2020-03-04,0.0,4.0,9.0,0.0,4.0,-1.0,3.1925786229496236,1300.0
2020-03-05,1.0,5.0,4.0,-1.0,3.0,-1.0,4.332785274003061,1799.9999999999995
2020-03-06,-2.0,1.0,0.0,2.0,1.0,0.0,6.15711591568856,2599.9999999999995
2020-03-07,1.0,4.0,25.0,8.0,0.0,0.0,8.437529217795433,
2020-03-08,11.0,17.0,63.0,18.0,2.0,-3.0,10.261859859480932,1399.9999999999998
2020-03-09,-1.0,1.0,17.0,5.0,4.0,0.0,13.454438482430556,883.3333333333333
2020-03-10,-1.0,13.0,22.0,0.0,5.0,-1.0,17.55918242622293,755.5555555555557
2020-03-11,0.0,16.0,24.0,-1.0,3.0,-1.0,18.927430407487055,492.8571428571429
2020-03-12,-4.0,34.0,16.0,-4.0,2.0,-1.0,23.03217435127943,431.57894736842115
2020-03-13,-28.0,27.0,-11.0,-21.0,-19.0,8.0,29.189290266967987,374.07407407407413
2020-03-14,-69.0,-12.0,-35.0,-42.0,-30.0,13.0,34.662282192024485,310.8108108108109
