date,retail,grocery,parks,transit,workplaces,residential,ia7,growth_rate
2020-02-15,2.0,1.0,3.0,-2.0,-1.0,-1.0,0.0,
2020-02-16,-6.0,-11.0,-11.0,-1.0,-3.0,0.0,0.30492825038268495,
2020-02-17,3.0,3.0,9.0,3.0,5.0,-1.0,0.30492825038268495,
2020-02-18,1.0,0.0,10.0,9.0,4.0,-1.0,0.30492825038268495,
2020-02-19,1.0,-2.0,9.0,1.0,4.0,-1.0,0.30492825038268495,
2020-02-20,3.0,2.0,15.0,6.0,4.0,-1.0,0.30492825038268495,
2020-02-21,3.0,2.0,17.0,14.0,3.0,-2.0,0.30492825038268495,
2020-02-22,8.0,4.0,29.0,29.0,3.0,-3.0,0.30492825038268495,
2020-02-23,16.0,16.0,44.0,43.0,2.0,-4.0,0.0,-100.0
2020-02-24,19.0,15.0,53.0,11.0,-18.0,-1.0,0.0,-100.0
2020-02-25,-18.0,-52.0,17.0,20.0,-53.0,8.0,0.0,-100.0
2020-02-26,-3.0,7.0,-2.0,4.0,-11.0,1.0,0.0,-100.0
2020-02-27,-1.0,6.0,13.0,5.0,3.0,0.0,0.6098565007653699,100.0
2020-02-28,0.0,4.0,8.0,8.0,3.0,-1.0,0.9147847511480549,200.0
2020-02-29,-5.0,3.0,-21.0,8.0,0.0,1.0,0.9147847511480549,200.0
2020-03-01,-7.0,1.0,-22.0,3.0,1.0,1.0,1.5246412519134247,
2020-03-02,0.0,3.0,-9.0,10.0,5.0,0.0,1.8295695022961096,
2020-03-03,0.0,0.0,1.0,9.0,5.0,0.0,2.1344977526787945,
2020-03-04,-2.0,1.0,-8.0,1.0,4.0,0.0,2.4394260030614796,
2020-03-05,0.0,4.0,-7.0,0.0,4.0,0.0,1.8295695022961096,199.99999999999994
2020-03-06,1.0,2.0,-6.0,7.0,0.0,0.0,2.1344977526787945,133.33333333333331
2020-03-07,5.0,5.0,7.0,8.0,3.0,-1.0,3.0492825038268494,233.33333333333326
2020-03-08,2.0,17.0,7.0,8.0,2.0,0.0,4.268995505357589,180.00000000000003
2020-03-09,3.0,3.0,17.0,15.0,4.0,-1.0,6.403493258036384,250.00000000000006
2020-03-10,0.0,8.0,20.0,8.0,4.0,-2.0,10.977417013776659,414.28571428571433
2020-03-11,-3.0,10.0,13.0,0.0,3.0,-1.0,14.636556018368879,500.0
2020-03-12,-10.0,33.0,-5.0,-8.0,1.0,0.0,21.040049276405263,1050.0000000000002
2020-03-13,-30.0,34.0,-22.0,-19.0,-9.0,6.0,28.663255535972386,1242.8571428571431
2020-03-14,-76.0,-3.0,-33.0,-47.0,-28.0,13.0,35.066748794008774,1050.0000000000002
2020-03-15,-87.0,-50.0,-65.0,-70.0,-41.0,18.0,41.47024205204516,871.4285714285716
2020-03-16,-80.0,-26.0,-55.0,-63.0,-43.0,21.0,50.6180895635257,690.4761904761904
2020-03-17,-82.0,-36.0,-53.0,-64.0,-48.0,22.0,53.97230031773523,391.66666666666663
2020-03-18,-82.0,-24.0,-53.0,-68.0,-49.0,21.0,55.80186982003135,281.24999999999994
2020-03-19,-91.0,-90.0,-64.0,-85.0,-80.0,34.0,57.32651107194477,172.46376811594203
2020-03-20,-86.0,-28.0,-66.0,-75.0,-59.0,32.0,61.59550657730236,114.89361702127655
2020-03-21,-91.0,-50.0,-72.0,-81.0,-51.0,27.0,64.03493258036384,82.6086956521739
2020-03-22,-92.0,-71.0,-73.0,-83.0,-54.0,24.0,60.985650076536984,47.05882352941173
2020-03-23,-83.0,-39.0,-55.0,-74.0,-51.0,24.0,64.33986083074652,27.10843373493974
2020-03-24,-84.0,-46.0,-56.0,-71.0,-53.0,24.0,65.86450208265995,22.033898305084755
2020-03-25,-85.0,-47.0,-58.0,-72.0,-54.0,25.0,71.96306709031364,28.961748633879747
2020-03-26,-85.0,-48.0,-56.0,-74.0,-54.0,26.0,75.0123495941405,30.85106382978724
2020-03-27,-86.0,-45.0,-63.0,-77.0,-55.0,31.0,71.96306709031364,16.8316831683168
2020-03-28,-91.0,-53.0,-71.0,-81.0,-50.0,26.0,68.9137845864868,7.619047619047614
2020-03-29,-92.0,-72.0,-72.0,-85.0,-52.0,24.0,73.48770834222708,20.50000000000003
2020-03-30,-87.0,-50.0,-59.0,-75.0,-59.0,27.0,64.33986083074653,2.220446049250313e-14
2020-03-31,-92.0,-49.0,-61.0,-75.0,-62.0,28.0,60.07086532538894,-8.79629629629629
2020-04-01,-93.0,-50.0,-60.0,-76.0,-62.0,28.0,54.58215681850061,-24.152542372881346
2020-04-02,-92.0,-50.0,-58.0,-75.0,-62.0,29.0,47.87373531008153,-36.1788617886179
2020-04-03,-88.0,-46.0,-65.0,-79.0,-61.0,33.0,44.214596305489316,-38.559322033898304
2020-04-04,-91.0,-53.0,-72.0,-82.0,-51.0,27.0,38.72588779860099,-43.805309734513266
2020-04-05,-93.0,-73.0,-77.0,-86.0,-57.0,25.0,31.40760978941655,-57.26141078838175
2020-04-06,-85.0,-46.0,-58.0,-76.0,-60.0,27.0,27.443542534441644,-57.345971563981045
2020-04-07,-87.0,-38.0,-59.0,-74.0,-61.0,26.0,23.174547029084057,-61.42131979695431
2020-04-08,-86.0,-23.0,-58.0,-73.0,-61.0,25.0,19.515408024491837,-64.24581005586592
2020-04-09,-94.0,-84.0,-67.0,-86.0,-82.0,36.0,22.564690528318685,-52.86624203821655
2020-04-10,-95.0,-93.0,-76.0,-90.0,-84.0,44.0,17.075982021430356,-61.37931034482757
2020-04-11,-91.0,-40.0,-72.0,-80.0,-51.0,27.0,16.161197270282305,-58.26771653543308
2020-04-12,-93.0,-70.0,-74.0,-84.0,-52.0,24.0,14.331627767986193,-54.36893203883495
2020-04-13,-83.0,-39.0,-55.0,-72.0,-55.0,24.0,13.721771267220824,-49.999999999999986
2020-04-14,-85.0,-46.0,-55.0,-72.0,-56.0,25.0,13.721771267220825,-40.78947368421052
2020-04-15,-85.0,-43.0,-58.0,-72.0,-56.0,25.0,11.587273514542028,-40.625
2020-04-16,-85.0,-45.0,-54.0,-72.0,-56.0,26.0,4.26899550535759,-81.08108108108108
2020-04-17,-86.0,-42.0,-63.0,-75.0,-55.0,31.0,3.964067254974904,-76.78571428571429
2020-04-18,-90.0,-49.0,-71.0,-80.0,-48.0,26.0,7.318278009184439,-54.71698113207548
2020-04-19,-92.0,-70.0,-72.0,-85.0,-51.0,24.0,7.318278009184439,-48.93617021276596
2020-04-20,-83.0,-46.0,-53.0,-72.0,-52.0,24.0,7.013349758801755,-48.88888888888889
2020-04-21,-84.0,-43.0,-53.0,-69.0,-53.0,24.0,6.403493258036385,-53.333333333333336
2020-04-22,-84.0,-45.0,-57.0,-74.0,-54.0,24.0,5.793636757271015,-49.999999999999986
2020-04-23,-84.0,-44.0,-52.0,-71.0,-53.0,25.0,6.0985650076537,42.85714285714286
2020-04-24,-85.0,-40.0,-60.0,-73.0,-53.0,29.0,6.403493258036384,61.53846153846156
2020-04-25,-90.0,-46.0,-69.0,-78.0,-47.0,25.0,2.7443542534441647,-62.5
2020-04-26,-90.0,-60.0,-66.0,-80.0,-50.0,23.0,2.1344977526787945,-70.83333333333334
2020-04-27,-81.0,-42.0,-49.0,-69.0,-51.0,23.0,1.2197130015307398,-82.6086956521739
2020-04-28,-82.0,-39.0,-47.0,-64.0,-52.0,23.0,1.5246412519134247,-76.1904761904762
2020-04-29,-83.0,-38.0,-55.0,-71.0,-52.0,24.0,1.5246412519134247,-73.6842105263158
2020-04-30,-80.0,-20.0,-47.0,-67.0,-51.0,23.0,1.8295695022961098,-70.0
2020-05-01,-93.0,-91.0,-68.0,-85.0,-80.0,41.0,1.8295695022961096,-71.42857142857143
2020-05-02,-83.0,-23.0,-37.0,-60.0,-41.0,22.0,2.4394260030614796,-11.111111111111116
2020-05-03,-81.0,-31.0,-26.0,-63.0,-39.0,18.0,2.4394260030614796,14.285714285714302
2020-05-04,-75.0,-29.0,-19.0,-56.0,-47.0,19.0,2.7443542534441647,125.0
2020-05-05,-73.0,-27.0,-18.0,-49.0,-46.0,18.0,1.8295695022961096,19.999999999999996
2020-05-06,-74.0,-26.0,-10.0,-51.0,-46.0,18.0,1.8295695022961096,19.999999999999996
2020-05-07,-74.0,-26.0,-3.0,-53.0,-46.0,19.0,1.2197130015307398,-33.333333333333336
2020-05-08,-78.0,-30.0,-38.0,-64.0,-46.0,25.0,1.2197130015307398,-33.33333333333333
2020-05-09,-83.0,-30.0,-43.0,-64.0,-35.0,21.0,0.6098565007653699,-75.0
2020-05-10,-82.0,-39.0,-34.0,-65.0,-36.0,18.0,0.6098565007653699,-75.0
2020-05-11,-59.0,-14.0,9.0,-43.0,-38.0,12.0,0.6098565007653699,-77.77777777777779
2020-05-12,-66.0,-18.0,-20.0,-46.0,-40.0,16.0,0.6098565007653699,-66.66666666666666
2020-05-13,-64.0,-17.0,-8.0,-46.0,-39.0,15.0,0.6098565007653699,-66.66666666666666
2020-05-14,-66.0,-18.0,-18.0,-52.0,-40.0,17.0,0.9147847511480549,-25.0
2020-05-15,-66.0,-16.0,-21.0,-53.0,-40.0,19.0,0.6098565007653699,-50.0
2020-05-16,-69.0,-20.0,-12.0,-50.0,-28.0,11.0,0.6098565007653699,0.0
2020-05-17,-67.0,-25.0,-3.0,-55.0,-25.0,7.0,0.6098565007653699,0.0
2020-05-18,-54.0,-15.0,21.0,-39.0,-35.0,12.0,0.30492825038268495,-50.0
2020-05-19,-54.0,-14.0,25.0,-38.0,-35.0,11.0,0.30492825038268495,-50.0
2020-05-20,-53.0,-13.0,10.0,-40.0,-35.0,12.0,0.6098565007653699,0.0
2020-05-21,-52.0,-11.0,20.0,-42.0,-35.0,12.0,0.30492825038268495,-66.66666666666667
2020-05-22,-57.0,-11.0,-7.0,-44.0,-35.0,16.0,0.6098565007653699,0.0
2020-05-23,-61.0,-15.0,-5.0,-47.0,-20.0,9.0,0.6098565007653699,0.0
2020-05-24,-61.0,-18.0,-7.0,-56.0,-20.0,6.0,0.6098565007653699,0.0
2020-05-25,-37.0,-10.0,20.0,-30.0,-31.0,10.0,1.2197130015307398,300.0
2020-05-26,-38.0,-10.0,21.0,-29.0,-29.0,9.0,1.2197130015307398,300.0
2020-05-27,-39.0,-9.0,22.0,-29.0,-29.0,9.0,0.9147847511480549,50.0
2020-05-28,-37.0,-7.0,35.0,-31.0,-30.0,9.0,1.2197130015307398,300.0
2020-05-29,-41.0,-6.0,15.0,-33.0,-29.0,11.0,0.9147847511480549,50.0
2020-05-30,-46.0,-9.0,11.0,-31.0,-10.0,4.0,0.9147847511480549,50.0
2020-05-31,-54.0,-15.0,-8.0,-22.0,-9.0,5.0,0.9147847511480549,50.0
2020-06-01,-32.0,-6.0,17.0,-26.0,-25.0,8.0,0.30492825038268495,-75.0
2020-06-02,-33.0,-7.0,15.0,-18.0,-26.0,8.0,0.30492825038268495,-75.0
2020-06-03,-33.0,-5.0,12.0,-27.0,-26.0,8.0,0.30492825038268495,-66.66666666666667
2020-06-04,-33.0,-3.0,7.0,-28.0,-26.0,9.0,0.30492825038268495,-75.0
2020-06-05,-34.0,-7.0,11.0,-35.0,-25.0,10.0,0.30492825038268495,-66.66666666666667
2020-06-06,-43.0,-9.0,-18.0,-41.0,-9.0,7.0,0.30492825038268495,-66.66666666666667
2020-06-07,-47.0,-4.0,6.0,-8.0,-6.0,4.0,0.30492825038268495,-66.66666666666667
2020-06-08,-25.0,-10.0,12.0,-31.0,-26.0,8.0,0.6098565007653699,100.0
2020-06-09,-26.0,-8.0,19.0,-22.0,-25.0,7.0,0.6098565007653699,100.0
2020-06-10,-27.0,-6.0,16.0,-27.0,-24.0,7.0,0.6098565007653699,100.0
2020-06-11,-30.0,-5.0,-10.0,-35.0,-27.0,10.0,0.6098565007653699,100.0
2020-06-12,-33.0,-6.0,-23.0,-38.0,-26.0,12.0,0.9147847511480549,200.0
2020-06-13,-36.0,-15.0,-8.0,-32.0,-7.0,6.0,0.9147847511480549,200.0
2020-06-14,-40.0,-17.0,2.0,-36.0,-2.0,3.0,0.9147847511480549,200.0
2020-06-15,-23.0,-5.0,14.0,-25.0,-23.0,7.0,1.2197130015307398,100.0
2020-06-16,-24.0,-8.0,10.0,-26.0,-23.0,8.0,1.2197130015307398,100.0
2020-06-17,-25.0,-7.0,3.0,-28.0,-24.0,7.0,1.5246412519134247,149.99999999999994
2020-06-18,-21.0,-7.0,30.0,-24.0,-23.0,6.0,1.2197130015307398,100.0
2020-06-19,-24.0,-7.0,24.0,-27.0,-22.0,6.0,1.5246412519134247,66.66666666666663
2020-06-20,-30.0,-10.0,34.0,-21.0,-2.0,0.0,1.5246412519134247,66.66666666666663
2020-06-21,-30.0,2.0,28.0,-24.0,2.0,-1.0,2.4394260030614796,166.66666666666666
2020-06-22,-13.0,3.0,44.0,3.0,-23.0,3.0,1.8295695022961098,50.0
2020-06-23,-11.0,18.0,55.0,-1.0,-21.0,-3.0,3.0492825038268494,149.99999999999994
2020-06-24,-44.0,-74.0,59.0,-39.0,-62.0,8.0,3.9640672549749043,160.0
2020-06-25,-14.0,13.0,39.0,-13.0,-24.0,4.0,7.013349758801754,474.9999999999999
2020-06-26,-18.0,6.0,22.0,-17.0,-23.0,6.0,7.318278009184438,380.0
2020-06-27,-22.0,3.0,27.0,-9.0,-3.0,2.0,8.537991010715178,460.00000000000006
2020-06-28,-29.0,0.0,21.0,-15.0,1.0,1.0,9.757704012245918,300.0
2020-06-29,-7.0,6.0,52.0,-7.0,-21.0,3.0,12.502058265690083,583.3333333333333
2020-06-30,-11.0,4.0,48.0,-3.0,-20.0,2.0,16.771053771047672,450.0000000000001
2020-07-01,-16.0,6.0,26.0,-16.0,-25.0,4.0,21.64990577717063,446.1538461538462
2020-07-02,-11.0,11.0,39.0,1.0,-23.0,4.0,22.564690528318685,221.73913043478265
2020-07-03,-16.0,5.0,39.0,-12.0,-23.0,4.0,28.053399035207015,283.3333333333333
2020-07-04,-24.0,2.0,50.0,-8.0,-4.0,-1.0,31.712538039799234,271.4285714285714
2020-07-05,-23.0,31.0,36.0,-10.0,2.0,-3.0,35.67660529477414,265.625
2020-07-06,-14.0,6.0,24.0,-15.0,-25.0,5.0,37.81110304745294,202.4390243902439
2020-07-07,-14.0,1.0,42.0,-3.0,-25.0,3.0,38.420959548218306,129.0909090909091
2020-07-08,-19.0,-1.0,23.0,-12.0,-24.0,4.0,39.94560080013173,84.50704225352112
2020-07-09,-16.0,0.0,51.0,-10.0,-24.0,3.0,40.86038555127979,81.08108108108112
2020-07-10,-23.0,1.0,13.0,-18.0,-23.0,6.0,35.98153354515682,28.260869565217384
2020-07-11,-30.0,-5.0,12.0,-16.0,-4.0,2.0,33.23717929171266,4.807692307692291
2020-07-12,-20.0,23.0,30.0,-5.0,5.0,-3.0,28.3583272855897,-20.512820512820518
2020-07-13,-12.0,1.0,51.0,-9.0,-24.0,3.0,24.69918828099748,-34.677419354838726
2020-07-14,-13.0,2.0,46.0,-4.0,-24.0,3.0,18.905551523726462,-50.79365079365081
2020-07-15,-14.0,5.0,28.0,-10.0,-23.0,3.0,12.1971300153074,-69.46564885496183
2020-07-16,-11.0,5.0,53.0,-7.0,-24.0,3.0,7.623206259567123,-81.34328358208955
2020-07-17,-19.0,5.0,40.0,-13.0,-24.0,4.0,7.3182780091844375,-79.66101694915254
2020-07-18,-24.0,1.0,45.0,-4.0,-3.0,-2.0,6.0985650076537,-81.65137614678899
2020-07-19,-23.0,14.0,35.0,-4.0,1.0,-3.0,5.4887085068883295,-80.64516129032258
2020-07-20,-6.0,15.0,60.0,0.0,-22.0,3.0,6.0985650076537,-75.30864197530863
2020-07-21,-8.0,10.0,63.0,3.0,-22.0,3.0,8.537991010715178,-54.83870967741935
2020-07-22,-10.0,8.0,74.0,3.0,-23.0,2.0,9.147847511480549,-25.00000000000001
