date,retail,grocery,parks,transit,workplaces,residential,ia7,growth_rate
2020-02-15,5.0,0.0,29.0,15.0,0.0,-2.0,0.17794438644775554,0.0
2020-02-16,2.0,4.0,16.0,8.0,-1.0,-2.0,0.17794438644775554,0.0
2020-02-17,2.0,1.0,14.0,9.0,2.0,-1.0,0.11862959096517035,-33.333333333333336
2020-02-18,-2.0,0.0,-1.0,8.0,2.0,0.0,0.11862959096517035,-33.333333333333336
2020-02-19,0.0,0.0,-1.0,7.0,1.0,0.0,0.11862959096517035,-33.333333333333336
2020-02-20,2.0,1.0,13.0,9.0,2.0,-1.0,0.17794438644775554,50.00000000000002
2020-02-21,-1.0,-1.0,3.0,8.0,2.0,0.0,0.2965739774129259,150.0
2020-02-22,0.0,-1.0,25.0,15.0,2.0,-1.0,0.3558887728955111,100.0
2020-02-23,6.0,10.0,15.0,13.0,2.0,-3.0,0.4745183638606814,166.66666666666666
2020-02-24,5.0,0.0,22.0,10.0,-13.0,0.0,0.5931479548258518,400.0
2020-02-25,4.0,0.0,24.0,10.0,-13.0,0.0,1.0676663186865332,800.0
2020-02-26,7.0,1.0,25.0,11.0,-13.0,0.0,1.2456107051342886,950.0
2020-02-27,15.0,18.0,34.0,17.0,-16.0,-3.0,1.423555091582044,699.9999999999999
2020-02-28,-11.0,-60.0,82.0,-6.0,-61.0,9.0,1.4828698870646293,400.0
2020-02-29,5.0,14.0,34.0,19.0,-4.0,-1.0,1.6014994780297998,350.0
2020-03-01,0.0,7.0,13.0,16.0,1.0,-4.0,2.3725918193034072,400.0
2020-03-02,1.0,7.0,-3.0,11.0,1.0,0.0,3.1436841605770143,430.0
2020-03-03,2.0,5.0,7.0,9.0,3.0,-1.0,3.6182025244376956,238.88888888888883
2020-03-04,4.0,3.0,14.0,9.0,-1.0,0.0,4.211350479263547,238.09523809523813
2020-03-05,2.0,4.0,7.0,8.0,2.0,-1.0,5.456961184397835,283.33333333333326
2020-03-06,2.0,2.0,10.0,6.0,-1.0,0.0,7.592293821770902,412.0
2020-03-07,0.0,2.0,19.0,11.0,2.0,-1.0,9.253108095283288,477.7777777777778
2020-03-08,7.0,9.0,19.0,13.0,3.0,-3.0,10.617348391382746,347.49999999999994
2020-03-09,-1.0,2.0,8.0,6.0,3.0,0.0,12.278162664895133,290.56603773584914
2020-03-10,-1.0,11.0,11.0,6.0,2.0,-1.0,15.303217234506976,322.9508196721311
2020-03-11,-2.0,13.0,13.0,1.0,1.0,0.0,19.39593812280535,360.5633802816901
2020-03-12,-9.0,21.0,4.0,-7.0,-2.0,1.0,23.429344215621146,329.3478260869566
2020-03-13,-30.0,29.0,-21.0,-24.0,-8.0,5.0,29.420138559362247,287.50000000000006
2020-03-14,-61.0,-9.0,-47.0,-42.0,-23.0,13.0,33.750118629590965,264.74358974358967
2020-03-15,-88.0,-55.0,-81.0,-63.0,-48.0,16.0,38.19872829078485,259.7765363128491
2020-03-16,-81.0,-36.0,-73.0,-66.0,-54.0,22.0,44.604726202904054,263.28502415458934
2020-03-17,-85.0,-48.0,-78.0,-72.0,-62.0,25.0,49.52785422795862,223.64341085271323
2020-03-18,-86.0,-47.0,-78.0,-74.0,-63.0,26.0,52.55290879757047,170.94801223241595
2020-03-19,-86.0,-49.0,-78.0,-76.0,-66.0,27.0,55.6372781626649,137.46835443037972
2020-03-20,-88.0,-49.0,-82.0,-80.0,-67.0,31.0,58.95890670968967,100.40322580645164
2020-03-21,-92.0,-59.0,-89.0,-84.0,-66.0,26.0,59.077536300654835,75.04393673110718
2020-03-22,-95.0,-80.0,-92.0,-88.0,-70.0,22.0,57.65398120907279,50.93167701863357
2020-03-23,-87.0,-54.0,-83.0,-84.0,-68.0,28.0,54.45098225301319,22.074468085106357
2020-03-24,-88.0,-55.0,-83.0,-84.0,-70.0,28.0,51.366612887918755,3.7125748502993883
2020-03-25,-89.0,-59.0,-84.0,-85.0,-71.0,30.0,49.29059504602828,-6.2076749435665874
2020-03-26,-88.0,-56.0,-81.0,-85.0,-71.0,29.0,45.31650374869507,-18.550106609808115
2020-03-27,-89.0,-56.0,-84.0,-87.0,-71.0,33.0,36.59722881275506,-37.927565392354126
2020-03-28,-93.0,-62.0,-89.0,-89.0,-68.0,27.0,33.2162854702477,-43.77510040160642
2020-03-29,-95.0,-81.0,-91.0,-91.0,-68.0,22.0,31.08095283287463,-46.09053497942387
2020-03-30,-89.0,-58.0,-83.0,-86.0,-75.0,30.0,27.46275030843693,-49.56427015250545
2020-03-31,-94.0,-66.0,-87.0,-87.0,-78.0,31.0,23.547973806586313,-54.15704387990762
2020-04-01,-92.0,-55.0,-84.0,-85.0,-76.0,31.0,20.819493214387396,-57.761732851985556
2020-04-02,-93.0,-59.0,-85.0,-86.0,-77.0,32.0,18.8027901679795,-58.50785340314136
2020-04-03,-90.0,-53.0,-84.0,-87.0,-75.0,34.0,18.031697826705894,-50.72933549432741
2020-04-04,-93.0,-61.0,-89.0,-89.0,-69.0,27.0,16.252253962228338,-51.07142857142857
2020-04-05,-96.0,-81.0,-92.0,-92.0,-71.0,22.0,14.650754484198538,-52.862595419847324
2020-04-06,-88.0,-56.0,-83.0,-86.0,-75.0,30.0,13.583088165512002,-50.53995680345572
2020-04-07,-90.0,-50.0,-82.0,-85.0,-76.0,30.0,13.167884597133908,-44.08060453400504
2020-04-08,-89.0,-40.0,-82.0,-84.0,-76.0,29.0,12.100218278447375,-41.88034188034189
2020-04-09,-95.0,-82.0,-87.0,-91.0,-87.0,35.0,11.032551959760843,-41.324921135646676
2020-04-10,-97.0,-91.0,-89.0,-93.0,-89.0,40.0,9.786941254626555,-45.723684210526315
2020-04-11,-93.0,-50.0,-87.0,-87.0,-66.0,26.0,9.431052481731044,-41.97080291970803
2020-04-12,-96.0,-81.0,-92.0,-92.0,-71.0,22.0,8.541330549492265,-41.70040485829959
2020-04-13,-89.0,-55.0,-81.0,-83.0,-69.0,28.0,7.888867799183828,-41.92139737991266
2020-04-14,-89.0,-52.0,-79.0,-82.0,-69.0,27.0,6.939831071462466,-47.29729729729729
2020-04-15,-90.0,-58.0,-82.0,-84.0,-71.0,29.0,5.516275979880422,-54.411764705882334
2020-04-16,-89.0,-55.0,-79.0,-83.0,-70.0,29.0,4.507924456676474,-59.13978494623656
2020-04-17,-89.0,-53.0,-80.0,-84.0,-69.0,32.0,4.389294865711303,-55.15151515151515
2020-04-18,-92.0,-58.0,-87.0,-87.0,-65.0,26.0,4.211350479263547,-55.34591194968554
2020-04-19,-96.0,-80.0,-91.0,-91.0,-69.0,22.0,3.9147765018506213,-54.16666666666667
2020-04-20,-87.0,-57.0,-79.0,-82.0,-67.0,27.0,3.7368321154028665,-52.63157894736841
2020-04-21,-88.0,-57.0,-81.0,-82.0,-68.0,28.0,3.4995729334725256,-49.572649572649574
2020-04-22,-88.0,-52.0,-77.0,-82.0,-67.0,28.0,3.3216285470247695,-39.78494623655916
2020-04-23,-88.0,-54.0,-77.0,-82.0,-68.0,28.0,3.2623137515421847,-27.631578947368418
2020-04-24,-89.0,-51.0,-79.0,-83.0,-67.0,31.0,2.787795387681503,-36.486486486486505
2020-04-25,-92.0,-57.0,-88.0,-87.0,-64.0,26.0,2.3725918193034072,-43.66197183098591
2020-04-26,-93.0,-72.0,-82.0,-87.0,-66.0,21.0,2.2539622283382372,-42.42424242424241
2020-04-27,-85.0,-53.0,-70.0,-79.0,-65.0,26.0,2.1353326373730668,-42.85714285714286
2020-04-28,-85.0,-51.0,-70.0,-78.0,-66.0,27.0,1.957388250925311,-44.067796610169495
2020-04-29,-85.0,-47.0,-68.0,-78.0,-65.0,27.0,1.8387586599601407,-44.64285714285714
2020-04-30,-83.0,-36.0,-67.0,-78.0,-65.0,26.0,1.6014994780297998,-50.909090909090914
2020-05-01,-94.0,-89.0,-77.0,-89.0,-85.0,38.0,1.364240296099459,-51.06382978723403
2020-05-02,-84.0,-34.0,-47.0,-71.0,-56.0,22.0,1.364240296099459,-42.49999999999999
2020-05-03,-85.0,-51.0,-54.0,-73.0,-56.0,18.0,1.1862959096517036,-47.36842105263158
2020-05-04,-75.0,-38.0,-37.0,-66.0,-60.0,22.0,1.3049255006168738,-38.88888888888891
2020-05-05,-75.0,-36.0,-34.0,-65.0,-60.0,22.0,1.2456107051342888,-36.36363636363637
2020-05-06,-76.0,-37.0,-38.0,-66.0,-59.0,23.0,1.0083515232039482,-45.16129032258064
2020-05-07,-77.0,-37.0,-38.0,-68.0,-60.0,23.0,0.8897219322387777,-44.44444444444443
