date,retail,grocery,parks,transit,workplaces,residential,ia7,growth_rate
2020-02-15,-4.0,-2.0,6.0,,1.0,,0.0,
2020-02-16,1.0,-13.0,-2.0,,-2.0,,0.0,
2020-02-17,-1.0,-3.0,-2.0,-2.0,3.0,-1.0,0.0,
2020-02-18,-4.0,-4.0,-2.0,,2.0,0.0,0.0,
2020-02-19,-10.0,-9.0,-12.0,,2.0,0.0,0.0,
2020-02-20,-5.0,-3.0,-2.0,,1.0,0.0,0.0,
2020-02-21,-4.0,-8.0,-4.0,12.0,-2.0,0.0,0.0,
2020-02-22,2.0,-5.0,48.0,,5.0,,0.0,
2020-02-23,-1.0,-13.0,-15.0,,-2.0,,0.0,
2020-02-24,-2.0,-4.0,10.0,-2.0,5.0,-1.0,0.0,
2020-02-25,-8.0,0.0,-3.0,,3.0,0.0,0.0,
2020-02-26,-5.0,-5.0,8.0,,2.0,0.0,0.0,
2020-02-27,-1.0,5.0,16.0,,2.0,0.0,0.0,
2020-02-28,4.0,2.0,22.0,10.0,2.0,-2.0,0.0,
2020-02-29,4.0,2.0,6.0,,7.0,,0.0,
2020-03-01,10.0,-3.0,-2.0,,2.0,,0.0,
2020-03-02,-1.0,-1.0,-1.0,6.0,5.0,0.0,0.0,
2020-03-03,-3.0,-2.0,2.0,,2.0,0.0,0.0,
2020-03-04,-5.0,-4.0,4.0,,2.0,0.0,0.0,
2020-03-05,-3.0,-3.0,0.0,,0.0,0.0,1.1484220680784603,
2020-03-06,-6.0,-9.0,-13.0,6.0,-2.0,2.0,2.2968441361569205,
2020-03-07,1.0,-5.0,14.0,,2.0,,5.742110340392301,
2020-03-08,8.0,-9.0,21.0,,5.0,,6.8905324084707615,
2020-03-09,-1.0,-3.0,11.0,-2.0,1.0,0.0,9.187376544627682,
2020-03-10,-4.0,7.0,16.0,,1.0,-1.0,14.929486885019983,
2020-03-11,-7.0,11.0,16.0,,-2.0,0.0,19.523175157333824,
2020-03-12,-6.0,20.0,10.0,,-6.0,-2.0,20.671597225412285,1700.0
2020-03-13,-61.0,-55.0,-33.0,-27.0,-71.0,,29.858973770039967,1200.0
2020-03-14,-55.0,8.0,-52.0,,-32.0,,29.858973770039967,420.0
2020-03-15,-80.0,-57.0,-85.0,,-45.0,,32.15581790619689,366.6666666666667
2020-03-16,-82.0,-37.0,-73.0,-64.0,-56.0,,34.45266204235381,274.99999999999994
2020-03-17,-84.0,-43.0,-79.0,-73.0,-64.0,,32.15581790619689,115.38461538461537
2020-03-18,-86.0,-47.0,-82.0,-75.0,-64.0,,34.45266204235381,76.47058823529412
2020-03-19,-87.0,-55.0,-81.0,-78.0,-65.0,,37.89792824658919,83.33333333333334
2020-03-20,-88.0,-52.0,-84.0,-86.0,-65.0,,32.15581790619689,7.692307692307687
2020-03-21,-90.0,-59.0,-87.0,,-61.0,,32.15581790619689,7.692307692307687
2020-03-22,-92.0,-86.0,-90.0,,-59.0,,34.45266204235381,7.14285714285714
2020-03-23,-84.0,-51.0,-79.0,-83.0,-64.0,,35.60108411043227,3.3333333333333437
2020-03-24,-87.0,-58.0,-82.0,,-67.0,,33.30423997427535,3.571428571428581
2020-03-25,-87.0,-57.0,-81.0,-78.0,-66.0,,29.858973770039967,-13.33333333333332
2020-03-26,-88.0,-56.0,-83.0,,-67.0,,29.858973770039967,-21.212121212121215
2020-03-27,-87.0,-55.0,-82.0,-87.0,-66.0,,31.007395838118427,-3.571428571428581
2020-03-28,-90.0,-58.0,-85.0,,-61.0,,31.007395838118427,-3.571428571428581
2020-03-29,-92.0,-86.0,-90.0,,-59.0,,31.007395838118427,-9.999999999999998
2020-03-30,-88.0,-55.0,-79.0,-87.0,-68.0,,28.710551701961506,-19.354838709677413
2020-03-31,-93.0,-55.0,-82.0,-81.0,-69.0,,31.007395838118427,-6.896551724137945
2020-04-01,-93.0,-56.0,-80.0,-83.0,-69.0,,33.30423997427535,11.538461538461542
2020-04-02,-93.0,-55.0,-79.0,-76.0,-70.0,,31.007395838118427,3.8461538461538325
2020-04-03,-87.0,-52.0,-83.0,-82.0,-69.0,,28.710551701961506,-7.407407407407396
2020-04-04,-90.0,-59.0,-88.0,-78.0,-61.0,,27.562129633883046,-11.111111111111105
2020-04-05,-92.0,-84.0,-88.0,,-59.0,,21.820019293490745,-29.629629629629626
2020-04-06,-86.0,-52.0,-80.0,-79.0,-67.0,,18.374753089255364,-36.0
2020-04-07,-86.0,-46.0,-82.0,-73.0,-70.0,,17.226331021176904,-44.44444444444444
2020-04-08,-85.0,-37.0,-77.0,-69.0,-70.0,,11.484220680784603,-65.51724137931035
2020-04-09,-92.0,-89.0,-88.0,,-85.0,,8.038954476549222,-74.07407407407408
2020-04-10,-94.0,-89.0,-90.0,-88.0,-86.0,,5.742110340392301,-80.0
2020-04-11,-89.0,-48.0,-85.0,,-61.0,,3.4452662042353808,-87.5
2020-04-12,-91.0,,-91.0,,-60.0,,4.593688272313841,-78.94736842105263
2020-04-13,-85.0,-48.0,-77.0,-77.0,-64.0,,5.742110340392301,-68.75
2020-04-14,-85.0,-47.0,-79.0,-78.0,-65.0,,3.4452662042353808,-80.0
2020-04-15,-86.0,-49.0,-77.0,-75.0,-64.0,,3.4452662042353808,-70.0
2020-04-16,-85.0,-52.0,-79.0,-78.0,-65.0,,3.4452662042353808,-57.14285714285714
2020-04-17,-86.0,-48.0,-80.0,-88.0,-63.0,,2.2968441361569205,-60.00000000000001
2020-04-18,-89.0,-57.0,-87.0,-74.0,-57.0,,2.2968441361569205,-33.33333333333333
2020-04-19,-91.0,,-89.0,-82.0,-59.0,,1.1484220680784603,-75.0
2020-04-20,-83.0,-52.0,-78.0,-75.0,-62.0,,2.2968441361569205,-60.00000000000001
2020-04-21,-84.0,-52.0,-77.0,-77.0,-64.0,,2.2968441361569205,-33.33333333333333
2020-04-22,-84.0,-52.0,-77.0,-67.0,-63.0,,3.4452662042353808,0.0
2020-04-23,-84.0,-51.0,-76.0,-77.0,-63.0,,3.4452662042353808,0.0
2020-04-24,-85.0,-51.0,-80.0,-76.0,-63.0,,4.593688272313841,100.0
2020-04-25,-89.0,-59.0,-85.0,-72.0,-57.0,,5.742110340392301,150.0
2020-04-26,-88.0,,-79.0,-86.0,-52.0,,5.742110340392301,400.0
2020-04-27,-82.0,-53.0,-67.0,-76.0,-60.0,,3.4452662042353808,50.0
2020-04-28,-83.0,-46.0,-69.0,-82.0,-60.0,,3.4452662042353808,50.0
2020-04-29,-82.0,-45.0,-65.0,-74.0,-61.0,,3.4452662042353808,0.0
2020-04-30,-81.0,-41.0,-65.0,-77.0,-60.0,,4.593688272313841,33.33333333333335
2020-05-01,-93.0,-86.0,-81.0,-86.0,-82.0,,3.4452662042353808,-25.0
2020-05-02,-81.0,-37.0,-50.0,-72.0,-45.0,,2.2968441361569205,-60.00000000000001
2020-05-03,-79.0,,-50.0,-76.0,-43.0,,2.2968441361569205,-60.00000000000001
2020-05-04,-75.0,-37.0,-43.0,-71.0,-55.0,,2.2968441361569205,-33.33333333333333
2020-05-05,-76.0,-39.0,-42.0,-70.0,-55.0,,2.2968441361569205,-33.33333333333333
2020-05-06,-75.0,-39.0,-37.0,-65.0,-55.0,,1.1484220680784603,-66.66666666666666
2020-05-07,-77.0,-42.0,-41.0,-72.0,-55.0,,0.0,-100.0
2020-05-08,-79.0,-40.0,-49.0,-77.0,-54.0,,0.0,-100.0
2020-05-09,-80.0,-44.0,-50.0,-66.0,-40.0,,0.0,-100.0
2020-05-10,-81.0,,-56.0,-78.0,-38.0,,0.0,-100.0
2020-05-11,-59.0,-24.0,-10.0,-69.0,-44.0,16.0,0.0,-100.0
2020-05-12,-66.0,-35.0,-30.0,-73.0,-46.0,17.0,0.0,-100.0
2020-05-13,-65.0,-32.0,-24.0,-60.0,-46.0,17.0,0.0,-100.0
2020-05-14,-66.0,-31.0,-18.0,-71.0,-46.0,16.0,0.0,
2020-05-15,-67.0,-32.0,-28.0,-72.0,-44.0,19.0,0.0,
2020-05-16,-67.0,-34.0,-23.0,-66.0,-24.0,,0.0,
2020-05-17,-68.0,-38.0,-26.0,-78.0,-23.0,,0.0,
2020-05-18,-53.0,-21.0,-6.0,-67.0,-41.0,16.0,1.1484220680784603,
2020-05-19,-53.0,-25.0,-5.0,-63.0,-42.0,16.0,1.1484220680784603,
2020-05-20,-50.0,-25.0,-9.0,-62.0,-42.0,16.0,1.1484220680784603,
2020-05-21,-51.0,-21.0,-16.0,-64.0,-41.0,15.0,1.1484220680784603,
2020-05-22,-51.0,-21.0,-17.0,-70.0,-42.0,18.0,1.1484220680784603,
2020-05-23,-51.0,-21.0,-24.0,-66.0,-20.0,,1.1484220680784603,
2020-05-24,-62.0,-50.0,-38.0,-82.0,-12.0,,1.1484220680784603,
2020-05-25,-33.0,-22.0,-10.0,-67.0,-42.0,14.0,0.0,-100.0
2020-05-26,-31.0,-27.0,-9.0,-67.0,-39.0,13.0,0.0,-100.0
2020-05-27,-31.0,-23.0,-8.0,-57.0,-38.0,13.0,0.0,-100.0
2020-05-28,-33.0,-18.0,-10.0,-66.0,-38.0,13.0,0.0,-100.0
2020-05-29,-32.0,-18.0,-6.0,-68.0,-35.0,13.0,0.0,-100.0
2020-05-30,-29.0,-21.0,-3.0,-57.0,-4.0,,0.0,-100.0
2020-05-31,-38.0,,-11.0,-74.0,-3.0,,0.0,-100.0
2020-06-01,-18.0,-10.0,16.0,-59.0,-31.0,10.0,1.1484220680784603,
2020-06-02,-25.0,-16.0,14.0,-47.0,-32.0,10.0,1.1484220680784603,
2020-06-03,-24.0,-17.0,12.0,-41.0,-33.0,11.0,1.1484220680784603,
2020-06-04,-28.0,-14.0,8.0,-52.0,-33.0,11.0,1.1484220680784603,
2020-06-05,-26.0,-16.0,9.0,-55.0,-30.0,11.0,1.1484220680784603,
2020-06-06,-26.0,-15.0,5.0,-54.0,-7.0,,1.1484220680784603,
2020-06-07,-34.0,,-6.0,-71.0,-6.0,,1.1484220680784603,
2020-06-08,-19.0,-11.0,-2.0,-50.0,-28.0,11.0,0.0,-100.0
2020-06-09,-20.0,-14.0,17.0,-38.0,-28.0,10.0,1.1484220680784603,0.0
2020-06-10,-22.0,-15.0,28.0,-33.0,-28.0,9.0,1.1484220680784603,0.0
2020-06-11,-22.0,-15.0,2.0,-43.0,-29.0,10.0,1.1484220680784603,0.0
