date,retail,grocery,parks,transit,workplaces,residential,ia7,growth_rate
2020-02-15,4.0,2.0,6.0,0.0,1.0,-1.0,0.0,-100.0
2020-02-16,2.0,-3.0,-2.0,10.0,-1.0,-1.0,0.0,
2020-02-17,-1.0,4.0,17.0,1.0,4.0,-1.0,0.0,
2020-02-18,0.0,-2.0,5.0,-5.0,4.0,-1.0,0.3261046796021523,
2020-02-19,-1.0,-2.0,7.0,1.0,4.0,-1.0,0.3261046796021523,
2020-02-20,8.0,7.0,16.0,18.0,4.0,-2.0,0.9783140388064568,
2020-02-21,8.0,2.0,41.0,26.0,1.0,-3.0,0.9783140388064568,
2020-02-22,20.0,9.0,63.0,48.0,4.0,-3.0,1.3044187184086091,
2020-02-23,49.0,68.0,98.0,79.0,10.0,-6.0,1.3044187184086091,
2020-02-24,30.0,19.0,92.0,34.0,-22.0,-1.0,1.6305233980107614,
2020-02-25,0.0,-52.0,39.0,8.0,-55.0,8.0,1.9566280776129137,500.0
2020-02-26,-3.0,4.0,12.0,12.0,-15.0,2.0,2.282732757215066,600.0
2020-02-27,-1.0,5.0,7.0,5.0,2.0,-1.0,1.6305233980107614,66.66666666666667
2020-02-28,-1.0,2.0,10.0,2.0,3.0,-1.0,2.282732757215066,133.33333333333334
2020-02-29,-4.0,4.0,-10.0,-6.0,-1.0,1.0,1.9566280776129137,50.0
2020-03-01,-2.0,-7.0,-24.0,20.0,0.0,1.0,2.282732757215066,75.0
2020-03-02,-3.0,2.0,-7.0,0.0,3.0,0.0,3.261046796021523,100.0
2020-03-03,-3.0,-2.0,-4.0,-6.0,4.0,0.0,3.261046796021523,66.66666666666667
2020-03-04,-2.0,-1.0,-3.0,-4.0,3.0,0.0,3.9132561552258274,71.42857142857142
2020-03-05,-3.0,1.0,-13.0,-1.0,3.0,0.0,5.543779553236589,240.0
2020-03-06,-1.0,0.0,-4.0,-1.0,0.0,0.0,6.195988912440893,171.42857142857144
2020-03-07,0.0,0.0,16.0,-9.0,0.0,-1.0,8.152616990053808,316.6666666666668
2020-03-08,-3.0,0.0,-1.0,-4.0,-3.0,0.0,8.47872166965596,271.42857142857144
2020-03-09,-1.0,3.0,13.0,-2.0,4.0,-1.0,14.674710582096854,350.0
2020-03-10,-1.0,6.0,10.0,-6.0,3.0,-1.0,18.91407141692483,479.9999999999999
2020-03-11,-3.0,9.0,19.0,2.0,3.0,-1.0,26.74058372737649,583.3333333333334
2020-03-12,-7.0,31.0,-4.0,-7.0,1.0,0.0,34.89320071743029,529.4117647058822
2020-03-13,-28.0,34.0,-25.0,-21.0,-11.0,6.0,46.30686450350562,647.3684210526316
2020-03-14,-72.0,-5.0,-49.0,-47.0,-32.0,13.0,56.41610957117234,591.9999999999998
2020-03-15,-87.0,-59.0,-73.0,-71.0,-46.0,17.0,74.35186694929072,776.923076923077
2020-03-16,-78.0,-24.0,-60.0,-66.0,-46.0,20.0,88.37436817218327,502.22222222222223
2020-03-17,-80.0,-35.0,-60.0,-67.0,-51.0,22.0,100.4402413174629,431.0344827586208
2020-03-18,-80.0,-23.0,-61.0,-70.0,-52.0,22.0,103.04907875428013,285.3658536585366
2020-03-19,-92.0,-92.0,-74.0,-86.0,-82.0,34.0,110.8755910647318,217.75700934579447
2020-03-20,-84.0,-25.0,-72.0,-75.0,-62.0,32.0,130.7679765204631,182.39436619718313
2020-03-21,-90.0,-53.0,-79.0,-83.0,-57.0,27.0,135.3334420348932,139.88439306358384
2020-03-22,-93.0,-77.0,-80.0,-88.0,-59.0,24.0,129.78966248165662,74.56140350877195
2020-03-23,-82.0,-41.0,-64.0,-75.0,-56.0,24.0,132.07239523887168,49.44649446494465
2020-03-24,-84.0,-47.0,-64.0,-78.0,-58.0,25.0,131.42018587966737,30.84415584415585
2020-03-25,-85.0,-47.0,-65.0,-78.0,-59.0,26.0,133.70291863688243,29.746835443037956
2020-03-26,-84.0,-49.0,-65.0,-77.0,-60.0,27.0,131.74629055926954,18.823529411764707
2020-03-27,-86.0,-46.0,-71.0,-81.0,-60.0,32.0,115.11495189955976,-11.970074812967601
2020-03-28,-90.0,-56.0,-77.0,-84.0,-56.0,27.0,108.5928583075167,-19.759036144578324
2020-03-29,-93.0,-78.0,-81.0,-90.0,-58.0,24.0,107.61454426871026,-17.085427135678387
2020-03-30,-87.0,-50.0,-68.0,-82.0,-64.0,29.0,106.96233490950596,-19.012345679012334
2020-03-31,-92.0,-49.0,-69.0,-82.0,-67.0,29.0,104.67960215229087,-20.347394540942943
2020-04-01,-92.0,-49.0,-67.0,-80.0,-66.0,29.0,103.37518343388228,-22.68292682926828
2020-04-02,-91.0,-49.0,-66.0,-81.0,-66.0,30.0,125.8764063264308,-4.455445544554459
2020-04-03,-87.0,-45.0,-70.0,-83.0,-65.0,34.0,125.55030164682864,9.065155807365466
2020-04-04,-90.0,-55.0,-76.0,-86.0,-58.0,27.0,128.485243763248,18.31831831831834
2020-04-05,-93.0,-78.0,-83.0,-90.0,-63.0,25.0,121.96315017120494,13.333333333333307
2020-04-06,-85.0,-47.0,-66.0,-80.0,-65.0,29.0,110.22338170552747,3.0487804878048586
2020-04-07,-86.0,-37.0,-65.0,-80.0,-66.0,28.0,109.24506766672101,4.361370716510926
2020-04-08,-85.0,-24.0,-65.0,-77.0,-65.0,26.0,108.26675362791455,4.731861198738163
2020-04-09,-94.0,-84.0,-76.0,-91.0,-83.0,36.0,83.80890265775314,-33.41968911917098
2020-04-10,-96.0,-95.0,-79.0,-93.0,-85.0,44.0,74.02576226968857,-41.03896103896104
2020-04-11,-89.0,-41.0,-75.0,-83.0,-55.0,26.0,63.264307842817544,-50.76142131979695
2020-04-12,-93.0,-76.0,-81.0,-90.0,-59.0,24.0,61.95988912440894,-49.19786096256684
2020-04-13,-83.0,-42.0,-63.0,-76.0,-59.0,26.0,55.111690852763736,-50.0
