date,retail,grocery,parks,transit,workplaces,residential,ia7,growth_rate
2020-02-15,8.0,2.0,27.0,0.0,2.0,-2.0,0.0,-100.0
2020-02-16,5.0,-20.0,20.0,3.0,1.0,-2.0,0.0,-100.0
2020-02-17,11.0,11.0,17.0,9.0,5.0,-3.0,0.0,-100.0
2020-02-18,-1.0,0.0,11.0,5.0,5.0,-2.0,0.0,
2020-02-19,3.0,-1.0,14.0,-4.0,4.0,-2.0,0.0,
2020-02-20,3.0,2.0,24.0,4.0,4.0,-2.0,0.0,
2020-02-21,3.0,0.0,31.0,17.0,5.0,-3.0,0.0,
2020-02-22,14.0,8.0,116.0,45.0,4.0,-5.0,0.0,
2020-02-23,17.0,-13.0,77.0,53.0,6.0,-6.0,0.0,
2020-02-24,21.0,13.0,92.0,25.0,-11.0,-3.0,0.0,
2020-02-25,4.0,0.0,63.0,23.0,-10.0,-1.0,0.6237486043624978,
2020-02-26,2.0,-1.0,43.0,4.0,-10.0,0.0,0.6237486043624978,
2020-02-27,0.0,6.0,17.0,3.0,2.0,-1.0,0.6237486043624978,
2020-02-28,3.0,4.0,34.0,1.0,4.0,-2.0,0.6237486043624978,
2020-02-29,4.0,6.0,20.0,-17.0,2.0,-1.0,0.6237486043624978,
2020-03-01,7.0,-26.0,5.0,2.0,5.0,-1.0,3.118743021812489,
2020-03-02,9.0,17.0,7.0,10.0,5.0,-2.0,3.118743021812489,
2020-03-03,-2.0,3.0,9.0,-5.0,4.0,-1.0,4.366240230537485,600.0
2020-03-04,1.0,2.0,5.0,-1.0,4.0,-1.0,4.366240230537485,600.0
2020-03-05,-1.0,4.0,1.0,-4.0,4.0,0.0,4.366240230537485,600.0
2020-03-06,0.0,0.0,4.0,-6.0,2.0,0.0,4.366240230537485,600.0
2020-03-07,6.0,5.0,36.0,2.0,1.0,-2.0,5.61373743926248,799.9999999999998
2020-03-08,10.0,-21.0,37.0,16.0,2.0,-3.0,4.366240230537485,40.000000000000014
2020-03-09,11.0,17.0,43.0,13.0,4.0,-3.0,4.366240230537485,40.000000000000014
2020-03-10,2.0,13.0,39.0,1.0,4.0,-2.0,4.989988834899982,14.285714285714302
2020-03-11,2.0,13.0,40.0,1.0,4.0,-2.0,11.227474878524959,157.14285714285708
2020-03-12,-6.0,23.0,17.0,-13.0,3.0,0.0,17.464960922149935,299.9999999999999
2020-03-13,-27.0,35.0,-15.0,-28.0,-5.0,4.0,22.454949757049917,414.28571428571416
2020-03-14,-56.0,-5.0,-13.0,-50.0,-23.0,10.0,31.187430218124888,455.55555555555554
2020-03-15,-88.0,-59.0,-60.0,-74.0,-42.0,15.0,46.78114532718733,971.4285714285713
2020-03-16,-77.0,-28.0,-55.0,-70.0,-43.0,17.0,63.62235764497477,1357.1428571428569
2020-03-17,-83.0,-42.0,-55.0,-76.0,-50.0,21.0,79.21607275403721,1487.4999999999998
2020-03-18,-83.0,-43.0,-52.0,-77.0,-52.0,21.0,89.81979902819967,700.0
2020-03-19,-83.0,-44.0,-51.0,-77.0,-54.0,23.0,109.7797543677996,528.5714285714287
2020-03-20,-86.0,-44.0,-62.0,-82.0,-54.0,28.0,135.9771957510245,505.5555555555557
2020-03-21,-90.0,-52.0,-71.0,-87.0,-55.0,23.0,149.07591644263695,378.0
2020-03-22,-94.0,-81.0,-77.0,-88.0,-55.0,21.0,152.81840806881195,226.66666666666666
2020-03-23,-83.0,-41.0,-53.0,-79.0,-56.0,21.0,156.56089969498694,146.07843137254903
2020-03-24,-86.0,-52.0,-55.0,-82.0,-59.0,23.0,159.05589411243696,100.7874015748032
2020-03-25,-86.0,-54.0,-58.0,-81.0,-59.0,24.0,159.05589411243693,77.08333333333334
2020-03-26,-87.0,-53.0,-58.0,-82.0,-60.0,26.0,155.31340248626196,41.47727272727275
2020-03-27,-88.0,-51.0,-66.0,-84.0,-60.0,30.0,146.58092202518696,7.7981651376146655
2020-03-28,-91.0,-57.0,-72.0,-86.0,-55.0,24.0,140.96718458592449,-5.4393305439330515
2020-03-29,-94.0,-82.0,-80.0,-91.0,-58.0,21.0,135.353447146662,-11.428571428571432
2020-03-30,-87.0,-54.0,-63.0,-83.0,-65.0,24.0,129.73970970739953,-17.131474103585663
2020-03-31,-92.0,-55.0,-64.0,-84.0,-68.0,27.0,126.62096668558704,-20.392156862745104
2020-04-01,-92.0,-55.0,-64.0,-84.0,-66.0,27.0,126.62096668558704,-20.392156862745093
2020-04-02,-91.0,-52.0,-64.0,-82.0,-67.0,28.0,119.75973203759958,-22.89156626506025
2020-04-03,-89.0,-51.0,-67.0,-84.0,-66.0,32.0,112.27474878524959,-23.404255319148948
2020-04-04,-91.0,-56.0,-72.0,-86.0,-58.0,24.0,103.54226832417461,-26.54867256637169
2020-04-05,-95.0,-82.0,-80.0,-91.0,-61.0,22.0,100.42352530236214,-25.806451612903224
2020-04-06,-85.0,-49.0,-61.0,-83.0,-65.0,24.0,91.69104484128718,-29.326923076923073
2020-04-07,-88.0,-40.0,-58.0,-82.0,-65.0,25.0,79.83982135839972,-36.94581280788177
2020-04-08,-87.0,-34.0,-63.0,-79.0,-65.0,25.0,71.10734089732475,-43.842364532019694
2020-04-09,-94.0,-81.0,-74.0,-90.0,-83.0,33.0,62.99860904061227,-47.39583333333333
2020-04-10,-97.0,-94.0,-80.0,-93.0,-85.0,40.0,58.63236881007478,-47.77777777777777
2020-04-11,-92.0,-45.0,-74.0,-84.0,-58.0,24.0,58.63236881007479,-43.37349397590361
2020-04-12,-95.0,-81.0,-80.0,-89.0,-60.0,22.0,51.771134162087314,-48.4472049689441
2020-04-13,-86.0,-45.0,-57.0,-77.0,-60.0,22.0,58.632368810074794,-36.05442176870748
2020-04-14,-88.0,-47.0,-57.0,-80.0,-60.0,23.0,68.61234647987476,-14.06250000000001
2020-04-15,-88.0,-51.0,-64.0,-80.0,-60.0,25.0,72.35483810604974,1.754385964912264
2020-04-16,-89.0,-51.0,-63.0,-80.0,-60.0,26.0,71.10734089732476,12.871287128712904
2020-04-17,-90.0,-50.0,-67.0,-82.0,-60.0,31.0,67.36484927114975,14.893617021276606
2020-04-18,-92.0,-52.0,-73.0,-85.0,-54.0,24.0,70.48359229296224,20.21276595744681
2020-04-19,-94.0,-80.0,-79.0,-89.0,-57.0,22.0,74.22608391913724,43.37349397590362
2020-04-20,-86.0,-49.0,-51.0,-76.0,-57.0,22.0,67.36484927114975,14.893617021276583
2020-04-21,-87.0,-47.0,-56.0,-79.0,-58.0,23.0,64.24610624933727,-6.36363636363636
2020-04-22,-86.0,-41.0,-55.0,-77.0,-58.0,23.0,58.00862020571229,-19.82758620689655
2020-04-23,-94.0,-91.0,-65.0,-88.0,-81.0,32.0,53.6423799751748,-24.561403508771974
2020-04-24,-87.0,-38.0,-63.0,-81.0,-63.0,30.0,50.52363695336231,-25.0
2020-04-25,-91.0,-50.0,-72.0,-85.0,-54.0,24.0,45.53364811846233,-35.39823008849559
2020-04-26,-92.0,-74.0,-66.0,-85.0,-56.0,21.0,39.296162074837355,-47.058823529411775
2020-04-27,-84.0,-42.0,-40.0,-74.0,-56.0,21.0,34.92992184429986,-48.14814814814816
2020-04-28,-85.0,-45.0,-44.0,-76.0,-57.0,23.0,22.454949757049917,-65.04854368932041
2020-04-29,-85.0,-41.0,-52.0,-74.0,-56.0,23.0,17.464960922149935,-69.89247311827957
2020-04-30,-84.0,-30.0,-47.0,-74.0,-56.0,23.0,20.583703943962426,-61.62790697674417
2020-05-01,-94.0,-90.0,-61.0,-87.0,-82.0,38.0,18.08870952651243,-64.19753086419753
2020-05-02,-83.0,-27.0,-11.0,-60.0,-46.0,19.0,13.098720691612453,-71.23287671232876
2020-05-03,-81.0,-42.0,-7.0,-59.0,-46.0,16.0,11.227474878524959,-71.42857142857143
2020-05-04,-73.0,-25.0,25.0,-55.0,-49.0,16.0,11.22747487852496,-67.85714285714285
2020-05-05,-75.0,-31.0,20.0,-59.0,-50.0,17.0,11.22747487852496,-49.999999999999986
2020-05-06,-76.0,-32.0,20.0,-54.0,-50.0,17.0,11.227474878524959,-35.71428571428572
2020-05-07,-76.0,-30.0,3.0,-58.0,-50.0,19.0,6.861234647987476,-66.66666666666666
2020-05-08,-81.0,-35.0,-29.0,-69.0,-50.0,25.0,6.861234647987476,-62.06896551724137
2020-05-09,-82.0,-32.0,-10.0,-62.0,-43.0,19.0,4.989988834899982,-61.9047619047619
2020-05-10,-86.0,-49.0,-34.0,-69.0,-48.0,17.0,4.366240230537485,-61.11111111111111
2020-05-11,-70.0,-23.0,21.0,-50.0,-44.0,15.0,4.366240230537485,-61.111111111111114
2020-05-12,-77.0,-32.0,-17.0,-65.0,-47.0,18.0,4.366240230537485,-61.111111111111114
2020-05-13,-74.0,-29.0,-2.0,-55.0,-47.0,18.0,11.851223482887457,5.55555555555558
2020-05-14,-77.0,-31.0,-22.0,-65.0,-47.0,20.0,13.72246929597495,99.99999999999997
2020-05-15,-79.0,-29.0,-29.0,-66.0,-48.0,24.0,14.969966504699945,118.18181818181816
2020-05-16,-81.0,-29.0,-18.0,-61.0,-40.0,18.0,15.593715109062444,212.49999999999994
2020-05-17,-81.0,-43.0,-9.0,-61.0,-42.0,15.0,16.21746371342494,271.4285714285714
2020-05-18,-64.0,-17.0,42.0,-48.0,-42.0,13.0,16.21746371342494,271.4285714285714
2020-05-19,-68.0,-22.0,35.0,-53.0,-43.0,15.0,21.207452548324923,385.71428571428567
2020-05-20,-66.0,-19.0,23.0,-49.0,-43.0,15.0,15.593715109062444,31.57894736842104
2020-05-21,-66.0,-16.0,22.0,-53.0,-43.0,16.0,13.72246929597495,0.0
2020-05-22,-69.0,-21.0,12.0,-61.0,-41.0,20.0,13.72246929597495,-8.333333333333337
2020-05-23,-72.0,-18.0,-2.0,-56.0,-32.0,16.0,13.098720691612453,-16.000000000000004
2020-05-24,-73.0,-34.0,3.0,-56.0,-35.0,14.0,12.474972087249956,-23.076923076923073
2020-05-25,-41.0,0.0,69.0,-39.0,-37.0,8.0,13.098720691612453,-19.23076923076924
2020-05-26,-48.0,-11.0,51.0,-45.0,-37.0,10.0,9.979977669799963,-52.94117647058824
2020-05-27,-47.0,-11.0,42.0,-45.0,-37.0,10.0,7.4849832523499735,-52.0
2020-05-28,-48.0,-7.0,45.0,-45.0,-37.0,12.0,8.73248046107497,-36.36363636363635
2020-05-29,-51.0,-9.0,33.0,-52.0,-36.0,13.0,8.10873185671247,-40.90909090909091
2020-05-30,-54.0,-10.0,36.0,-45.0,-17.0,6.0,11.227474878524959,-14.28571428571429
2020-05-31,-61.0,-33.0,-3.0,-54.0,-20.0,6.0,11.851223482887455,-5.000000000000016
2020-06-01,-34.0,3.0,62.0,-38.0,-32.0,8.0,10.60372627416246,-19.047619047619058
2020-06-02,-43.0,-8.0,51.0,-42.0,-34.0,10.0,8.732480461074967,-12.50000000000001
2020-06-03,-48.0,-10.0,2.0,-45.0,-34.0,12.0,9.356229065437464,24.99999999999998
2020-06-04,-43.0,-4.0,35.0,-42.0,-33.0,11.0,8.10873185671247,-7.142857142857151
2020-06-05,-43.0,-9.0,39.0,-47.0,-31.0,11.0,6.237486043624978,-23.076923076923073
2020-06-06,-52.0,-11.0,16.0,-50.0,-16.0,8.0,4.366240230537485,-61.11111111111111
2020-06-07,-59.0,-33.0,-9.0,-57.0,-19.0,8.0,3.7424916261749868,-68.42105263157893
2020-06-08,-26.0,4.0,41.0,-34.0,-30.0,7.0,5.613737439262479,-47.05882352941176
2020-06-09,-34.0,-6.0,43.0,-36.0,-30.0,8.0,6.861234647987475,-21.42857142857142
2020-06-10,-31.0,-8.0,49.0,-33.0,-30.0,8.0,6.237486043624978,-33.333333333333314
2020-06-11,-37.0,-5.0,14.0,-47.0,-31.0,11.0,6.861234647987475,-15.384615384615385
2020-06-12,-43.0,-8.0,-11.0,-55.0,-31.0,14.0,7.484983252349973,19.999999999999996
2020-06-13,-40.0,-9.0,25.0,-47.0,-10.0,7.0,6.861234647987475,57.14285714285712
2020-06-14,-43.0,-28.0,23.0,-46.0,-6.0,4.0,6.861234647987475,83.33333333333333
2020-06-15,-21.0,2.0,64.0,-29.0,-27.0,6.0,5.61373743926248,2.220446049250313e-14
2020-06-16,-31.0,-5.0,33.0,-39.0,-28.0,8.0,4.366240230537485,-36.36363636363635
2020-06-17,-28.0,-5.0,43.0,-35.0,-28.0,8.0,6.861234647987476,10.000000000000009
2020-06-18,-25.0,-2.0,59.0,-32.0,-27.0,7.0,5.61373743926248,-18.181818181818176
2020-06-19,-29.0,-4.0,49.0,-42.0,-25.0,8.0,4.989988834899982,-33.33333333333333
2020-06-20,-34.0,-4.0,65.0,-33.0,-4.0,2.0,4.366240230537485,-36.36363636363635
2020-06-21,-28.0,-1.0,55.0,-33.0,2.0,-2.0,4.989988834899982,-27.27272727272726
2020-06-22,-7.0,10.0,94.0,-13.0,-26.0,1.0,3.118743021812489,-44.44444444444444
2020-06-23,-17.0,0.0,83.0,-15.0,-27.0,2.0,4.366240230537485,0.0
2020-06-24,-16.0,-2.0,69.0,-16.0,-30.0,3.0,2.494994417449991,-63.63636363636363
2020-06-25,-18.0,7.0,42.0,-24.0,-27.0,5.0,3.118743021812489,-44.44444444444444
