date,retail,grocery,parks,transit,workplaces,residential,ia7,growth_rate
2020-02-15,1.0,-1.0,-20.0,-5.0,-2.0,0.0,0.0,
2020-02-16,-12.0,-14.0,-53.0,-7.0,-2.0,2.0,0.0,
2020-02-17,1.0,2.0,9.0,5.0,4.0,-1.0,0.0,
2020-02-18,2.0,-1.0,14.0,1.0,3.0,-1.0,0.0,
2020-02-19,0.0,0.0,12.0,0.0,3.0,-1.0,0.0,
2020-02-20,3.0,4.0,21.0,7.0,3.0,-2.0,0.0,
2020-02-21,2.0,-1.0,22.0,10.0,2.0,-3.0,0.0,
2020-02-22,7.0,0.0,16.0,23.0,3.0,-3.0,0.0,
2020-02-23,8.0,26.0,30.0,8.0,3.0,-4.0,0.0,
2020-02-24,12.0,13.0,48.0,5.0,-21.0,1.0,0.0,
2020-02-25,-3.0,-22.0,24.0,2.0,-47.0,8.0,0.0,
2020-02-26,-6.0,-3.0,-1.0,2.0,-19.0,4.0,0.0,
2020-02-27,0.0,6.0,13.0,3.0,2.0,-1.0,0.10577443812618467,
2020-02-28,0.0,3.0,5.0,3.0,2.0,-1.0,0.10577443812618467,
2020-02-29,-2.0,3.0,-16.0,-6.0,-1.0,1.0,0.21154887625236934,
2020-03-01,-15.0,-13.0,-42.0,-8.0,0.0,2.0,0.317323314378554,
2020-03-02,-3.0,4.0,-8.0,2.0,3.0,0.0,1.0577443812618466,
2020-03-03,-9.0,-6.0,-32.0,-9.0,1.0,1.0,1.4808421337665854,
2020-03-04,-5.0,1.0,-21.0,-7.0,2.0,1.0,1.7981654481451395,
2020-03-05,-1.0,3.0,-5.0,0.0,3.0,-1.0,2.327037638776063,2100.0
2020-03-06,2.0,1.0,0.0,5.0,-1.0,0.0,2.644360953154617,2400.0
2020-03-07,2.0,1.0,4.0,5.0,2.0,-1.0,3.3847820200379095,1500.0
2020-03-08,-7.0,1.0,-23.0,20.0,0.0,1.0,4.442526401299757,1300.0000000000002
2020-03-09,0.0,5.0,18.0,4.0,4.0,-1.0,5.182947468183049,390.0000000000002
2020-03-10,0.0,7.0,21.0,3.0,3.0,-2.0,7.827308421337666,428.57142857142856
2020-03-11,-4.0,10.0,10.0,-5.0,2.0,0.0,11.635188193880314,547.0588235294117
2020-03-12,-6.0,26.0,11.0,-3.0,1.0,0.0,16.71236122393718,618.1818181818181
2020-03-13,-27.0,28.0,-16.0,-26.0,-11.0,7.0,25.06854183590577,848.0000000000002
2020-03-14,-71.0,-6.0,-42.0,-53.0,-32.0,15.0,33.53049688600055,890.6250000000002
2020-03-15,-87.0,-59.0,-80.0,-76.0,-46.0,19.0,40.40583536420255,809.5238095238096
