date,retail,grocery,parks,transit,workplaces,residential,ia7,growth_rate
2020-02-15,-3.0,-1.0,2.0,0.0,-2.0,0.0,0.1914082575436387,100.0
2020-02-16,-1.0,-3.0,3.0,1.0,-2.0,0.0,0.3828165150872774,300.0
2020-02-17,-3.0,0.0,-2.0,2.0,2.0,0.0,0.3828165150872774,300.0
2020-02-18,-3.0,-1.0,3.0,3.0,2.0,-1.0,0.4785206438590967,
2020-02-19,-1.0,0.0,-5.0,1.0,2.0,0.0,0.4785206438590967,400.0
2020-02-20,0.0,1.0,-4.0,4.0,2.0,0.0,0.5742247726309161,500.0
2020-02-21,-4.0,2.0,10.0,15.0,-1.0,0.0,0.4785206438590967,150.0
2020-02-22,-6.0,4.0,18.0,18.0,-2.0,0.0,0.4785206438590967,150.0
2020-02-23,-27.0,-23.0,-21.0,0.0,-13.0,5.0,0.3828165150872774,0.0
2020-02-24,-5.0,0.0,29.0,11.0,-43.0,7.0,0.3828165150872774,0.0
2020-02-25,-20.0,-42.0,64.0,19.0,-59.0,9.0,0.47852064385909676,0.0
2020-02-26,-1.0,15.0,8.0,2.0,-14.0,2.0,0.7656330301745548,60.00000000000001
2020-02-27,-1.0,4.0,0.0,-1.0,-12.0,2.0,0.8613371589463741,50.0
2020-02-28,-4.0,2.0,9.0,3.0,-11.0,3.0,1.4355619315772903,200.0
2020-02-29,0.0,0.0,39.0,27.0,-3.0,0.0,1.626970189120929,240.00000000000003
2020-03-01,-5.0,-5.0,8.0,19.0,-1.0,0.0,2.009786704208206,424.9999999999999
2020-03-02,-4.0,1.0,-7.0,-2.0,1.0,0.0,2.7754197343827607,624.9999999999999
2020-03-03,-4.0,-1.0,1.0,-1.0,2.0,-1.0,3.2539403782418574,580.0
2020-03-04,-3.0,-1.0,-3.0,-4.0,2.0,0.0,4.115277537188232,437.5
2020-03-05,-3.0,-3.0,-9.0,-5.0,0.0,0.0,5.263727082450064,511.1111111111111
2020-03-06,-5.0,-2.0,-10.0,-4.0,-2.0,1.0,6.603584885255535,359.99999999999994
2020-03-07,-5.0,-3.0,3.0,-6.0,-3.0,1.0,7.847738559289185,382.3529411764705
2020-03-08,-4.0,-2.0,-1.0,-3.0,-2.0,0.0,9.187596362094657,357.1428571428572
2020-03-09,-5.0,-2.0,-4.0,-4.0,1.0,0.0,11.48449545261832,313.7931034482759
2020-03-10,-6.0,4.0,2.0,-3.0,0.0,-1.0,13.30287389928289,308.82352941176475
2020-03-11,-6.0,3.0,-6.0,-6.0,0.0,0.0,15.69547711857837,281.3953488372092
2020-03-12,-10.0,14.0,-11.0,-9.0,-2.0,0.0,18.375192724189315,249.09090909090912
2020-03-13,-29.0,18.0,-30.0,-25.0,-21.0,8.0,22.490470261377546,240.57971014492753
2020-03-14,-51.0,-11.0,-45.0,-39.0,-20.0,10.0,26.222931283478502,234.1463414634147
2020-03-15,-83.0,-46.0,-74.0,-54.0,-39.0,14.0,29.859688176807637,225.0
2020-03-16,-80.0,-37.0,-79.0,-62.0,-51.0,19.0,34.6448946153986,201.66666666666666
2020-03-17,-83.0,-46.0,-80.0,-66.0,-57.0,21.0,38.56876389504319,189.92805755395676
2020-03-18,-84.0,-48.0,-82.0,-69.0,-58.0,23.0,42.49263317468779,170.73170731707324
2020-03-19,-85.0,-52.0,-84.0,-72.0,-60.0,25.0,43.258266204862345,135.41666666666666
2020-03-20,-87.0,-50.0,-85.0,-73.0,-61.0,28.0,45.65086942415783,102.9787234042553
2020-03-21,-91.0,-58.0,-89.0,-79.0,-62.0,24.0,45.74657355292965,74.45255474452554
2020-03-22,-94.0,-76.0,-92.0,-85.0,-64.0,20.0,45.07664465152691,50.96153846153848
2020-03-23,-86.0,-55.0,-85.0,-79.0,-65.0,25.0,43.832490977493265,26.519337016574607
2020-03-24,-87.0,-55.0,-84.0,-79.0,-66.0,25.0,41.15277537188232,6.6997518610422135
2020-03-25,-87.0,-58.0,-86.0,-79.0,-67.0,26.0,37.32461022100955,-12.162162162162149
2020-03-26,-87.0,-59.0,-86.0,-80.0,-67.0,27.0,36.46327306206317,-15.707964601769897
2020-03-27,-88.0,-56.0,-86.0,-81.0,-67.0,30.0,32.156587267331304,-29.55974842767296
2020-03-28,-91.0,-62.0,-90.0,-85.0,-66.0,25.0,29.381167532948535,-35.77405857740587
2020-03-29,-94.0,-77.0,-92.0,-87.0,-66.0,20.0,27.37138082874033,-39.27813163481954
2020-03-30,-89.0,-59.0,-86.0,-81.0,-71.0,27.0,24.69166522312939,-43.66812227074237
2020-03-31,-92.0,-59.0,-85.0,-82.0,-73.0,27.0,22.490470261377546,-45.34883720930233
2020-04-01,-92.0,-59.0,-86.0,-82.0,-73.0,28.0,23.63891980663938,-36.66666666666667
2020-04-02,-91.0,-59.0,-86.0,-82.0,-73.0,29.0,21.437724844887533,-41.20734908136484
2020-04-03,-89.0,-56.0,-87.0,-83.0,-72.0,32.0,18.279488595417494,-43.154761904761905
2020-04-04,-91.0,-61.0,-90.0,-86.0,-68.0,25.0,17.992376209102034,-38.76221498371336
2020-04-05,-94.0,-78.0,-92.0,-88.0,-69.0,21.0,16.36540601998111,-40.20979020979021
2020-04-06,-87.0,-57.0,-85.0,-81.0,-72.0,27.0,13.972802800685622,-43.41085271317831
2020-04-07,-91.0,-51.0,-84.0,-81.0,-72.0,26.0,13.685690414370164,-39.14893617021278
2020-04-08,-90.0,-46.0,-85.0,-80.0,-72.0,25.0,9.474708748410116,-59.919028340080985
2020-04-09,-94.0,-73.0,-90.0,-87.0,-84.0,33.0,9.283300490866477,-56.69642857142857
2020-04-10,-97.0,-89.0,-92.0,-91.0,-88.0,41.0,9.187596362094656,-49.73821989528797
2020-04-11,-93.0,-53.0,-90.0,-84.0,-66.0,24.0,7.847738559289186,-56.38297872340425
2020-04-12,-95.0,-79.0,-92.0,-89.0,-69.0,21.0,7.2735137866582695,-55.55555555555556
2020-04-13,-89.0,-54.0,-85.0,-79.0,-67.0,26.0,6.4121766277118954,-54.10958904109589
2020-04-14,-89.0,-53.0,-83.0,-79.0,-67.0,25.0,6.029360112624619,-55.94405594405594
2020-04-15,-90.0,-55.0,-84.0,-79.0,-67.0,27.0,6.316472498940077,-33.333333333333336
2020-04-16,-89.0,-56.0,-84.0,-79.0,-67.0,27.0,5.837951855080981,-37.11340206185566
2020-04-17,-90.0,-54.0,-85.0,-80.0,-67.0,30.0,5.742247726309161,-37.499999999999986
2020-04-18,-93.0,-59.0,-90.0,-85.0,-66.0,25.0,5.646543597537341,-28.04878048780488
2020-04-19,-94.0,-76.0,-92.0,-87.0,-67.0,21.0,6.029360112624619,-17.105263157894733
2020-04-20,-88.0,-54.0,-84.0,-78.0,-65.0,25.0,6.125064241396438,-4.477611940298498
2020-04-21,-88.0,-52.0,-83.0,-79.0,-66.0,25.0,5.837951855080979,-3.1746031746031855
2020-04-22,-88.0,-54.0,-84.0,-79.0,-66.0,26.0,5.455135339993702,-13.636363636363647
2020-04-23,-89.0,-57.0,-85.0,-80.0,-67.0,28.0,4.40238992350369,-24.590163934426236
2020-04-24,-89.0,-51.0,-85.0,-79.0,-66.0,30.0,4.210981665960051,-26.666666666666682
2020-04-25,-92.0,-56.0,-89.0,-84.0,-64.0,25.0,3.6367568933291357,-35.59322033898303
2020-04-26,-93.0,-72.0,-87.0,-85.0,-64.0,21.0,2.871123863154581,-52.38095238095237
2020-04-27,-87.0,-52.0,-80.0,-75.0,-63.0,25.0,2.3926032192954834,-60.9375
2020-04-28,-87.0,-49.0,-78.0,-76.0,-64.0,25.0,2.1054908329800255,-63.934426229508205
2020-04-29,-86.0,-47.0,-80.0,-76.0,-64.0,26.0,1.7226743178927482,-68.42105263157893
2020-04-30,-84.0,-39.0,-79.0,-73.0,-63.0,24.0,2.009786704208206,-54.347826086956516
2020-05-01,-94.0,-82.0,-86.0,-86.0,-84.0,38.0,2.105490832980026,-49.999999999999986
2020-05-02,-85.0,-36.0,-69.0,-70.0,-58.0,22.0,2.201194961751845,-39.47368421052633
2020-05-03,-87.0,-58.0,-71.0,-74.0,-57.0,18.0,2.009786704208206,-30.00000000000003
2020-05-04,-79.0,-40.0,-64.0,-65.0,-60.0,23.0,1.8183784466645678,-23.99999999999998
2020-05-05,-79.0,-37.0,-59.0,-65.0,-60.0,22.0,1.7226743178927484,-18.181818181818166
2020-05-06,-79.0,-40.0,-64.0,-66.0,-59.0,24.0,1.5312660603491097,-11.111111111111105
2020-05-07,-79.0,-42.0,-64.0,-67.0,-59.0,24.0,1.2441536740336516,-38.09523809523808
2020-05-08,-80.0,-41.0,-65.0,-68.0,-58.0,27.0,0.6699289014027354,-68.18181818181819
2020-05-09,-84.0,-44.0,-70.0,-72.0,-53.0,22.0,0.5742247726309161,-73.91304347826086
2020-05-10,-87.0,-60.0,-72.0,-76.0,-54.0,19.0,0.5742247726309161,-71.42857142857142
2020-05-11,-64.0,-31.0,-48.0,-54.0,-51.0,17.0,0.6699289014027354,-63.15789473684211
2020-05-12,-66.0,-31.0,-47.0,-57.0,-52.0,17.0,0.6699289014027354,-61.111111111111114
2020-05-13,-66.0,-33.0,-52.0,-58.0,-52.0,19.0,0.9570412877181935,-37.500000000000014
2020-05-14,-66.0,-33.0,-55.0,-59.0,-52.0,20.0,1.1484495452618322,-7.692307692307699
2020-05-15,-67.0,-30.0,-55.0,-60.0,-52.0,22.0,1.1484495452618322,71.42857142857142
2020-05-16,-71.0,-32.0,-55.0,-60.0,-44.0,15.0,1.3398578028054708,133.33333333333334
2020-05-17,-75.0,-48.0,-59.0,-65.0,-43.0,12.0,1.4355619315772903,150.0
2020-05-18,-62.0,-32.0,-47.0,-55.0,-49.0,18.0,1.5312660603491097,128.5714285714286
2020-05-19,-62.0,-29.0,-40.0,-56.0,-49.0,17.0,1.914082575436387,185.71428571428572
2020-05-20,-60.0,-30.0,-43.0,-56.0,-48.0,18.0,1.8183784466645674,89.99999999999999
2020-05-21,-60.0,-29.0,-45.0,-56.0,-49.0,19.0,2.0097867042082065,75.0
2020-05-22,-60.0,-26.0,-46.0,-56.0,-47.0,20.0,2.009786704208206,74.99999999999997
2020-05-23,-64.0,-29.0,-45.0,-57.0,-37.0,13.0,1.7226743178927484,28.57142857142858
2020-05-24,-69.0,-45.0,-48.0,-62.0,-37.0,11.0,1.7226743178927484,19.999999999999996
2020-05-25,-46.0,-25.0,-24.0,-48.0,-45.0,15.0,1.53126606034911,2.220446049250313e-14
2020-05-26,-47.0,-24.0,-18.0,-50.0,-44.0,14.0,1.1484495452618322,-40.0
2020-05-27,-46.0,-25.0,-23.0,-50.0,-43.0,15.0,1.0527454164900127,-42.10526315789473
2020-05-28,-46.0,-23.0,-27.0,-50.0,-44.0,15.0,1.0527454164900127,-47.61904761904763
2020-05-29,-47.0,-16.0,-30.0,-51.0,-43.0,16.0,1.5312660603491097,-23.809523809523792
2020-05-30,-56.0,-41.0,-29.0,-54.0,-37.0,11.0,1.5312660603491097,-11.111111111111105
2020-05-31,-58.0,-33.0,-27.0,-56.0,-29.0,8.0,1.5312660603491097,-11.111111111111105
2020-06-01,-42.0,-20.0,-33.0,-47.0,-41.0,14.0,1.626970189120929,6.249999999999978
2020-06-02,-43.0,-21.0,-17.0,-47.0,-40.0,13.0,1.7226743178927484,50.00000000000002
2020-06-03,-41.0,-20.0,-28.0,-46.0,-40.0,14.0,1.7226743178927486,63.63636363636369
2020-06-04,-41.0,-20.0,-27.0,-46.0,-40.0,14.0,1.3398578028054708,27.272727272727295
2020-06-05,-44.0,-22.0,-38.0,-51.0,-40.0,16.0,0.7656330301745548,-50.0
2020-06-06,-43.0,-23.0,-19.0,-50.0,-26.0,9.0,1.0527454164900127,-31.25000000000001
2020-06-07,-52.0,-33.0,-16.0,-54.0,-28.0,7.0,1.052745416490013,-31.25
2020-06-08,-37.0,-22.0,-30.0,-44.0,-39.0,13.0,0.9570412877181934,-41.17647058823529
2020-06-09,-38.0,-22.0,-24.0,-46.0,-38.0,12.0,0.7656330301745548,-55.55555555555556
2020-06-10,-38.0,-22.0,-32.0,-45.0,-38.0,13.0,0.6699289014027354,-61.111111111111114
2020-06-11,-37.0,-21.0,-34.0,-46.0,-39.0,14.0,0.6699289014027354,-50.0
2020-06-12,-39.0,-19.0,-28.0,-46.0,-37.0,14.0,0.7656330301745548,0.0
2020-06-13,-41.0,-22.0,-9.0,-48.0,-24.0,7.0,0.5742247726309161,-45.454545454545446
2020-06-14,-50.0,-31.0,-15.0,-52.0,-24.0,6.0,0.47852064385909676,-54.54545454545454
2020-06-15,-36.0,-20.0,-29.0,-42.0,-37.0,12.0,0.4785206438590967,-50.0
2020-06-16,-37.0,-18.0,-24.0,-45.0,-37.0,12.0,0.3828165150872774,-50.0
2020-06-17,-36.0,-19.0,-28.0,-44.0,-36.0,13.0,0.3828165150872774,-42.85714285714286
2020-06-18,-36.0,-21.0,-23.0,-44.0,-38.0,13.0,0.3828165150872774,-42.85714285714286
2020-06-19,-36.0,-17.0,-25.0,-44.0,-36.0,13.0,0.3828165150872774,-50.0
2020-06-20,-39.0,-20.0,-12.0,-47.0,-22.0,7.0,0.1914082575436387,-66.66666666666667
2020-06-21,-46.0,-30.0,-11.0,-49.0,-22.0,5.0,0.1914082575436387,-60.0
2020-06-22,-33.0,-18.0,-19.0,-39.0,-37.0,11.0,0.09570412877181934,-80.0
