date,retail,grocery,parks,transit,workplaces,residential,ia7,growth_rate
2020-02-15,15.0,2.0,44.0,24.0,1.0,-3.0,0.0,
2020-02-16,15.0,9.0,22.0,24.0,1.0,-3.0,0.0,
2020-02-17,-5.0,2.0,-5.0,-2.0,4.0,-1.0,0.0,
2020-02-18,-3.0,-4.0,11.0,3.0,3.0,-2.0,0.0,
2020-02-19,-3.0,0.0,10.0,3.0,3.0,-1.0,0.0,
2020-02-20,-1.0,5.0,13.0,9.0,4.0,-1.0,0.0,
2020-02-21,1.0,2.0,19.0,16.0,3.0,-3.0,1.3031183622408424,
2020-02-22,15.0,5.0,56.0,18.0,0.0,-4.0,1.3031183622408424,
2020-02-23,26.0,15.0,34.0,29.0,5.0,-5.0,1.3031183622408424,
2020-02-24,5.0,3.0,51.0,1.0,-13.0,-1.0,1.9546775433612638,
2020-02-25,7.0,-5.0,61.0,2.0,-12.0,-1.0,2.606236724481685,
2020-02-26,-3.0,-2.0,13.0,-5.0,-13.0,1.0,3.257795905602106,
2020-02-27,-2.0,5.0,14.0,4.0,2.0,-1.0,3.257795905602106,
2020-02-28,9.0,11.0,45.0,8.0,2.0,-2.0,1.9546775433612638,50.0
2020-02-29,14.0,8.0,30.0,11.0,-2.0,0.0,3.257795905602106,149.99999999999994
2020-03-01,8.0,1.0,-14.0,9.0,1.0,0.0,5.21247344896337,300.0
2020-03-02,-4.0,1.0,-15.0,-6.0,2.0,0.0,6.515591811204212,233.33333333333331
2020-03-03,-6.0,-6.0,-8.0,-6.0,4.0,0.0,8.470269354565476,225.0
2020-03-04,-4.0,3.0,-2.0,-5.0,3.0,0.0,11.07650607904716,240.0
2020-03-05,-6.0,1.0,-8.0,-2.0,3.0,0.0,13.031183622408424,300.0
2020-03-06,-3.0,-2.0,-5.0,-3.0,1.0,0.0,15.637420346890108,700.0
2020-03-07,6.0,-1.0,12.0,0.0,1.0,-1.0,20.84989379585348,540.0
2020-03-08,10.0,4.0,-3.0,13.0,2.0,-2.0,25.41080806369642,387.49999999999983
2020-03-09,-3.0,4.0,-2.0,-4.0,3.0,-1.0,40.39666922946611,520.0
