date,retail,grocery,parks,transit,workplaces,residential,ia7,growth_rate
2020-02-15,1.0,-5.0,34.0,10.0,-2.0,-3.0,0.05127629255996378,-50.0
2020-02-16,5.0,1.0,15.0,8.0,0.0,-4.0,0.05127629255996378,0.0
2020-02-17,0.0,0.0,14.0,8.0,3.0,-1.0,0.05127629255996378,0.0
2020-02-18,0.0,-1.0,16.0,10.0,4.0,-1.0,0.10255258511992756,100.0
2020-02-19,0.0,0.0,14.0,8.0,3.0,-1.0,0.10255258511992756,100.0
2020-02-20,1.0,-1.0,13.0,7.0,3.0,-1.0,0.10255258511992756,100.0
2020-02-21,3.0,-1.0,18.0,10.0,3.0,-2.0,0.10255258511992756,100.0
2020-02-22,0.0,-2.0,33.0,9.0,1.0,-3.0,0.10255258511992756,100.0
2020-02-23,2.0,5.0,20.0,15.0,1.0,-4.0,0.10255258511992756,100.0
2020-02-24,2.0,1.0,23.0,11.0,3.0,-2.0,0.2051051702398551,300.0
2020-02-25,2.0,5.0,17.0,13.0,3.0,-1.0,0.15382887767989134,50.0
2020-02-26,3.0,6.0,20.0,13.0,3.0,-2.0,0.2563814627998189,150.0
2020-02-27,21.0,21.0,24.0,21.0,0.0,-6.0,0.4102103404797102,300.0
2020-02-28,-25.0,-66.0,45.0,-22.0,-66.0,6.0,0.5640392181596016,450.0
2020-02-29,-16.0,-2.0,-12.0,-16.0,-11.0,-1.0,0.6153155107195654,500.0
2020-03-01,-5.0,-7.0,-21.0,1.0,-1.0,-7.0,0.8204206809594204,700.0
2020-03-02,4.0,4.0,12.0,6.0,-15.0,0.0,1.0255258511992755,400.0
2020-03-03,1.0,3.0,6.0,8.0,4.0,-1.0,1.2819073139990944,733.3333333333333
2020-03-04,2.0,3.0,19.0,8.0,0.0,0.0,1.384459899119022,439.99999999999994
2020-03-05,2.0,3.0,6.0,4.0,3.0,-1.0,1.6921176544788048,312.5
2020-03-06,3.0,1.0,20.0,6.0,-1.0,-1.0,1.7946702395987322,218.18181818181816
2020-03-07,1.0,-3.0,26.0,4.0,1.0,-2.0,2.3074331651983697,274.9999999999999
2020-03-08,11.0,9.0,22.0,14.0,4.0,-4.0,2.5125383354382254,206.25
2020-03-09,1.0,0.0,15.0,5.0,3.0,-1.0,4.050827112237139,295.0
2020-03-10,1.0,9.0,15.0,5.0,3.0,-2.0,5.896773644395834,359.99999999999994
2020-03-11,-2.0,10.0,12.0,2.0,2.0,-1.0,7.588891298874639,448.1481481481482
2020-03-12,-7.0,18.0,-1.0,-7.0,0.0,0.0,9.691219293833154,472.72727272727263
2020-03-13,-29.0,31.0,-27.0,-28.0,-7.0,4.0,13.793322698630256,668.5714285714286
2020-03-14,-64.0,-10.0,-62.0,-55.0,-26.0,13.0,16.869900252228085,631.1111111111113
2020-03-15,-88.0,-56.0,-84.0,-71.0,-49.0,16.0,19.94647780582591,693.8775510204082
2020-03-16,-80.0,-34.0,-75.0,-72.0,-52.0,21.0,22.971779066863775,467.0886075949368
2020-03-17,-85.0,-47.0,-81.0,-78.0,-61.0,25.0,26.356014375821385,346.9565217391305
2020-03-18,-85.0,-46.0,-80.0,-81.0,-63.0,26.0,28.919829003819572,281.0810810810811
