date,retail,grocery,parks,transit,workplaces,residential,ia7,growth_rate
2020-02-15,17.0,12.0,61.0,12.0,3.0,-4.0,0.0,-100.0
2020-02-16,19.0,,29.0,23.0,5.0,-3.0,0.0,-100.0
2020-02-17,0.0,6.0,4.0,-9.0,4.0,-1.0,0.0,-100.0
2020-02-18,6.0,5.0,37.0,9.0,3.0,-2.0,0.0,-100.0
2020-02-19,6.0,7.0,30.0,9.0,3.0,-2.0,0.0,-100.0
2020-02-20,13.0,4.0,44.0,16.0,-8.0,-4.0,0.0,-100.0
2020-02-21,5.0,-2.0,51.0,15.0,-9.0,-2.0,0.0,
2020-02-22,15.0,9.0,112.0,13.0,6.0,-4.0,0.0,
2020-02-23,32.0,,85.0,39.0,6.0,-6.0,0.0,
2020-02-24,6.0,8.0,72.0,14.0,-12.0,-2.0,0.0,
2020-02-25,5.0,5.0,57.0,9.0,1.0,-1.0,1.1250618784033122,
2020-02-26,2.0,4.0,24.0,0.0,0.0,-1.0,2.2501237568066244,
2020-02-27,5.0,1.0,24.0,9.0,4.0,-1.0,3.3751856352099363,
2020-02-28,12.0,7.0,54.0,22.0,5.0,-2.0,3.3751856352099363,
2020-02-29,8.0,14.0,45.0,4.0,0.0,-1.0,4.500247513613249,
2020-03-01,13.0,-1.0,-2.0,12.0,4.0,0.0,4.500247513613249,
2020-03-02,1.0,5.0,9.0,3.0,4.0,0.0,6.750371270419873,
2020-03-03,1.0,3.0,9.0,8.0,4.0,0.0,6.7503712704198735,500.0000000000001
2020-03-04,0.0,5.0,13.0,7.0,2.0,0.0,12.375680662436434,450.0
2020-03-05,5.0,-1.0,-1.0,19.0,3.0,0.0,15.750866297646372,366.6666666666667
2020-03-06,3.0,2.0,6.0,9.0,2.0,0.0,21.376175689662933,533.3333333333334
2020-03-07,12.0,9.0,43.0,3.0,3.0,-1.0,28.126546960082806,525.0000000000001
2020-03-08,21.0,7.0,19.0,17.0,8.0,-2.0,37.127041987309305,725.0000000000002
2020-03-09,0.0,4.0,30.0,4.0,5.0,-1.0,52.877908284955666,683.3333333333333
2020-03-10,3.0,12.0,44.0,14.0,4.0,-2.0,64.1285270689888,850.0000000000002
2020-03-11,3.0,14.0,60.0,14.0,4.0,-2.0,76.50420773142523,518.1818181818181
2020-03-12,-4.0,17.0,34.0,8.0,2.0,-1.0,106.88087844831466,578.5714285714287
2020-03-13,-27.0,26.0,0.0,-9.0,-3.0,3.0,145.1329823140273,578.9473684210526
2020-03-14,-67.0,-9.0,-34.0,-22.0,-26.0,11.0,194.63570496377298,591.9999999999999
2020-03-15,-88.0,-58.0,-73.0,-65.0,-46.0,16.0,244.13842761351876,557.5757575757575
2020-03-16,-85.0,-39.0,-69.0,-58.0,-44.0,20.0,301.51658341208764,470.2127659574469
2020-03-17,-84.0,-40.0,-66.0,-57.0,-50.0,22.0,365.6451104810765,470.17543859649106
2020-03-18,-84.0,-44.0,-67.0,-61.0,-51.0,23.0,400.5220287115792,423.52941176470597
2020-03-19,-85.0,-51.0,-68.0,-64.0,-53.0,24.0,448.8996894829216,320.0
2020-03-20,-88.0,-47.0,-75.0,-77.0,-54.0,29.0,488.2768552270376,236.4341085271318
2020-03-21,-93.0,-55.0,-85.0,-77.0,-58.0,26.0,524.2788353359435,169.36416184971102
2020-03-22,-94.0,-77.0,-87.0,-86.0,-60.0,,509.6530309167004,108.75576036866357
2020-03-23,-86.0,-52.0,-70.0,-72.0,-56.0,24.0,492.7771027406507,63.43283582089552
2020-03-24,-86.0,-53.0,-66.0,-72.0,-57.0,25.0,443.27438009090497,21.23076923076923
2020-03-25,-87.0,-56.0,-71.0,-72.0,-58.0,25.0,447.77462760451823,11.797752808988736
2020-03-26,-87.0,-59.0,-72.0,-76.0,-59.0,26.0,398.2719049547725,-11.27819548872182
2020-03-27,-89.0,-52.0,-75.0,-78.0,-59.0,29.0,349.8942441834301,-28.341013824884797
2020-03-28,-94.0,-59.0,-80.0,-82.0,-58.0,25.0,279.01534584402145,-46.78111587982833
2020-03-29,-94.0,-79.0,-86.0,-89.0,-59.0,,261.0143557895684,-48.785871964679906
2020-03-30,-91.0,-60.0,-75.0,-76.0,-64.0,26.0,234.01287070788894,-52.51141552511416
2020-03-31,-96.0,-64.0,-76.0,-77.0,-68.0,29.0,236.26299446469554,-46.70050761421321
2020-04-01,-95.0,-58.0,-76.0,-71.0,-67.0,29.0,213.7617568966293,-52.26130653266332
2020-04-02,-94.0,-61.0,-77.0,-73.0,-67.0,29.0,212.63669501822602,-46.61016949152541
2020-04-03,-91.0,-56.0,-78.0,-75.0,-64.0,33.0,199.13595247738624,-43.08681672025724
2020-04-04,-94.0,-60.0,-84.0,-77.0,-60.0,26.0,201.38607623419287,-27.8225806451613
2020-04-05,-95.0,-82.0,-87.0,-85.0,-62.0,,189.01039557175648,-27.58620689655171
2020-04-06,-90.0,-56.0,-75.0,-71.0,-66.0,27.0,187.88533369335315,-19.711538461538446
2020-04-07,-90.0,-46.0,-71.0,-67.0,-66.0,27.0,181.13496242293326,-23.33333333333333
2020-04-08,-89.0,-43.0,-72.0,-74.0,-66.0,26.0,162.00891049007697,-24.21052631578946
2020-04-09,-95.0,-87.0,-83.0,-88.0,-81.0,34.0,140.63273480041403,-33.862433862433875
