date,retail,grocery,parks,transit,workplaces,residential,ia7,growth_rate
2020-02-15,4.0,-2.0,24.0,6.0,0.0,-1.0,0.0,-100.0
2020-02-16,0.0,-3.0,-2.0,0.0,-3.0,-1.0,0.0,-100.0
2020-02-17,1.0,0.0,6.0,5.0,5.0,0.0,0.0,-100.0
2020-02-18,1.0,0.0,7.0,2.0,4.0,-1.0,0.0,-100.0
2020-02-19,2.0,3.0,15.0,2.0,3.0,0.0,0.0,-100.0
2020-02-20,2.0,0.0,10.0,4.0,3.0,0.0,0.0,-100.0
2020-02-21,4.0,5.0,20.0,15.0,3.0,-1.0,0.12243318820919424,
2020-02-22,12.0,6.0,64.0,41.0,5.0,-2.0,0.2448663764183885,
2020-02-23,11.0,10.0,40.0,36.0,1.0,-3.0,0.2448663764183885,
2020-02-24,4.0,2.0,35.0,3.0,-14.0,2.0,0.36729956462758273,
2020-02-25,-1.0,5.0,10.0,2.0,1.0,0.0,0.36729956462758273,
2020-02-26,-5.0,2.0,-3.0,-4.0,3.0,1.0,0.36729956462758273,
2020-02-27,0.0,3.0,0.0,1.0,4.0,0.0,0.36729956462758273,
2020-02-28,0.0,5.0,6.0,3.0,6.0,-1.0,0.2448663764183885,100.0
2020-02-29,3.0,1.0,21.0,3.0,1.0,-2.0,0.2448663764183885,0.0
2020-03-01,3.0,6.0,9.0,1.0,3.0,-2.0,0.36729956462758273,50.0
2020-03-02,-6.0,-2.0,-19.0,-5.0,4.0,1.0,0.489732752836777,33.33333333333333
2020-03-03,-2.0,1.0,-6.0,-2.0,4.0,0.0,0.8570323174643597,133.33333333333331
2020-03-04,1.0,3.0,11.0,0.0,5.0,0.0,1.3467650703011367,266.6666666666667
2020-03-05,3.0,3.0,5.0,2.0,4.0,0.0,2.2037973877654964,499.9999999999999
2020-03-06,0.0,1.0,-6.0,-1.0,0.0,1.0,3.060829705229856,1150.0
2020-03-07,3.0,0.0,18.0,2.0,1.0,0.0,4.530027963740187,1750.0
2020-03-08,6.0,5.0,21.0,0.0,1.0,-2.0,5.264627092995353,1333.3333333333335
2020-03-09,-2.0,1.0,-3.0,-1.0,4.0,0.0,6.488958975087295,1225.0
2020-03-10,0.0,11.0,4.0,-2.0,4.0,-1.0,8.570323174643597,900.0
2020-03-11,-3.0,16.0,14.0,-4.0,4.0,0.0,10.6516873741999,690.9090909090909
2020-03-12,-7.0,33.0,1.0,-7.0,1.0,0.0,13.467650703011367,511.11111111111114
2020-03-13,-28.0,28.0,-12.0,-30.0,-19.0,8.0,17.385512725705585,468.00000000000017
2020-03-14,-71.0,-11.0,-33.0,-48.0,-30.0,13.0,20.56877561914463,354.05405405405406
2020-03-15,-87.0,-48.0,-71.0,-71.0,-45.0,16.0,24.24177126542046,360.4651162790697
2020-03-16,-80.0,-38.0,-71.0,-73.0,-49.0,23.0,30.485863864089367,369.811320754717
2020-03-17,-82.0,-36.0,-67.0,-73.0,-56.0,24.0,35.383191392457135,312.85714285714283
2020-03-18,-83.0,-39.0,-64.0,-76.0,-57.0,25.0,39.423486603360544,270.1149425287356
2020-03-19,-84.0,-43.0,-68.0,-78.0,-60.0,27.0,42.6067494967996,216.36363636363635
2020-03-20,-86.0,-43.0,-71.0,-81.0,-59.0,30.0,45.912445578447844,164.0845070422535
2020-03-21,-91.0,-55.0,-82.0,-85.0,-60.0,25.0,47.38164383695817,130.3571428571429
2020-03-22,-94.0,-72.0,-89.0,-89.0,-63.0,21.0,49.70787441293286,105.05050505050507
2020-03-23,-84.0,-44.0,-73.0,-81.0,-62.0,27.0,50.19760716576964,64.65863453815261
2020-03-24,-86.0,-49.0,-71.0,-81.0,-64.0,28.0,53.503303247417875,51.21107266435985
2020-03-25,-86.0,-49.0,-73.0,-81.0,-65.0,29.0,53.136003682790296,34.78260869565217
2020-03-26,-87.0,-52.0,-75.0,-82.0,-65.0,30.0,54.36033556488224,27.58620689655169
2020-03-27,-87.0,-47.0,-74.0,-84.0,-64.0,31.0,55.0949346941374,19.99999999999997
2020-03-28,-92.0,-58.0,-83.0,-86.0,-62.0,25.0,56.93143251727532,20.155038759689916
2020-03-29,-93.0,-75.0,-88.0,-89.0,-62.0,21.0,56.19683338802015,13.054187192118217
2020-03-30,-88.0,-55.0,-77.0,-84.0,-70.0,30.0,55.70710063518338,10.975609756097548
2020-03-31,-92.0,-53.0,-79.0,-84.0,-73.0,31.0,52.89113730637192,-1.1441647597253746
2020-04-01,-93.0,-56.0,-81.0,-84.0,-73.0,32.0,53.748169623836276,1.1520737327189057
2020-04-02,-92.0,-51.0,-79.0,-84.0,-73.0,33.0,50.80977310681561,-6.53153153153152
2020-04-03,-88.0,-47.0,-77.0,-85.0,-71.0,34.0,53.25843687099949,-3.3333333333333437
2020-04-04,-92.0,-58.0,-83.0,-87.0,-64.0,26.0,51.666805424279964,-9.247311827956983
2020-04-05,-94.0,-77.0,-88.0,-90.0,-65.0,22.0,50.075173977560446,-10.893246187363815
2020-04-06,-86.0,-50.0,-74.0,-83.0,-71.0,30.0,46.15731195486623,-17.14285714285714
2020-04-07,-88.0,-47.0,-74.0,-83.0,-72.0,30.0,42.36188312038121,-19.90740740740742
2020-04-08,-87.0,-39.0,-73.0,-82.0,-71.0,30.0,41.50485080291685,-22.779043280182233
