date,retail,grocery,parks,transit,workplaces,residential,ia7,growth_rate
2020-02-15,7.0,2.0,40.0,32.0,3.0,-3.0,0.0,
2020-02-16,-7.0,1.0,-4.0,42.0,0.0,-4.0,0.0,
2020-02-17,-3.0,4.0,13.0,1.0,4.0,-1.0,0.0,
2020-02-18,0.0,1.0,3.0,4.0,4.0,0.0,0.0,
2020-02-19,6.0,5.0,23.0,13.0,5.0,-3.0,0.0,
2020-02-20,1.0,3.0,57.0,39.0,-14.0,-2.0,0.0,
2020-02-21,6.0,-2.0,155.0,69.0,-17.0,-2.0,0.7452897686620558,
2020-02-22,32.0,3.0,248.0,,1.0,-4.0,0.7452897686620558,
2020-02-23,12.0,13.0,96.0,177.0,5.0,-7.0,0.7452897686620558,
2020-02-24,0.0,3.0,25.0,18.0,-6.0,-1.0,0.7452897686620558,
2020-02-25,1.0,5.0,13.0,14.0,4.0,-1.0,0.7452897686620558,
2020-02-26,2.0,1.0,11.0,4.0,5.0,-1.0,1.4905795373241115,
2020-02-27,2.0,0.0,14.0,18.0,3.0,-1.0,1.4905795373241115,
2020-02-28,5.0,4.0,36.0,17.0,5.0,-2.0,0.7452897686620558,0.0
2020-02-29,6.0,3.0,24.0,41.0,3.0,-2.0,1.4905795373241115,100.0
2020-03-01,-12.0,-1.0,-21.0,19.0,4.0,-3.0,1.4905795373241115,100.0
2020-03-02,-6.0,1.0,-14.0,6.0,4.0,1.0,2.235869305986167,199.99999999999994
2020-03-03,-3.0,2.0,-5.0,7.0,4.0,1.0,2.235869305986167,199.99999999999994
2020-03-04,2.0,3.0,13.0,1.0,5.0,-1.0,1.4905795373241115,0.0
2020-03-05,8.0,5.0,27.0,30.0,1.0,0.0,2.235869305986167,49.99999999999998
2020-03-06,2.0,0.0,4.0,13.0,-1.0,1.0,2.981159074648223,300.0
2020-03-07,7.0,1.0,2.0,19.0,0.0,0.0,5.217028380634391,250.0
2020-03-08,0.0,-5.0,-17.0,30.0,4.0,-3.0,8.943477223944669,499.9999999999999
2020-03-09,-4.0,1.0,5.0,8.0,4.0,0.0,11.924636298592894,433.3333333333335
2020-03-10,0.0,9.0,11.0,13.0,4.0,-1.0,17.88695444788934,700.0000000000002
2020-03-11,1.0,13.0,22.0,7.0,4.0,-2.0,22.358693059861675,1400.0
2020-03-12,-7.0,22.0,10.0,9.0,2.0,0.0,29.066300977820177,1200.0000000000005
2020-03-13,-25.0,33.0,-8.0,-6.0,-3.0,2.0,35.77390889577868,1100.0000000000002
2020-03-14,-59.0,-8.0,-49.0,-27.0,-27.0,10.0,42.48151681373718,714.2857142857144
2020-03-15,-87.0,-60.0,-80.0,-62.0,-49.0,14.0,46.20796565704746,416.6666666666667
2020-03-16,-77.0,-36.0,-66.0,-65.0,-42.0,18.0,57.38731218697829,381.24999999999983
2020-03-17,-80.0,-44.0,-69.0,-61.0,-48.0,21.0,65.58549964226091,266.66666666666663
2020-03-18,-80.0,-42.0,-60.0,-65.0,-49.0,20.0,69.31194848557118,209.99999999999997
2020-03-19,-83.0,-48.0,-63.0,-70.0,-53.0,22.0,78.25542570951586,169.2307692307692
2020-03-20,-85.0,-45.0,-69.0,-78.0,-53.0,26.0,89.4347722394467,150.0
2020-03-21,-91.0,-58.0,-85.0,-86.0,-61.0,25.0,89.4347722394467,110.52631578947367
2020-03-22,-95.0,-84.0,-91.0,-86.0,-67.0,22.0,97.63295969472931,111.29032258064515
2020-03-23,-83.0,-50.0,-72.0,-73.0,-56.0,23.0,96.14238015740521,67.53246753246758
2020-03-24,-83.0,-52.0,-67.0,-70.0,-57.0,24.0,92.41593131409492,40.90909090909092
2020-03-25,-84.0,-55.0,-67.0,-72.0,-58.0,24.0,102.84998807536371,48.387096774193594
2020-03-26,-84.0,-55.0,-70.0,-69.0,-59.0,25.0,105.08585738134988,34.2857142857143
2020-03-27,-86.0,-51.0,-71.0,-81.0,-58.0,28.0,105.08585738134988,17.500000000000004
2020-03-28,-92.0,-62.0,-86.0,,-61.0,25.0,105.83114715001193,18.333333333333336
2020-03-29,-94.0,-85.0,-90.0,,-65.0,21.0,102.84998807536371,5.343511450381699
2020-03-30,-88.0,-57.0,-76.0,-75.0,-65.0,26.0,106.57643691867398,10.852713178294549
2020-03-31,-95.0,-58.0,-81.0,-70.0,-68.0,29.0,107.32172668733604,16.129032258064523
2020-04-01,-94.0,-55.0,-78.0,-75.0,-68.0,28.0,105.08585738134988,2.1739130434782705
2020-04-02,-93.0,-55.0,-77.0,-77.0,-67.0,29.0,97.63295969472931,-7.092198581560294
2020-04-03,-88.0,-51.0,-77.0,-82.0,-65.0,32.0,90.92535177677081,-13.475177304964546
2020-04-04,-92.0,-61.0,-87.0,,-63.0,26.0,87.94419270212258,-16.901408450704235
2020-04-05,-95.0,-86.0,-91.0,,-67.0,22.0,87.19890293346053,-15.217391304347839
2020-04-06,-85.0,-55.0,-74.0,-83.0,-65.0,26.0,87.19890293346054,-18.181818181818166
2020-04-07,-86.0,-45.0,-76.0,-78.0,-66.0,27.0,85.70832339613642,-20.138888888888886
2020-04-08,-85.0,-33.0,-71.0,-80.0,-66.0,24.0,79.00071547817792,-24.822695035460995
2020-04-09,-91.0,-73.0,-79.0,,-82.0,32.0,76.01955640352969,-22.137404580152666
2020-04-10,-96.0,-95.0,-85.0,,-87.0,40.0,67.07607917958501,-26.22950819672133
2020-04-11,-92.0,-51.0,-87.0,,-64.0,26.0,64.0949201049368,-27.118644067796605
2020-04-12,-95.0,-86.0,-91.0,-86.0,-67.0,22.0,53.66086334366801,-38.46153846153847
2020-04-13,-85.0,-53.0,-68.0,-74.0,-63.0,24.0,40.990937276413064,-52.991452991453
2020-04-14,-86.0,-65.0,-72.0,-77.0,-67.0,25.0,34.283329358454566,-60.00000000000001
2020-04-15,-83.0,-44.0,-66.0,-74.0,-58.0,23.0,26.085141903171955,-66.98113207547169
2020-04-16,-84.0,-49.0,-66.0,-73.0,-58.0,24.0,20.122823753875505,-73.52941176470588
2020-04-17,-86.0,-48.0,-69.0,-80.0,-57.0,27.0,17.141664679227283,-74.44444444444443
2020-04-18,-92.0,-57.0,-83.0,-82.0,-58.0,24.0,14.16050560457906,-77.90697674418605
2020-04-19,-95.0,-84.0,-92.0,,-65.0,22.0,13.415215835917003,-75.0
2020-04-20,-82.0,-53.0,-65.0,-74.0,-55.0,22.0,10.43405676126878,-74.54545454545455
2020-04-21,-82.0,-49.0,-68.0,-68.0,-56.0,23.0,8.198187455282614,-76.08695652173914
2020-04-22,-82.0,-40.0,-64.0,-70.0,-57.0,22.0,8.198187455282612,-68.57142857142858
2020-04-23,-91.0,-92.0,-75.0,-82.0,-81.0,32.0,6.7076079179585015,-66.66666666666667
2020-04-24,-85.0,-38.0,-65.0,-75.0,-60.0,28.0,6.7076079179585015,-60.86956521739131
2020-04-25,-90.0,-53.0,-82.0,-83.0,-58.0,24.0,5.21702838063439,-63.15789473684211
2020-04-26,-92.0,-76.0,-86.0,-79.0,-61.0,20.0,5.962318149296446,-55.55555555555556
2020-04-27,-79.0,-48.0,-60.0,-68.0,-52.0,21.0,5.21702838063439,-50.0
2020-04-28,-79.0,-44.0,-56.0,-71.0,-53.0,21.0,4.471738611972334,-45.45454545454546
2020-04-29,-78.0,-41.0,-52.0,-64.0,-53.0,20.0,3.726448843310279,-54.54545454545454
2020-04-30,-78.0,-32.0,-52.0,-60.0,-54.0,20.0,2.981159074648223,-55.55555555555556
2020-05-01,-92.0,-90.0,-70.0,-85.0,-82.0,35.0,2.981159074648223,-55.55555555555556
2020-05-02,-83.0,-31.0,-61.0,-63.0,-50.0,19.0,2.981159074648223,-42.85714285714285
2020-05-03,-85.0,-49.0,-67.0,-57.0,-49.0,15.0,1.4905795373241115,-75.0
2020-05-04,-70.0,-34.0,-27.0,-44.0,-47.0,16.0,0.7452897686620558,-85.71428571428571
2020-05-05,-72.0,-32.0,-29.0,-39.0,-48.0,17.0,1.4905795373241115,-66.66666666666666
2020-05-06,-71.0,-31.0,-24.0,-44.0,-47.0,16.0,0.7452897686620558,-80.0
2020-05-07,-73.0,-34.0,-32.0,-48.0,-49.0,17.0,1.4905795373241115,-50.0
2020-05-08,-76.0,-34.0,-35.0,-58.0,-46.0,20.0,2.235869305986167,-25.00000000000001
