date,retail,grocery,parks,transit,workplaces,residential,ia7,growth_rate
2020-02-15,9.0,-2.0,39.0,4.0,0.0,-2.0,0.0,
2020-02-16,9.0,6.0,40.0,5.0,0.0,-2.0,0.0,
2020-02-17,-2.0,1.0,4.0,-1.0,4.0,-1.0,0.0,
2020-02-18,0.0,-2.0,10.0,0.0,3.0,-1.0,0.0,
2020-02-19,1.0,-1.0,15.0,-1.0,4.0,-1.0,0.0,
2020-02-20,1.0,0.0,17.0,2.0,3.0,-1.0,0.0,
2020-02-21,4.0,-1.0,20.0,11.0,5.0,-2.0,0.0,
2020-02-22,12.0,0.0,73.0,22.0,6.0,-3.0,0.0,
2020-02-23,12.0,16.0,58.0,19.0,3.0,-4.0,0.0,
2020-02-24,2.0,0.0,34.0,-2.0,-12.0,0.0,0.0,
2020-02-25,-2.0,1.0,20.0,-2.0,-11.0,0.0,0.0,
2020-02-26,-2.0,3.0,15.0,-1.0,4.0,-1.0,0.0,
2020-02-27,0.0,2.0,17.0,2.0,3.0,-1.0,0.0,
2020-02-28,7.0,6.0,42.0,10.0,2.0,-1.0,0.14209147280653395,
2020-02-29,7.0,5.0,24.0,-1.0,-1.0,0.0,0.5683658912261358,
2020-03-01,8.0,5.0,2.0,2.0,-1.0,0.0,2.8418294561306787,
2020-03-02,0.0,5.0,-8.0,-4.0,0.0,1.0,4.831110075422154,
2020-03-03,-4.0,2.0,-9.0,-7.0,3.0,0.0,6.394116276294027,
2020-03-04,-1.0,5.0,9.0,-4.0,3.0,-1.0,8.525488368392036,
2020-03-05,-1.0,3.0,-3.0,-6.0,2.0,0.0,10.941043406103113,
2020-03-06,0.0,3.0,7.0,1.0,1.0,0.0,13.924964335040325,9700.0
2020-03-07,7.0,1.0,34.0,-1.0,3.0,-1.0,18.32979999204288,3125.0
2020-03-08,8.0,7.0,33.0,1.0,1.0,-1.0,21.455812393786623,655.0
2020-03-09,-2.0,5.0,10.0,-3.0,3.0,-1.0,25.718556577982643,432.35294117647055
2020-03-10,0.0,34.0,14.0,-3.0,2.0,-2.0,34.67031936479428,442.22222222222223
2020-03-11,-3.0,19.0,15.0,-11.0,-4.0,1.0,42.201167423540575,394.99999999999994
