date,retail,grocery,parks,transit,workplaces,residential,ia7,growth_rate
2020-02-15,-1.0,-2.0,25.0,-2.0,-2.0,-1.0,0.19291053773812394,150.0
2020-02-16,-3.0,-5.0,6.0,-1.0,-2.0,-2.0,0.19291053773812394,150.0
2020-02-17,-2.0,0.0,8.0,4.0,3.0,0.0,0.2700747528333735,600.0
2020-02-18,-7.0,-3.0,-11.0,-3.0,2.0,1.0,0.23149264528574875,200.00000000000006
2020-02-19,-2.0,-1.0,6.0,2.0,2.0,0.0,0.19291053773812394,66.66666666666663
2020-02-20,-2.0,-2.0,12.0,4.0,2.0,0.0,0.3086568603809983,300.0
2020-02-21,-1.0,-1.0,13.0,4.0,2.0,-1.0,0.34723896792862313,350.0
2020-02-22,-4.0,-3.0,34.0,0.0,-1.0,-1.0,0.23149264528574873,19.999999999999996
2020-02-23,-1.0,-2.0,16.0,1.0,0.0,-2.0,0.3472389679286231,79.99999999999999
2020-02-24,-1.0,1.0,18.0,3.0,2.0,0.0,0.5015673981191222,85.7142857142857
2020-02-25,-3.0,5.0,18.0,3.0,3.0,0.0,0.733060043404871,216.6666666666666
2020-02-26,-2.0,4.0,18.0,3.0,3.0,0.0,0.8873884735953701,359.99999999999994
2020-02-27,1.0,1.0,17.0,4.0,2.0,0.0,1.1574632264287437,274.99999999999994
2020-02-28,2.0,3.0,20.0,6.0,2.0,-1.0,1.6590306245478659,377.77777777777766
2020-02-29,2.0,-1.0,53.0,10.0,1.0,-2.0,1.8905232698336145,716.6666666666666
2020-03-01,0.0,4.0,22.0,19.0,2.0,-2.0,2.507836990595611,622.2222222222222
2020-03-02,-7.0,-2.0,-15.0,0.0,1.0,2.0,2.893658066071859,476.9230769230769
2020-03-03,-2.0,1.0,5.0,1.0,2.0,0.0,3.3180612490957317,352.6315789473684
2020-03-04,1.0,2.0,17.0,6.0,2.0,0.0,3.858210754762479,334.78260869565213
2020-03-05,1.0,1.0,10.0,5.0,2.0,0.0,4.321196045333976,273.3333333333333
2020-03-06,2.0,2.0,10.0,7.0,-1.0,-1.0,5.2857487340245966,218.60465116279073
2020-03-07,-3.0,0.0,22.0,15.0,2.0,-1.0,6.829033035929587,261.2244897959184
