date,retail,grocery,parks,transit,workplaces,residential,ia7,growth_rate
2020-02-15,-3.0,-4.0,0.0,2.0,1.0,-3.0,0.7682719067932523,
2020-02-16,1.0,-3.0,53.0,11.0,-2.0,-3.0,0.7682719067932523,
2020-02-17,2.0,2.0,20.0,10.0,3.0,-1.0,0.7682719067932523,
2020-02-18,-1.0,-4.0,16.0,5.0,4.0,-2.0,0.5762039300949392,200.0
2020-02-19,-1.0,-2.0,17.0,7.0,3.0,-2.0,0.19206797669831308,-66.66666666666666
2020-02-20,-2.0,-1.0,13.0,9.0,3.0,-1.0,0.19206797669831308,-66.66666666666666
2020-02-21,-4.0,-3.0,16.0,11.0,5.0,-2.0,0.0,-100.0
2020-02-22,-5.0,-6.0,19.0,7.0,1.0,-4.0,0.0,-100.0
2020-02-23,12.0,1.0,71.0,25.0,0.0,-6.0,0.19206797669831308,-75.0
2020-02-24,8.0,2.0,104.0,16.0,-15.0,-2.0,0.5762039300949392,-25.0
2020-02-25,3.0,-3.0,44.0,7.0,-13.0,-1.0,0.7682719067932523,33.33333333333335
2020-02-26,-3.0,-1.0,22.0,4.0,-12.0,0.0,0.7682719067932523,300.0
2020-02-27,-4.0,2.0,9.0,12.0,2.0,-1.0,0.9603398834915654,400.0
2020-02-28,-5.0,1.0,17.0,9.0,4.0,-2.0,1.1524078601898784,
2020-02-29,-3.0,3.0,-15.0,0.0,-1.0,-1.0,1.1524078601898784,
2020-03-01,-4.0,-10.0,14.0,10.0,0.0,-1.0,1.7286117902848177,800.0
2020-03-02,-3.0,4.0,1.0,11.0,2.0,-1.0,2.881019650474696,400.0
2020-03-03,-3.0,0.0,4.0,5.0,3.0,-1.0,3.4572235805696354,350.0
2020-03-04,-4.0,3.0,10.0,8.0,3.0,-1.0,4.99376739415614,550.0
2020-03-05,-5.0,0.0,-5.0,6.0,2.0,0.0,6.3382432310443315,560.0
2020-03-06,-6.0,-2.0,-4.0,4.0,3.0,0.0,7.49065109123421,550.0
2020-03-07,0.0,0.0,7.0,9.0,1.0,-3.0,9.219262881519027,700.0
