date,retail,grocery,parks,transit,workplaces,residential,ia7,growth_rate
2020-02-15,-3.0,-5.0,31.0,1.0,0.0,-3.0,0.3449932424448636,
2020-02-16,6.0,-1.0,-3.0,9.0,1.0,-2.0,0.43124155305607953,
2020-02-17,-4.0,1.0,-13.0,0.0,2.0,0.0,0.3449932424448636,300.0
2020-02-18,-3.0,-1.0,6.0,2.0,3.0,0.0,0.3449932424448636,300.0
2020-02-19,-1.0,-2.0,17.0,1.0,3.0,-1.0,0.2587449318336477,50.00000000000002
2020-02-20,0.0,2.0,6.0,3.0,3.0,-1.0,0.3449932424448636,100.0
2020-02-21,-2.0,-2.0,22.0,7.0,2.0,-2.0,0.43124155305607953,150.0
2020-02-22,-5.0,-6.0,44.0,6.0,3.0,-2.0,0.5174898636672954,50.00000000000002
2020-02-23,0.0,4.0,10.0,9.0,2.0,-3.0,0.43124155305607953,0.0
2020-02-24,6.0,5.0,40.0,1.0,-12.0,0.0,0.6037381742785113,74.99999999999997
2020-02-25,-7.0,-4.0,-17.0,-8.0,-11.0,3.0,0.7762347955009431,125.0
2020-02-26,-8.0,-4.0,-21.0,-6.0,-5.0,2.0,0.9487314167233749,266.66666666666663
2020-02-27,-6.0,2.0,-18.0,-3.0,-2.0,1.0,1.2937246591682385,275.0
2020-02-28,0.0,1.0,26.0,8.0,-1.0,-1.0,1.724966212224318,299.99999999999994
2020-02-29,-3.0,1.0,-13.0,1.0,0.0,0.0,2.0699594546691813,299.9999999999999
2020-03-01,5.0,2.0,-13.0,13.0,2.0,-1.0,3.7949256668934996,779.9999999999999
2020-03-02,-9.0,-1.0,-27.0,-5.0,1.0,1.0,4.657408773005659,671.4285714285716
2020-03-03,-8.0,-1.0,-21.0,-5.0,2.0,1.0,5.951133432173898,666.6666666666667
2020-03-04,-3.0,-1.0,6.0,0.0,2.0,0.0,7.331106401953352,672.7272727272727
2020-03-05,-7.0,2.0,-30.0,-5.0,1.0,1.0,9.142320924788887,606.6666666666667
2020-03-06,-13.0,-5.0,-34.0,-8.0,-2.0,3.0,10.522293894568339,509.99999999999994
2020-03-07,-5.0,-2.0,-15.0,-10.0,-1.0,1.0,11.643521932514146,462.5
2020-03-08,-1.0,3.0,-13.0,5.0,0.0,0.0,13.627233076572113,259.0909090909091
2020-03-09,-6.0,3.0,-14.0,-4.0,1.0,0.0,17.508407054076827,275.9259259259259
2020-03-10,-5.0,16.0,12.0,-3.0,1.0,0.0,24.4082719029741,310.1449275362318
2020-03-11,-6.0,14.0,23.0,-5.0,0.0,0.0,31.82562661553867,334.1176470588236
2020-03-12,-17.0,33.0,-26.0,-15.0,-3.0,2.0,39.760471191770534,334.9056603773585
2020-03-13,-39.0,29.0,-25.0,-32.0,-20.0,10.0,55.8889052760679,431.14754098360663
2020-03-14,-68.0,-10.0,-35.0,-55.0,-30.0,14.0,71.32735287547555,512.5925925925926
