date,retail,grocery,parks,transit,workplaces,residential,ia7,growth_rate
2020-02-15,6.0,4.0,15.0,6.0,-1.0,-2.0,0.0,
2020-02-16,11.0,-1.0,17.0,12.0,1.0,-2.0,0.0,
2020-02-17,2.0,3.0,19.0,19.0,5.0,-2.0,0.0,
2020-02-18,1.0,0.0,17.0,12.0,6.0,-2.0,0.0,
2020-02-19,0.0,0.0,16.0,6.0,5.0,-2.0,0.0,
2020-02-20,3.0,3.0,9.0,15.0,4.0,-2.0,0.0,
2020-02-21,5.0,3.0,19.0,22.0,4.0,-3.0,0.0,
2020-02-22,10.0,7.0,50.0,7.0,5.0,-4.0,0.0,
2020-02-23,29.0,35.0,87.0,18.0,11.0,-6.0,0.0,
2020-02-24,9.0,3.0,69.0,15.0,-11.0,-2.0,0.0,
2020-02-25,12.0,1.0,67.0,16.0,-11.0,-2.0,0.0,
2020-02-26,0.0,1.0,21.0,7.0,-11.0,-1.0,0.0,
2020-02-27,-1.0,2.0,7.0,13.0,3.0,-1.0,0.0,
2020-02-28,4.0,1.0,21.0,10.0,4.0,-2.0,0.586207705114076,
2020-02-29,0.0,3.0,3.0,-8.0,-1.0,1.0,0.586207705114076,
2020-03-01,10.0,-4.0,-6.0,8.0,3.0,0.0,1.7586231153422283,
2020-03-02,1.0,1.0,1.0,11.0,5.0,-1.0,3.5172462306844565,
2020-03-03,1.0,0.0,3.0,-5.0,7.0,-1.0,3.5172462306844565,
2020-03-04,-1.0,-1.0,7.0,-4.0,5.0,-1.0,4.103453935798533,
2020-03-05,1.0,0.0,-5.0,-3.0,3.0,0.0,5.862077051140761,
2020-03-06,0.0,-3.0,1.0,-1.0,2.0,-1.0,7.6207001664829885,1200.0
2020-03-07,6.0,-1.0,18.0,-10.0,1.0,-2.0,11.72415410228152,1900.0
2020-03-08,13.0,-3.0,17.0,7.0,4.0,-2.0,11.137946397167443,533.3333333333331
2020-03-09,1.0,1.0,27.0,10.0,6.0,-2.0,12.310361807395598,249.99999999999994
2020-03-10,-2.0,11.0,27.0,12.0,6.0,-2.0,17.586231153422283,400.0
2020-03-11,0.0,15.0,20.0,0.0,4.0,-2.0,22.27589279433489,442.8571428571428
2020-03-12,-4.0,18.0,4.0,-7.0,3.0,0.0,29.3103852557038,399.9999999999999
2020-03-13,-22.0,27.0,-21.0,-18.0,-4.0,3.0,32.827631486388256,330.7692307692308
2020-03-14,-57.0,-7.0,-38.0,-41.0,-23.0,10.0,40.448331652871246,245.00000000000003
2020-03-15,-85.0,-56.0,-64.0,-63.0,-42.0,15.0,48.65523952446831,336.84210526315786
2020-03-16,-76.0,-35.0,-60.0,-67.0,-42.0,18.0,58.034562806293515,371.4285714285713
2020-03-17,-79.0,-46.0,-59.0,-73.0,-48.0,20.0,65.06905526766243,269.9999999999999
2020-03-18,-80.0,-48.0,-57.0,-73.0,-51.0,20.0,72.68975543414541,226.3157894736841
2020-03-19,-82.0,-50.0,-63.0,-76.0,-52.0,22.0,76.20700166482987,160.0
2020-03-20,-84.0,-50.0,-69.0,-78.0,-54.0,27.0,85.00011724154102,158.9285714285714
2020-03-21,-89.0,-57.0,-78.0,-80.0,-53.0,24.0,84.41390953642694,108.69565217391303
2020-03-22,-92.0,-82.0,-78.0,-82.0,-59.0,22.0,85.58632494665508,75.9036144578313
2020-03-23,-83.0,-52.0,-60.0,-74.0,-54.0,21.0,83.2414941261988,43.43434343434349
2020-03-24,-83.0,-56.0,-60.0,-80.0,-55.0,21.0,83.82770183131288,28.82882882882887
2020-03-25,-84.0,-58.0,-61.0,-80.0,-56.0,22.0,80.31045560062843,10.483870967741971
2020-03-26,-84.0,-58.0,-65.0,-80.0,-57.0,23.0,79.13804019040026,3.8461538461538547
2020-03-27,-86.0,-56.0,-71.0,-82.0,-56.0,27.0,75.03458625460172,-11.724137931034484
2020-03-28,-89.0,-59.0,-76.0,-85.0,-53.0,23.0,68.00009379323282,-19.444444444444443
2020-03-29,-93.0,-83.0,-79.0,-88.0,-56.0,21.0,61.551809036977986,-28.082191780821898
2020-03-30,-88.0,-60.0,-66.0,-80.0,-62.0,24.0,57.44835510117945,-30.985915492957762
2020-03-31,-92.0,-58.0,-70.0,-84.0,-62.0,25.0,48.06903181935424,-42.65734265734267
2020-04-01,-93.0,-59.0,-67.0,-78.0,-63.0,25.0,52.75869346026684,-34.3065693430657
2020-04-02,-92.0,-57.0,-68.0,-83.0,-63.0,26.0,44.55178558866978,-43.7037037037037
2020-04-03,-87.0,-54.0,-72.0,-84.0,-61.0,30.0,55.68973198583723,-25.78124999999999
