date,retail,grocery,parks,transit,workplaces,residential,ia7,growth_rate
2020-02-15,-1.0,4.0,33.0,3.0,1.0,-3.0,0.20564960597535495,
2020-02-16,-2.0,2.0,21.0,4.0,-2.0,-3.0,0.3084744089630324,
2020-02-17,-1.0,6.0,22.0,4.0,4.0,-1.0,0.4112992119507099,
2020-02-18,0.0,-1.0,16.0,0.0,5.0,0.0,0.4112992119507099,300.0
2020-02-19,-1.0,3.0,22.0,5.0,4.0,-1.0,0.4112992119507099,300.0
2020-02-20,1.0,1.0,17.0,4.0,3.0,-1.0,0.3084744089630324,50.0
2020-02-21,-2.0,2.0,23.0,-3.0,2.0,-2.0,0.4112992119507099,100.0
2020-02-22,-4.0,2.0,40.0,-7.0,1.0,-3.0,0.7197736209137423,250.0
2020-02-23,8.0,5.0,41.0,4.0,-1.0,-5.0,0.7197736209137423,133.33333333333334
2020-02-24,3.0,9.0,54.0,2.0,4.0,-2.0,0.6169488179260648,50.0
2020-02-25,4.0,3.0,26.0,-4.0,4.0,-1.0,0.6169488179260648,50.0
2020-02-26,5.0,4.0,21.0,-2.0,4.0,-1.0,0.6169488179260648,50.0
2020-02-27,10.0,5.0,21.0,1.0,3.0,-1.0,0.6169488179260648,100.0
2020-02-28,7.0,6.0,30.0,1.0,3.0,-2.0,0.8225984239014197,99.99999999999997
2020-02-29,1.0,6.0,25.0,-10.0,1.0,-2.0,0.9254232268890972,28.57142857142856
2020-03-01,-1.0,2.0,17.0,-5.0,0.0,-3.0,1.4395472418274846,100.0
2020-03-02,-1.0,7.0,13.0,-4.0,4.0,0.0,2.570620074691937,316.6666666666667
2020-03-03,1.0,1.0,6.0,-8.0,4.0,0.0,3.084744089630324,400.0
2020-03-04,13.0,20.0,41.0,10.0,4.0,-5.0,4.524291331457809,633.3333333333333
2020-03-05,-18.0,-41.0,71.0,-24.0,-58.0,9.0,5.449714558346906,783.3333333333334
2020-03-06,-12.0,3.0,-21.0,-28.0,-32.0,6.0,6.477962588223681,687.5000000000001
2020-03-07,-14.0,-4.0,-8.0,-27.0,-6.0,0.0,7.711860224075811,733.3333333333336
