fecha,porcentaje_afectado,DEX_afor,DP_cont,DEX_pub,DIN_afo,DIN_pub,DIN_pisc,CER_cult,CER_cor,CER_ent,CER_otr,COM_afo,COM_hor,COM_esp,COM_fis,COM_cent,COM_cczon,COM_libre,COL_I,COL_P,COL_S,COL_B,COL,EDU_uni,EDU_acad,OCN_afo,OCN_mes,OCN_hor,OCN_bai,OCN_ver,CUL_mus,CUL_cin,CUL_sal,CUL_tor,CUL_zoo,RIN_bing,RIN_binh,RIN_afo,RIN_hor,RIN_mesa,REX_afo,REX_otr,DS_even,DS_dom,DS_reun,DS_tran,DS_alc,MOV_qued,MOV_per,MOV_int,TRA_1,TRA_2
2020-06-19,100.000,0.300,,0.300,0.300,0.300,0.300,,,,,0.300,,,,,,,,,,,0.000,,0.300,,,0.300,0.300,,,,,0.300,0.300,,0.300,0.300,0.300,0.300,,0.300,,,,1.000,,,,,,
2020-06-20,100.000,0.300,,0.300,0.300,0.300,0.300,,,,,0.300,,,,,,,,,,,0.000,,0.300,,,0.300,0.300,,,,,0.300,0.300,,0.300,0.300,0.300,0.300,,0.300,,,,1.000,,,,,,
2020-06-21,100.000,0.300,,0.300,0.300,0.300,0.300,,,,,0.300,,,,,,,,,,,0.000,,0.300,,,0.300,0.300,,,,,0.300,0.300,,0.300,0.300,0.300,0.300,,0.300,,,,1.000,,,,,,
2020-06-22,100.000,0.300,,0.300,0.300,0.300,0.300,,,,,0.300,,,,,,,,,,,0.000,,0.300,,,0.300,0.300,,,,,0.300,0.300,,0.300,0.300,0.300,0.300,,0.300,,,,1.000,,,,,,
2020-06-23,100.000,0.300,,0.300,0.300,0.300,0.300,,,,,0.300,,,,,,,,,,,0.000,,0.300,,,0.300,0.300,,,,,0.300,0.300,,0.300,0.300,0.300,0.300,,0.300,,,,1.000,,,,,,
2020-06-24,100.000,0.300,,0.300,0.300,0.300,0.300,,,,,0.300,,,,,,,,,,,0.000,,0.300,,,0.300,0.300,,,,,0.300,0.300,,0.300,0.300,0.300,0.300,,0.300,,,,1.000,,,,,,
2020-06-25,100.000,0.300,,0.300,0.300,0.300,0.300,,,,,0.300,,,,,,,,,,,0.000,,0.300,,,0.300,0.300,,,,,0.300,0.300,,0.300,0.300,0.300,0.300,,0.300,,,,1.000,,,,,,
2020-06-26,100.000,0.300,,0.300,0.300,0.300,0.300,,,,,0.300,,,,,,,,,,,0.000,,0.300,,,0.300,0.300,,,,,0.300,0.300,,0.300,0.300,0.300,0.300,,0.300,,,,1.000,,,,,,
2020-06-27,100.000,0.300,,0.300,0.300,0.300,0.300,,,,,0.300,,,,,,,,,,,0.000,,0.300,,,0.300,0.300,,,,,0.300,0.300,,0.300,0.300,0.300,0.300,,0.300,,,,1.000,,,,,,
2020-06-28,100.000,0.300,,0.300,0.300,0.300,0.300,,,,,0.300,,,,,,,,,,,0.000,,0.300,,,0.300,0.300,,,,,0.300,0.300,,0.300,0.300,0.300,0.300,,0.300,,,,1.000,,,,,,
2020-06-29,100.000,0.300,,0.300,0.300,0.300,0.300,,,,,0.300,,,,,,,,,,,0.000,,0.300,,,0.300,0.300,,,,,0.300,0.300,,0.300,0.300,0.300,0.300,,0.300,,,,1.000,,,,,,
2020-06-30,100.000,0.300,,0.300,0.300,0.300,0.300,,,,,0.300,,,,,,,,,,,0.000,,0.300,,,0.300,0.300,,,,,0.300,0.300,,0.300,0.300,0.300,0.300,,0.300,,,,1.000,,,,,,
2020-07-01,100.000,0.300,,0.300,0.300,0.300,0.300,,,,,0.300,,,,,,,,,,,0.000,,0.300,,,0.300,0.300,,,,,0.300,0.300,,0.300,0.300,0.300,0.300,,0.300,,,,1.000,,,,,,
2020-07-02,100.000,0.300,,0.300,0.300,0.300,0.300,,,,,0.300,,,,,,,,,,,0.000,,0.300,,,0.300,0.300,,,,,0.300,0.300,,0.300,0.300,0.300,0.300,,0.300,,,,1.000,,,,,,
2020-07-03,100.000,0.300,,0.300,0.300,0.300,0.300,,,,,0.300,,,,,,,,,,,0.000,,0.300,,,0.300,0.300,,,,,0.300,0.300,,0.300,0.300,0.300,0.300,,0.300,,,,1.000,,,,,,
2020-07-04,100.000,0.300,,0.300,0.300,0.300,0.300,,,,,0.300,,,,,,,,,,,0.000,,0.300,,,0.300,0.300,,,,,0.300,0.300,,0.300,0.300,0.300,0.300,,0.300,,,,1.000,,,,,,
2020-07-05,100.000,0.300,,0.300,0.300,0.300,0.300,,,,,0.300,,,,,,,,,,,0.000,,0.300,,,0.300,0.300,,,,,0.300,0.300,,0.300,0.300,0.300,0.300,,0.300,,,,1.000,,,,,,
