fecha,porcentaje_afectado,AF.1,AF.13,AF.14,AF.15,AF.16,AF.3,AF.4,AF.5,AF.6,AF.7,AF.8,AF.9,CD.1,CD.10,CD.13,CD.14,CD.17,CD.2,CD.3,CD.4,CD.6,CD.9,CE.2,CE.3,CE.4,CE.5,CE.6,CE.7,CO.10,CO.4,CO.6,CO.8,CO.9,ED.3,ED.4,LA.1,LA.3,MV.3,MV.4,ON.1,ON.3,ON.4,ON.7,RH.2,RH.5,RH.6,RH.7,RH.9,RS.1,RS.6,RS.8,TP.1,TR.4,TR.5,TR.7,TR.9,ED.1U,MV.1,ED.1P,ED.2U,ED.5P,RH.1,ED.5B,CO.1,RS.2,TR.8,TR.3,ED.5U,ON.10,CD.7,ON.8,AF.17,CO.5,TR.1,CE.9,CD.5,ED.2P,ED.1S,AF.2,RH.10,CO.7,ED.2I,LA.2,TR.2,ED.1B,ON.2,CD.11,CO.2,ON.6,CD.16,TR.6,CE.10,ED.2S,CE.1,CD.12,AF.12,ED.1I,CD.8,MV.7,ED.5S,ED.5I,ED.2B,RH.3,MV.2,RH.11,CD.15,ON.5,CO.3
2020-06-21,100.000,,,,,0.300,,1.000,0.300,,0.300,,0.300,,0.300,0.300,0.300,,,,,0.300,0.300,0.300,0.300,0.300,0.300,,1.000,0.300,,,0.300,,,0.300,,,,,,0.300,0.300,1.000,,,,0.300,0.300,0.300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-22,100.000,,,,,0.300,,1.000,0.300,,0.300,,0.300,,0.300,0.300,0.300,,,,,0.300,0.300,0.300,0.300,0.300,0.300,,1.000,0.300,,,0.300,,,0.300,,,,,,0.300,0.300,1.000,,,,0.300,0.300,0.300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-23,100.000,,,,,0.300,,1.000,0.300,,0.300,,0.300,,0.300,0.300,0.300,,,,,0.300,0.300,0.300,0.300,0.300,0.300,,1.000,0.300,,,0.300,,,0.300,,,,,,0.300,0.300,1.000,,,,0.300,0.300,0.300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-24,100.000,,,,,0.300,,1.000,0.300,,0.300,,0.300,,0.300,0.300,0.300,,,,,0.300,0.300,0.300,0.300,0.300,0.300,,1.000,0.300,,,0.300,,,0.300,,,,,,0.300,0.300,1.000,,,,0.300,0.300,0.300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-25,100.000,,,,,0.300,,1.000,0.300,,0.300,,0.300,,0.300,0.300,0.300,,,,,0.300,0.300,0.300,0.300,0.300,0.300,,1.000,0.300,,,0.300,,,0.300,,,,,,0.300,0.300,1.000,,,,0.300,0.300,0.300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-26,100.000,,,,,0.300,,1.000,0.300,,0.300,,0.300,,0.300,0.300,0.300,,,,,0.300,0.300,0.300,0.300,0.300,0.300,,1.000,0.300,,,0.300,,,0.300,,,,,,0.300,0.300,1.000,,,,0.300,0.300,0.300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-27,100.000,,,,,0.300,,1.000,0.300,,0.300,,0.300,,0.300,0.300,0.300,,,,,0.300,0.300,0.300,0.300,0.300,0.300,,1.000,0.300,,,0.300,,,0.300,,,,,,0.300,0.300,1.000,,,,0.300,0.300,0.300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-28,100.000,,,,,0.300,,1.000,0.300,,0.300,,0.300,,0.300,0.300,0.300,,,,,0.300,0.300,0.300,0.300,0.300,0.300,,1.000,0.300,,,0.300,,,0.300,,,,,,0.300,0.300,1.000,,,,0.300,0.300,0.300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-29,100.000,,,,,0.300,,1.000,0.300,,0.300,,0.300,,0.300,0.300,0.300,,,,,0.300,0.300,0.300,0.300,0.300,0.300,,1.000,0.300,,,0.300,,,0.300,,,,,,0.300,0.300,1.000,,,,0.300,0.300,0.300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-30,100.000,,,,,0.300,,1.000,0.300,,0.300,,0.300,,0.300,0.300,0.300,,,,,0.300,0.300,0.300,0.300,0.300,0.300,,1.000,0.300,,,0.300,,,0.300,,,,,,0.300,0.300,1.000,,,,0.300,0.300,0.300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
